	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.105	-0.017	0.214	0.053	0.191**	0.045	-0.039	0.219	-0.051	-0.237
	[0.103]	[0.766]	[0.178]	[0.045]	[0.077]	[0.045]	[0.062]	[0.145]	[0.055]	[0.236]
asilo_Municipal								-0.349***		0.189
								[0.098]		[0.207]
nido	0.070	-0.008	0.064	-0.035	-0.052	-0.016	0.011	0.238**	0.024	-0.013
	[0.101]	[0.709]	[0.112]	[0.039]	[0.076]	[0.039]	[0.052]	[0.103]	[0.041]	[0.191]
unobsA			-0.482*							
			[0.266]							
unobsA2			-0.051							
			[0.139]							
unobsA3			0.402							
			[0.398]							
Age	-0.112	-0.108	-0.113	-0.051	0.100	-0.032	-0.087	-0.041	-0.092**	0.032
	[0.069]	[0.088]	[0.071]	[0.047]	[0.095]	[0.048]	[0.054]	[0.085]	[0.045]	[0.062]
Male	-0.021	-0.024	-0.026	-0.033	-0.018	-0.050	-0.040	-0.052	-0.040	-0.021
	[0.045]	[0.046]	[0.046]	[0.031]	[0.057]	[0.032]	[0.036]	[0.057]	[0.030]	[0.042]
poorBHealth	0.077	0.078	0.063	0.083*	0.205***	0.089**	0.157***	0.371***	-0.016	-0.041
	[0.055]	[0.060]	[0.060]	[0.043]	[0.071]	[0.043]	[0.042]	[0.069]	[0.052]	[0.068]
oldsibs	0.012	0.016	0.018	0.018	-0.167**	0.018	-0.002	-0.091	-0.003	-0.103**
	[0.043]	[0.049]	[0.044]	[0.033]	[0.074]	[0.033]	[0.037]	[0.063]	[0.030]	[0.045]
momMaxEdu_Uni_F	-0.002	0.014	0.011	-0.016	-0.056	-0.019	-0.024	-0.113	0.009	0.028
	[0.057]	[0.070]	[0.060]	[0.038]	[0.074]	[0.039]	[0.043]	[0.071]	[0.038]	[0.048]
dadMaxEdu_Uni_F	-0.034	-0.052	-0.055	0.038	0.189**	0.036	0.013	0.068	0.012	0.124**
	[0.070]	[0.075]	[0.075]	[0.041]	[0.084]	[0.041]	[0.049]	[0.074]	[0.042]	[0.060]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.068	-0.091	-0.110	-0.015	-0.176*	-0.047	-0.024	-0.092	-0.092	-0.163**
	[0.073]	[0.099]	[0.078]	[0.051]	[0.100]	[0.055]	[0.055]	[0.093]	[0.059]	[0.075]
HighInc_F	0.072	0.059	0.034	-0.013	-0.038	-0.010	0.029	0.104	0.038	-0.004
	[0.044]	[0.071]	[0.047]	[0.040]	[0.082]	[0.041]	[0.042]	[0.070]	[0.032]	[0.042]
HighInc_Miss	-0.186***	-0.184**	-0.163**	-0.005	0.009	0.005	-0.049	0.030	-0.113***	-0.134***
	[0.069]	[0.073]	[0.074]	[0.038]	[0.079]	[0.039]	[0.050]	[0.080]	[0.039]	[0.051]
houseOwn_F	0.038	0.048	0.027	0.011	-0.153***	0.001	-0.002	-0.144**	0.051	-0.053
	[0.061]	[0.073]	[0.063]	[0.042]	[0.058]	[0.043]	[0.048]	[0.063]	[0.043]	[0.055]
distCenter	-0.012	-0.011	-0.005	-0.011	-0.052***	-0.010	-0.025***	-0.040***	-0.009	-0.032**
	[0.009]	[0.010]	[0.010]	[0.009]	[0.017]	[0.009]	[0.009]	[0.014]	[0.008]	[0.013]
cgRelig_F	0.039	0.046	0.069	0.004	-0.045	-0.004	0.004	-0.096	0.071*	0.105*
	[0.055]	[0.072]	[0.058]	[0.043]	[0.065]	[0.046]	[0.046]	[0.069]	[0.042]	[0.063]
cgRelig_Miss	0.323***	0.330***	0.299***	-0.214**	-0.272**	-0.206**	-0.052	-0.363	-0.139	-0.252**
	[0.087]	[0.091]	[0.092]	[0.094]	[0.136]	[0.097]	[0.231]	[0.279]	[0.094]	[0.125]
CAPI	-0.008	0.006	0.002	0.001	0.065	-0.010	0.027	0.097*	-0.010	0.002
	[0.043]	[0.046]	[0.046]	[0.031]	[0.057]	[0.033]	[0.036]	[0.054]	[0.030]	[0.040]
momMaxEdu_Uni_Miss	-0.346**			-0.224*		-0.235*	-0.496***		-0.170	
	[0.176]			[0.133]		[0.140]	[0.156]		[0.112]	
Parma							-0.162***			
							[0.046]			
Reggio								0.287***		0.048
								[0.077]		[0.052]
nidoXreggio								-0.155		0.005
								[0.143]		[0.222]
Padova									0.059*	
									[0.036]	
Constant	2.969**	2.856*	2.797**	1.795**	-0.820	1.470	2.571**	1.642	2.554***	0.353
	[1.284]	[1.682]	[1.326]	[0.878]	[1.791]	[0.895]	[1.018]	[1.605]	[0.829]	[1.149]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.131	0.101	0.118	0.035	0.268	0.035	0.087	0.317	0.099	0.357
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.84	.84	.84	.84	.84	.84	.84	.84	.84	.84
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
