	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.038	0.322	0.134	0.055	0.052	0.057	0.032	0.056	0.044	-0.079
	[0.044]	[0.212]	[0.284]	[0.035]	[0.038]	[0.035]	[0.043]	[0.075]	[0.043]	[0.067]
unobsM			0.058							
			[0.405]							
unobsM2			-0.094							
			[0.185]							
unobsM3			-0.544							
			[0.487]							
Age	-0.105	-0.082	-0.087	-0.057	-0.030	-0.056	-0.083	-0.083	-0.090**	-0.070
	[0.069]	[0.074]	[0.073]	[0.045]	[0.060]	[0.046]	[0.054]	[0.056]	[0.044]	[0.060]
Male	-0.020	-0.015	-0.016	-0.048	-0.062	-0.048	-0.039	-0.040	-0.040	-0.055
	[0.044]	[0.047]	[0.044]	[0.031]	[0.038]	[0.031]	[0.036]	[0.039]	[0.030]	[0.033]
poorBHealth	0.082	0.112*	0.106*	0.073*	0.064	0.070	0.159***	0.138***	-0.013	-0.020
	[0.053]	[0.059]	[0.055]	[0.043]	[0.051]	[0.044]	[0.042]	[0.045]	[0.052]	[0.056]
oldsibs	0.015	0.016	0.016	0.011	0.014	0.010	-0.002	-0.003	-0.003	-0.004
	[0.043]	[0.046]	[0.043]	[0.032]	[0.037]	[0.033]	[0.037]	[0.040]	[0.030]	[0.035]
momMaxEdu_Uni_F	0.003	0.032	0.026	-0.025	-0.046	-0.027	-0.021	-0.079	0.013	0.031
	[0.058]	[0.064]	[0.063]	[0.037]	[0.049]	[0.037]	[0.043]	[0.051]	[0.038]	[0.044]
dadMaxEdu_Uni_F	-0.034	-0.050	-0.049	0.053	0.051	0.057	0.011	0.049	0.010	-0.051
	[0.070]	[0.078]	[0.072]	[0.041]	[0.051]	[0.040]	[0.049]	[0.054]	[0.042]	[0.047]
momMaxEdu_Uni_Miss	-0.352**	-0.345**	-0.344*	-0.168	-0.104	-0.158	-0.501***	-0.610***	-0.170	-0.177
	[0.172]	[0.151]	[0.182]	[0.127]	[0.127]	[0.127]	[0.153]	[0.158]	[0.111]	[0.128]
dadMaxEdu_Uni_Miss	-0.081	-0.112	-0.111	-0.037	-0.105	-0.034	-0.029	0.027	-0.098*	-0.208**
	[0.071]	[0.076]	[0.073]	[0.050]	[0.082]	[0.051]	[0.054]	[0.059]	[0.058]	[0.096]
HighInc_F	0.060	0.041	0.045	-0.032	-0.053	-0.036	0.026	0.024	0.033	0.020
	[0.045]	[0.053]	[0.046]	[0.040]	[0.049]	[0.041]	[0.042]	[0.050]	[0.032]	[0.039]
HighInc_Miss	-0.185***	-0.200***	-0.194***	-0.025	-0.045	-0.019	-0.050	-0.033	-0.113***	-0.125***
	[0.069]	[0.073]	[0.071]	[0.037]	[0.048]	[0.037]	[0.050]	[0.053]	[0.038]	[0.048]
houseOwn_F	0.037	0.032	0.036	0.015	-0.012	0.014	-0.005	-0.005	0.050	0.046
	[0.060]	[0.065]	[0.063]	[0.041]	[0.050]	[0.041]	[0.048]	[0.051]	[0.042]	[0.047]
distCenter	-0.011	-0.010	-0.012	-0.018**	-0.026**	-0.020**	-0.024***	-0.028***	-0.008	-0.012
	[0.009]	[0.010]	[0.010]	[0.009]	[0.011]	[0.010]	[0.009]	[0.011]	[0.008]	[0.009]
cgRelig_F	0.056	0.131*	0.130*	0.023	0.018	0.019	0.011	-0.019	0.078*	0.092*
	[0.055]	[0.078]	[0.074]	[0.041]	[0.054]	[0.042]	[0.046]	[0.053]	[0.042]	[0.052]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.013	-0.043	-0.045	0.001	0.020	0.002	0.025	0.042	-0.013	0.014
	[0.043]	[0.053]	[0.050]	[0.031]	[0.038]	[0.031]	[0.036]	[0.039]	[0.030]	[0.037]
cgRelig_Miss	0.305***	0.231**		-0.176*		-0.194**	-0.061		-0.136	
	[0.084]	[0.106]		[0.092]		[0.093]	[0.227]		[0.094]	
Parma							-0.125***			
							[0.044]			
Reggio								0.114**		-0.045
								[0.052]		[0.050]
materna_Municipal								-0.044		0.092*
								[0.062]		[0.050]
Padova									0.102***	
									[0.039]	
Constant	2.783**	2.168	2.371*	1.916**	1.484	1.911**	2.467**	2.389**	2.475***	2.198*
	[1.280]	[1.402]	[1.401]	[0.849]	[1.115]	[0.859]	[1.005]	[1.060]	[0.828]	[1.122]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.129	-0.004	0.137	0.040	0.040	0.042	0.087	0.093	0.100	0.122
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.84	.84	.84	.84	.84	.84	.84	.84	.84	.84
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
