	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.018	0.674	0.235	-0.028	-0.023	-0.298**	-0.113*	-0.017	-0.077	0.083
	[0.086]	[0.687]	[0.203]	[0.043]	[0.046]	[0.149]	[0.062]	[0.100]	[0.063]	[0.128]
asilo_Municipal								0.061		-0.035
								[0.073]		[0.097]
nido	-0.180*	-0.754	-0.188**	-0.059	-0.105**	0.169	-0.074	-0.090	-0.109**	-0.081
	[0.092]	[0.575]	[0.094]	[0.040]	[0.051]	[0.132]	[0.047]	[0.083]	[0.052]	[0.087]
unobs			-0.356							
			[0.306]							
unobs2			-0.033							
			[0.158]							
unobs3			0.241							
			[0.436]							
Age	0.176**	0.183**	0.184**	-0.159***	-0.180***	-0.574***	0.001	-0.086	0.007	-0.031
	[0.074]	[0.079]	[0.073]	[0.049]	[0.063]	[0.217]	[0.055]	[0.067]	[0.054]	[0.065]
Male	0.076	0.074	0.057	0.082**	0.044	0.262	0.058	0.023	0.124***	0.116***
	[0.052]	[0.059]	[0.056]	[0.033]	[0.039]	[0.202]	[0.036]	[0.042]	[0.039]	[0.044]
poorBHealth	0.068	0.043	0.026	0.059	0.018	-0.186	0.073	0.028	0.031	-0.038
	[0.085]	[0.091]	[0.091]	[0.056]	[0.055]	[0.114]	[0.063]	[0.062]	[0.064]	[0.071]
oldsibs	-0.109	0.032	-0.065	-0.093	-0.174**	-0.408	-0.153	-0.174*	-0.121	-0.169**
	[0.145]	[0.221]	[0.148]	[0.075]	[0.073]	[0.261]	[0.093]	[0.099]	[0.086]	[0.076]
momMaxEdu_Uni_F	-0.160***	-0.167**	-0.180***	-0.126***	-0.043	-0.482***	-0.085**	-0.018	-0.194***	-0.146***
	[0.059]	[0.068]	[0.062]	[0.037]	[0.047]	[0.151]	[0.042]	[0.048]	[0.043]	[0.054]
dadMaxEdu_Uni_F	-0.041	0.042	-0.023	-0.032	-0.109**	-0.112	-0.046	-0.106**	0.006	0.003
	[0.066]	[0.107]	[0.066]	[0.040]	[0.051]	[0.160]	[0.045]	[0.051]	[0.047]	[0.054]
momMaxEdu_Uni_Miss	-0.181	-0.187	-0.151	0.111	0.227	-0.101	-0.140	-0.009	-0.024	0.003
	[0.237]	[0.229]	[0.248]	[0.232]	[0.212]	[0.255]	[0.166]	[0.218]	[0.225]	[0.240]
dadMaxEdu_Uni_Miss	-0.034	-0.080	-0.050	-0.010	-0.114	-0.224	0.001	-0.079	0.017	-0.037
	[0.088]	[0.103]	[0.090]	[0.057]	[0.073]	[0.205]	[0.065]	[0.066]	[0.064]	[0.080]
HighInc_F	0.033	0.059	0.041	0.076*	0.100*	0.501***	0.064	0.076	0.050	0.043
	[0.066]	[0.082]	[0.066]	[0.044]	[0.054]	[0.092]	[0.047]	[0.055]	[0.052]	[0.058]
HighInc_Miss	0.124*	0.161*	0.168**	0.101**	0.216***	0.335**	0.128***	0.177***	0.134***	0.120**
	[0.070]	[0.084]	[0.078]	[0.044]	[0.058]	[0.155]	[0.049]	[0.055]	[0.049]	[0.055]
houseOwn_F	-0.061	-0.028	-0.044	0.007	-0.055	-0.305*	-0.053	-0.057	-0.015	-0.008
	[0.052]	[0.066]	[0.054]	[0.035]	[0.049]	[0.184]	[0.040]	[0.046]	[0.038]	[0.044]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.002	0.002	0.001	-0.009	-0.022**	-0.059*	-0.007	-0.024***	0.003	0.011
	[0.010]	[0.011]	[0.010]	[0.008]	[0.009]	[0.030]	[0.007]	[0.008]	[0.009]	[0.011]
cgRelig_F	0.031	0.020	0.048	0.022	0.056	0.547***	0.057	0.068	0.009	0.071
	[0.072]	[0.078]	[0.070]	[0.046]	[0.047]	[0.205]	[0.050]	[0.049]	[0.054]	[0.060]
cgRelig_Miss	-0.137	-0.071	-0.166	0.239**	0.158	-0.184	-0.079	-0.092	0.200*	0.351***
	[0.126]	[0.174]	[0.130]	[0.121]	[0.148]	[0.249]	[0.132]	[0.073]	[0.120]	[0.113]
CAPI	-0.069	-0.080	-0.075	0.012	0.054	0.338***	-0.038	0.050	0.002	-0.032
	[0.052]	[0.058]	[0.052]	[0.033]	[0.042]	[0.122]	[0.036]	[0.041]	[0.038]	[0.045]
houseOwn_Miss	-0.777***	-0.764***		0.676***		0.268	0.258		-0.134	
	[0.086]	[0.096]		[0.075]		[0.263]	[0.362]		[0.373]	
Parma							-0.120**			
							[0.051]			
Reggio								0.175**		0.067
								[0.079]		[0.070]
nidoXreggio								-0.186		-0.201*
								[0.118]		[0.119]
Padova									-0.015	
									[0.050]	
Constant	-0.735	-0.816	-0.927*	1.345***	1.544***	3.853***	0.397	0.854*	0.308	0.483
	[0.510]	[0.551]	[0.514]	[0.333]	[0.422]	[1.409]	[0.382]	[0.457]	[0.371]	[0.429]
										
Observations	307	307	306	711	708	711	594	591	572	570
R-squared	0.169	-0.008	0.173	0.091	0.139	0.852	0.089	0.126	0.130	0.193
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.32	.32	.32	.32	.32	.32	.32	.32	.32	.32
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
