	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.020	-0.012	0.218	0.038	0.060	0.067	0.017	0.232*	0.016	-0.121
	[0.054]	[0.207]	[0.211]	[0.042]	[0.051]	[0.063]	[0.053]	[0.121]	[0.053]	[0.102]
unobs			-0.536							
			[0.332]							
unobs2			0.175							
			[0.207]							
unobs3			1.129**							
			[0.534]							
Age	0.180**	0.180**	0.182**	-0.135***	-0.076	0.441***	0.006	0.026	-0.004	0.071
	[0.074]	[0.074]	[0.072]	[0.049]	[0.115]	[0.149]	[0.055]	[0.091]	[0.054]	[0.082]
Male	0.054	0.055	0.067	0.078**	0.157	0.473***	0.048	-0.111	0.109***	0.087
	[0.053]	[0.054]	[0.053]	[0.033]	[0.099]	[0.141]	[0.036]	[0.085]	[0.039]	[0.055]
poorBHealth	0.023	0.025	0.036	0.027	-0.001	-0.510***	0.056	0.008	0.001	-0.052
	[0.085]	[0.086]	[0.086]	[0.058]	[0.080]	[0.137]	[0.063]	[0.077]	[0.065]	[0.083]
oldsibs	-0.112	-0.119	-0.154	-0.208***	-0.271***	-0.218	-0.145*	-0.246**	-0.129	-0.245**
	[0.135]	[0.139]	[0.149]	[0.059]	[0.101]	[0.185]	[0.087]	[0.115]	[0.082]	[0.098]
momMaxEdu_Uni_F	-0.184***	-0.184***	-0.190***	-0.145***	-0.319***	-0.023	-0.101**	-0.048	-0.220***	-0.462***
	[0.059]	[0.059]	[0.059]	[0.038]	[0.106]	[0.204]	[0.042]	[0.074]	[0.042]	[0.099]
dadMaxEdu_Uni_F	-0.051	-0.052	-0.051	-0.009	-0.172*	-0.117	-0.043	-0.151**	0.008	-0.182***
	[0.068]	[0.068]	[0.068]	[0.041]	[0.097]	[0.163]	[0.045]	[0.073]	[0.047]	[0.067]
momMaxEdu_Uni_Miss	-0.136	-0.140	-0.207	-0.027	-0.028	-0.154	-0.112	0.027	0.001	0.019
	[0.225]	[0.225]	[0.204]	[0.199]	[0.194]	[0.360]	[0.160]	[0.227]	[0.209]	[0.186]
dadMaxEdu_Uni_Miss	-0.038	-0.033	-0.010	-0.022	0.122*	0.021	-0.012	0.232**	0.003	-0.075
	[0.091]	[0.095]	[0.098]	[0.057]	[0.074]	[0.086]	[0.068]	[0.110]	[0.066]	[0.079]
HighInc_F	0.027	0.029	0.040	0.067	0.227**	-0.561**	0.062	0.119*	0.044	0.207***
	[0.068]	[0.070]	[0.070]	[0.045]	[0.094]	[0.259]	[0.048]	[0.061]	[0.053]	[0.075]
HighInc_Miss	0.171**	0.171**	0.170**	0.171***	0.285**	0.075	0.156***	0.174**	0.175***	0.183**
	[0.070]	[0.070]	[0.069]	[0.043]	[0.115]	[0.121]	[0.049]	[0.082]	[0.049]	[0.084]
houseOwn_F	-0.048	-0.051	-0.069	-0.008	0.165***	-0.254**	-0.041	0.037	-0.011	0.003
	[0.053]	[0.055]	[0.054]	[0.036]	[0.060]	[0.121]	[0.040]	[0.051]	[0.038]	[0.041]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.001	0.000	0.001	0.000	-0.005	-0.094*	-0.007	-0.006	0.002	0.015
	[0.011]	[0.011]	[0.010]	[0.008]	[0.016]	[0.054]	[0.007]	[0.010]	[0.010]	[0.014]
cgRelig_F	0.054	0.049	0.035	0.022	0.140*	0.116	0.072	0.084	0.018	-0.002
	[0.075]	[0.084]	[0.081]	[0.047]	[0.081]	[0.074]	[0.051]	[0.081]	[0.055]	[0.065]
cgRelig_Miss	-0.214*	-0.214	-0.213*	0.207*	0.426***	0.425**	-0.102	0.139	0.207*	0.319***
	[0.126]	[0.131]	[0.114]	[0.122]	[0.091]	[0.173]	[0.138]	[0.117]	[0.125]	[0.111]
CAPI	-0.075	-0.071	-0.050	-0.011	-0.071	-0.221	-0.044	-0.213**	0.001	0.002
	[0.054]	[0.058]	[0.058]	[0.034]	[0.085]	[0.138]	[0.036]	[0.095]	[0.039]	[0.047]
houseOwn_Miss	-0.678***	-0.693***		0.632***		0.284*	0.292		-0.079	
	[0.087]	[0.130]		[0.080]		[0.147]	[0.337]		[0.348]	
Parma							-0.052			
							[0.046]			
Reggio								-0.056		-0.042
								[0.081]		[0.061]
materna_Municipal								-0.199*		0.158*
								[0.105]		[0.086]
Padova									0.044	
									[0.048]	
Constant	-0.898*	-0.879*	-1.045**	1.138***	0.546	-2.313***	0.239	0.244	0.267	-0.138
	[0.508]	[0.518]	[0.504]	[0.330]	[0.826]	[0.839]	[0.380]	[0.725]	[0.368]	[0.536]
										
Observations	307	307	306	718	715	716	594	591	572	570
R-squared	0.133	0.132	0.145	0.094	0.998	0.873	0.068	0.987	0.109	0.807
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.32	.32	.32	.32	.32	.32	.32	.32	.32	.32
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
