	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.023	0.166	0.107	0.058	0.052	0.061	-0.017	-0.068	-0.019	-0.096
	[0.059]	[0.291]	[0.417]	[0.045]	[0.048]	[0.045]	[0.059]	[0.091]	[0.058]	[0.087]
unobsM			-0.138							
			[0.594]							
unobsM2			0.010							
			[0.240]							
unobsM3			0.010							
			[0.696]							
Age	-0.068	-0.053	-0.043	-0.013	-0.096	-0.019	-0.033	-0.061	-0.073	-0.113*
	[0.089]	[0.092]	[0.093]	[0.053]	[0.066]	[0.053]	[0.062]	[0.072]	[0.059]	[0.065]
Male	-0.152**	-0.148**	-0.145**	-0.278***	-0.238***	-0.278***	-0.204***	-0.175***	-0.222***	-0.199***
	[0.059]	[0.061]	[0.060]	[0.037]	[0.044]	[0.037]	[0.042]	[0.048]	[0.041]	[0.045]
poorBHealth	0.017	0.037	0.031	0.169***	0.130*	0.177***	0.171**	0.131*	0.070	0.014
	[0.101]	[0.108]	[0.107]	[0.059]	[0.070]	[0.058]	[0.069]	[0.079]	[0.068]	[0.079]
oldsibs	-0.075	-0.074	-0.083	-0.008	-0.026	-0.005	-0.063	-0.089*	-0.047	-0.117**
	[0.062]	[0.063]	[0.062]	[0.039]	[0.045]	[0.039]	[0.045]	[0.052]	[0.042]	[0.047]
momMaxEdu_Uni_F	-0.026	-0.006	-0.013	0.026	0.012	0.026	0.016	-0.012	-0.013	-0.029
	[0.077]	[0.083]	[0.086]	[0.046]	[0.055]	[0.046]	[0.053]	[0.060]	[0.052]	[0.060]
dadMaxEdu_Uni_F	0.051	0.041	0.038	-0.008	0.030	-0.007	0.032	0.054	0.038	0.042
	[0.086]	[0.089]	[0.089]	[0.050]	[0.059]	[0.051]	[0.060]	[0.067]	[0.057]	[0.065]
momMaxEdu_Uni_Miss	-0.076	-0.071	-0.076	-0.012	-0.068	-0.012	-0.057	-0.051	-0.053	-0.158
	[0.192]	[0.191]	[0.195]	[0.128]	[0.148]	[0.126]	[0.167]	[0.196]	[0.139]	[0.168]
dadMaxEdu_Uni_Miss	-0.091	-0.111	-0.107	-0.137**	-0.111	-0.132**	-0.077	-0.041	-0.101	-0.012
	[0.090]	[0.095]	[0.093]	[0.056]	[0.084]	[0.056]	[0.063]	[0.079]	[0.066]	[0.079]
HighInc_F	0.090	0.077	0.083	0.047	0.078	0.046	0.091*	0.102*	0.070	0.086
	[0.069]	[0.072]	[0.071]	[0.051]	[0.057]	[0.052]	[0.052]	[0.057]	[0.056]	[0.059]
HighInc_Miss	-0.075	-0.085	-0.084	0.072	0.120**	0.081*	-0.012	-0.016	0.033	0.050
	[0.079]	[0.081]	[0.081]	[0.044]	[0.053]	[0.044]	[0.054]	[0.061]	[0.049]	[0.053]
houseOwn_F	0.081	0.078	0.079	-0.032	-0.032	-0.040	-0.001	0.034	0.016	0.036
	[0.081]	[0.084]	[0.083]	[0.045]	[0.056]	[0.045]	[0.055]	[0.064]	[0.052]	[0.055]
distCenter	0.002	0.002	0.002	-0.014	-0.010	-0.015	-0.011	-0.009	-0.002	0.005
	[0.013]	[0.013]	[0.013]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.010]	[0.011]
cgRelig_F	0.057	0.106	0.089	0.044	0.011	0.044	0.046	0.054	0.086	0.044
	[0.073]	[0.107]	[0.107]	[0.051]	[0.061]	[0.051]	[0.057]	[0.067]	[0.056]	[0.059]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.004	-0.024	-0.017	0.007	0.064	0.012	-0.003	0.024	0.029	0.105**
	[0.058]	[0.066]	[0.065]	[0.037]	[0.044]	[0.037]	[0.043]	[0.049]	[0.040]	[0.045]
cgRelig_Miss	0.202	0.153		0.070		0.062	0.028		0.052	
	[0.288]	[0.300]		[0.093]		[0.093]	[0.244]		[0.099]	
Parma							-0.165***			
							[0.054]			
Reggio								0.202***		-0.011
								[0.068]		[0.063]
materna_Municipal								0.029		0.058
								[0.068]		[0.063]
Padova									0.020	
									[0.053]	
Constant	1.875	1.466	1.327	0.926	2.442**	1.031	1.314	1.598	1.994*	2.731**
	[1.682]	[1.793]	[1.817]	[0.990]	[1.235]	[0.992]	[1.168]	[1.353]	[1.118]	[1.220]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.065	0.030	0.065	0.106	0.088	0.107	0.096	0.090	0.074	0.085
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.62	.62	.62	.62	.62	.62	.62	.62	.62	.62
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
