	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.012	-1.553*	-0.093	-0.027	-0.045	-0.035	-0.004	0.044	-0.053	0.082
	[0.065]	[0.911]	[0.192]	[0.035]	[0.035]	[0.041]	[0.049]	[0.105]	[0.051]	[0.116]
asilo_Municipal								-0.013		-0.053
								[0.043]		[0.067]
nido	0.030	1.303*	0.061	0.033	0.084**	0.049	-0.004	0.010	0.060	0.177***
	[0.069]	[0.767]	[0.072]	[0.031]	[0.035]	[0.042]	[0.029]	[0.047]	[0.042]	[0.068]
unobs			-0.079							
			[0.287]							
unobs2			-0.199							
			[0.122]							
unobs3			0.422							
			[0.372]							
Age	-0.125**	-0.158	-0.132**	-0.064	-0.013	-0.097*	-0.089**	-0.092**	-0.088*	-0.057
	[0.058]	[0.098]	[0.058]	[0.044]	[0.050]	[0.057]	[0.041]	[0.040]	[0.049]	[0.065]
Male	-0.047	-0.037	-0.032	-0.051*	-0.011	-0.034	-0.035	0.004	-0.063**	-0.038
	[0.042]	[0.069]	[0.044]	[0.026]	[0.027]	[0.032]	[0.026]	[0.029]	[0.032]	[0.038]
poorBHealth	-0.096	-0.044	-0.074	0.057	0.065**	0.022	0.004	0.021	-0.059	-0.009
	[0.075]	[0.133]	[0.077]	[0.039]	[0.030]	[0.061]	[0.043]	[0.031]	[0.060]	[0.073]
oldsibs	-0.007	-0.182	0.013	-0.059	-0.019	-0.062	-0.006	0.009	-0.050	-0.014
	[0.062]	[0.177]	[0.062]	[0.075]	[0.062]	[0.082]	[0.054]	[0.060]	[0.062]	[0.064]
momMaxEdu_Uni_F	-0.010	0.008	-0.001	0.025	-0.008	-0.019	-0.001	-0.027	-0.001	-0.047
	[0.051]	[0.091]	[0.054]	[0.030]	[0.031]	[0.037]	[0.032]	[0.030]	[0.038]	[0.048]
dadMaxEdu_Uni_F	0.051	-0.131	0.054	0.023	0.044	0.049	0.014	0.018	0.049	0.066
	[0.054]	[0.153]	[0.057]	[0.031]	[0.032]	[0.037]	[0.034]	[0.030]	[0.039]	[0.048]
momMaxEdu_Uni_Miss	-0.141	-0.121	-0.161	-0.228	-0.188	-0.213	-0.083	-0.117	-0.245	-0.212
	[0.171]	[0.204]	[0.164]	[0.221]	[0.267]	[0.220]	[0.130]	[0.162]	[0.188]	[0.202]
dadMaxEdu_Uni_Miss	-0.006	0.094	-0.002	-0.070	-0.012	-0.044	-0.039	-0.020	-0.045	-0.046
	[0.076]	[0.111]	[0.077]	[0.056]	[0.059]	[0.062]	[0.055]	[0.049]	[0.062]	[0.076]
HighInc_F	-0.152**	-0.204*	-0.147**	-0.015	0.008	-0.016	-0.026	-0.025	-0.132***	-0.091*
	[0.061]	[0.106]	[0.062]	[0.034]	[0.029]	[0.036]	[0.035]	[0.030]	[0.048]	[0.050]
HighInc_Miss	-0.011	-0.087	-0.058	-0.074**	-0.116***	-0.072*	-0.015	-0.038	-0.062	-0.046
	[0.055]	[0.095]	[0.066]	[0.035]	[0.042]	[0.038]	[0.037]	[0.041]	[0.040]	[0.045]
houseOwn_F	0.070	-0.000	0.053	-0.009	-0.002	0.022	0.029	0.030	-0.003	-0.004
	[0.043]	[0.075]	[0.043]	[0.028]	[0.032]	[0.038]	[0.029]	[0.029]	[0.032]	[0.042]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.001	-0.001	-0.001	0.006	0.007	0.004	0.006	0.006	0.000	-0.000
	[0.009]	[0.013]	[0.009]	[0.006]	[0.005]	[0.007]	[0.006]	[0.004]	[0.008]	[0.009]
cgRelig_F	-0.048	-0.021	-0.053	-0.014	0.025	-0.004	-0.063*	-0.071***	-0.015	0.009
	[0.054]	[0.094]	[0.055]	[0.036]	[0.038]	[0.046]	[0.033]	[0.024]	[0.044]	[0.051]
cgRelig_Miss	-0.410	-0.670	-0.256	-0.337***	-0.078	-0.229*	-0.412**	-0.095	-0.273**	-0.186
	[0.305]	[0.477]	[0.330]	[0.123]	[0.116]	[0.139]	[0.189]	[0.087]	[0.136]	[0.165]
CAPI	-0.029	-0.008	-0.028	-0.016	-0.029	-0.004	-0.024	-0.026	-0.059*	-0.070*
	[0.045]	[0.073]	[0.045]	[0.027]	[0.028]	[0.036]	[0.027]	[0.024]	[0.034]	[0.041]
houseOwn_Miss	-0.076	-0.415		-0.500*		-0.679***	-0.264		-0.336	
	[0.283]	[0.554]		[0.295]		[0.229]	[0.247]		[0.251]	
Parma							0.061*			
							[0.037]			
Reggio								-0.111**		0.104
								[0.051]		[0.063]
nidoXreggio								-0.005		-0.163
								[0.112]		[0.120]
Padova									-0.105***	
									[0.040]	
Constant	1.769***	2.066***	1.886***	1.314***	0.896***	1.496***	1.514***	1.604***	1.564***	1.180***
	[0.383]	[0.694]	[0.406]	[0.293]	[0.346]	[0.395]	[0.270]	[0.262]	[0.331]	[0.444]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.077	-1.340	0.084	0.071	0.074	0.056	0.064	0.072	0.076	0.080
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.84	.84	.84	.84	.84	.84	.84	.84	.84	.84
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
