	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.004	-0.101	-0.030	-0.006	-0.017	-0.016	-0.014	0.030	-0.011	0.121
	[0.043]	[0.220]	[0.284]	[0.032]	[0.036]	[0.032]	[0.042]	[0.062]	[0.043]	[0.089]
unobs			-0.054							
			[0.435]							
unobs2			-0.026							
			[0.179]							
unobs3			0.273							
			[0.616]							
Age	-0.126**	-0.124**	-0.119**	-0.071	-0.016	-0.049	-0.088**	-0.104**	-0.078	-0.039
	[0.058]	[0.058]	[0.058]	[0.044]	[0.063]	[0.047]	[0.041]	[0.045]	[0.049]	[0.070]
Male	-0.045	-0.043	-0.039	-0.057**	-0.054*	-0.039	-0.035	-0.008	-0.059*	-0.065
	[0.042]	[0.043]	[0.042]	[0.026]	[0.033]	[0.028]	[0.026]	[0.030]	[0.032]	[0.041]
poorBHealth	-0.091	-0.086	-0.085	0.034	0.105***	0.041	0.003	0.015	-0.053	0.056
	[0.073]	[0.075]	[0.073]	[0.042]	[0.037]	[0.040]	[0.042]	[0.040]	[0.059]	[0.063]
oldsibs	-0.006	-0.021	0.004	-0.072	-0.024	-0.075	-0.007	0.034	-0.041	0.006
	[0.062]	[0.075]	[0.071]	[0.081]	[0.074]	[0.079]	[0.055]	[0.053]	[0.061]	[0.061]
momMaxEdu_Uni_F	-0.008	-0.007	-0.009	0.016	0.002	-0.016	-0.001	-0.003	0.007	-0.024
	[0.050]	[0.050]	[0.052]	[0.031]	[0.039]	[0.034]	[0.032]	[0.033]	[0.038]	[0.049]
dadMaxEdu_Uni_F	0.053	0.050	0.053	0.037	0.044	0.043	0.013	0.009	0.051	0.066
	[0.053]	[0.055]	[0.054]	[0.031]	[0.037]	[0.031]	[0.034]	[0.036]	[0.039]	[0.047]
momMaxEdu_Uni_Miss	-0.146	-0.159	-0.167	-0.311	-0.156	-0.343	-0.083	-0.013	-0.246	-0.087
	[0.169]	[0.162]	[0.173]	[0.193]	[0.219]	[0.209]	[0.129]	[0.117]	[0.184]	[0.179]
dadMaxEdu_Uni_Miss	-0.007	0.007	0.009	-0.082	-0.077	-0.045	-0.039	-0.008	-0.042	-0.040
	[0.075]	[0.082]	[0.083]	[0.056]	[0.076]	[0.059]	[0.055]	[0.052]	[0.062]	[0.088]
HighInc_F	-0.151**	-0.144**	-0.140**	-0.015	0.015	0.002	-0.025	-0.033	-0.128***	-0.094*
	[0.061]	[0.062]	[0.062]	[0.035]	[0.036]	[0.033]	[0.035]	[0.036]	[0.047]	[0.053]
HighInc_Miss	-0.016	-0.014	-0.015	-0.051	-0.064	-0.059	-0.014	-0.036	-0.072*	-0.070
	[0.054]	[0.054]	[0.054]	[0.033]	[0.042]	[0.037]	[0.036]	[0.042]	[0.038]	[0.048]
houseOwn_F	0.069	0.060	0.057	-0.024	-0.034	-0.002	0.029	0.037	-0.002	-0.006
	[0.044]	[0.051]	[0.051]	[0.028]	[0.039]	[0.029]	[0.029]	[0.033]	[0.033]	[0.047]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.001	-0.002	-0.002	0.002	-0.003	0.001	0.005	0.004	0.000	-0.005
	[0.009]	[0.009]	[0.009]	[0.007]	[0.009]	[0.007]	[0.006]	[0.007]	[0.008]	[0.011]
cgRelig_F	-0.051	-0.068	-0.069	-0.015	-0.001	-0.016	-0.063*	-0.085***	-0.019	-0.019
	[0.055]	[0.070]	[0.072]	[0.036]	[0.043]	[0.041]	[0.033]	[0.027]	[0.044]	[0.054]
cgRelig_Miss	-0.398	-0.394	-0.289	-0.364***	-0.328**	-0.331**	-0.413**	-0.407*	-0.284**	-0.287*
	[0.301]	[0.291]	[0.326]	[0.124]	[0.140]	[0.146]	[0.188]	[0.220]	[0.136]	[0.158]
CAPI	-0.029	-0.018	-0.015	-0.027	-0.044	-0.035	-0.023	-0.023	-0.062*	-0.096**
	[0.046]	[0.050]	[0.052]	[0.027]	[0.033]	[0.028]	[0.027]	[0.029]	[0.034]	[0.043]
houseOwn_Miss	-0.081	-0.123		-0.539*		-0.533*	-0.265		-0.332	
	[0.279]	[0.289]		[0.286]		[0.285]	[0.246]		[0.249]	
Parma							0.056			
							[0.034]			
Reggio								-0.098**		0.031
								[0.044]		[0.050]
materna_Municipal								-0.024		-0.114
								[0.036]		[0.073]
Padova									-0.090**	
									[0.040]	
Constant	1.785***	1.841***	1.774***	1.411***	1.050**	1.264***	1.515***	1.706***	1.516***	1.215**
	[0.387]	[0.410]	[0.445]	[0.292]	[0.426]	[0.315]	[0.273]	[0.305]	[0.334]	[0.478]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.076	0.060	0.069	0.073	0.120	0.064	0.064	0.077	0.073	0.113
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.84	.84	.84	.84	.84	.84	.84	.84	.84	.84
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
