	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.128	0.463	0.178	0.057	0.034	0.206	-0.043	-0.076	-0.006	-0.298**
	[0.102]	[0.716]	[0.242]	[0.048]	[0.054]	[0.173]	[0.069]	[0.142]	[0.070]	[0.149]
asilo_Municipal								-0.058		0.095
								[0.095]		[0.104]
nido	0.149	-0.341	0.116	-0.035	-0.067	-0.570***	0.039	-0.057	0.002	-0.103
	[0.105]	[0.597]	[0.106]	[0.042]	[0.068]	[0.158]	[0.050]	[0.112]	[0.055]	[0.087]
unobs			-0.189							
			[0.352]							
unobs2			0.203							
			[0.160]							
unobs3			-0.372							
			[0.465]							
Age	-0.182**	-0.174**	-0.170**	0.005	0.038	0.696***	-0.052	-0.036	-0.112*	-0.062
	[0.078]	[0.084]	[0.078]	[0.053]	[0.074]	[0.187]	[0.058]	[0.079]	[0.057]	[0.066]
Male	-0.087	-0.090	-0.124**	-0.025	0.006	0.037	-0.073*	-0.042	-0.010	0.005
	[0.058]	[0.062]	[0.060]	[0.035]	[0.046]	[0.136]	[0.039]	[0.048]	[0.041]	[0.049]
poorBHealth	0.150	0.129	0.076	0.143**	0.179**	0.474***	0.144**	0.112	0.169**	0.267***
	[0.095]	[0.106]	[0.103]	[0.062]	[0.083]	[0.136]	[0.066]	[0.082]	[0.072]	[0.088]
oldsibs	0.147	0.267	0.196	-0.002	0.097	-0.035	0.150	0.302**	0.035	0.037
	[0.145]	[0.208]	[0.152]	[0.096]	[0.126]	[0.389]	[0.115]	[0.118]	[0.097]	[0.121]
momMaxEdu_Uni_F	-0.044	-0.050	-0.078	0.049	-0.001	0.087	0.031	-0.004	-0.023	-0.062
	[0.068]	[0.075]	[0.072]	[0.041]	[0.056]	[0.179]	[0.045]	[0.060]	[0.050]	[0.062]
dadMaxEdu_Uni_F	-0.064	0.006	-0.047	-0.033	0.059	-0.024	-0.010	0.111	-0.053	-0.078
	[0.072]	[0.122]	[0.075]	[0.043]	[0.079]	[0.125]	[0.048]	[0.078]	[0.051]	[0.057]
momMaxEdu_Uni_Miss	0.022	0.016	0.065	-0.135	0.102	0.502	-0.090	0.090	-0.045	0.125
	[0.199]	[0.192]	[0.169]	[0.180]	[0.341]	[0.590]	[0.160]	[0.255]	[0.168]	[0.232]
dadMaxEdu_Uni_Miss	0.002	-0.038	-0.021	-0.049	0.014	-0.751***	-0.048	-0.024	-0.007	0.048
	[0.107]	[0.115]	[0.105]	[0.065]	[0.082]	[0.117]	[0.076]	[0.091]	[0.074]	[0.094]
HighInc_F	0.015	0.036	0.007	0.000	0.035	-0.366***	0.002	0.029	0.047	0.114*
	[0.077]	[0.088]	[0.076]	[0.049]	[0.087]	[0.088]	[0.051]	[0.082]	[0.059]	[0.069]
HighInc_Miss	0.013	0.044	0.106	0.071	-0.031	-0.683***	0.021	-0.050	0.042	0.011
	[0.072]	[0.083]	[0.082]	[0.046]	[0.065]	[0.183]	[0.050]	[0.061]	[0.050]	[0.056]
houseOwn_F	-0.078	-0.050	-0.048	-0.093**	-0.170***	0.026	-0.134***	-0.260***	-0.035	-0.051
	[0.060]	[0.068]	[0.061]	[0.039]	[0.058]	[0.150]	[0.043]	[0.057]	[0.043]	[0.047]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.005	0.005	0.005	-0.009	-0.005	-0.180***	0.000	0.010	-0.003	-0.006
	[0.012]	[0.012]	[0.012]	[0.009]	[0.016]	[0.037]	[0.008]	[0.014]	[0.010]	[0.011]
cgRelig_F	-0.034	-0.044	-0.021	0.018	-0.113	-0.986***	-0.036	-0.144	0.020	-0.043
	[0.084]	[0.089]	[0.085]	[0.051]	[0.094]	[0.140]	[0.058]	[0.111]	[0.059]	[0.072]
cgRelig_Miss	-0.418***	-0.360*	-0.528***	-0.196*	-0.251*	-0.604***	-0.174	-0.057	-0.270**	-0.370***
	[0.113]	[0.185]	[0.143]	[0.100]	[0.151]	[0.225]	[0.138]	[0.161]	[0.106]	[0.098]
CAPI	0.087	0.079	0.078	0.040	0.106*	-0.218**	0.086**	0.129**	0.032	0.029
	[0.058]	[0.064]	[0.058]	[0.036]	[0.057]	[0.093]	[0.039]	[0.058]	[0.041]	[0.046]
houseOwn_Miss	-0.268***	-0.259***		0.266		0.435	-0.003		0.136	
	[0.093]	[0.096]		[0.253]		[0.415]	[0.280]		[0.351]	
Parma							-0.085			
							[0.054]			
Reggio								-0.007		-0.006
								[0.087]		[0.070]
nidoXreggio								0.143		0.274*
								[0.156]		[0.142]
Padova									-0.014	
									[0.053]	
Constant	1.646***	1.557***	1.366**	0.348	0.240	-2.288*	0.797**	0.809	1.123***	0.860*
	[0.545]	[0.592]	[0.563]	[0.356]	[0.492]	[1.220]	[0.401]	[0.538]	[0.399]	[0.457]
										
Observations	308	308	307	723	720	723	595	592	584	582
R-squared	0.076	-0.043	0.098	0.036	0.110	0.973	0.058	0.156	0.032	0.124
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.38	.38	.38	.38	.38	.38	.38	.38	.38	.38
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
