	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.023	-0.014	0.381	-0.042	-0.043	-0.041	0.008	0.002	0.036	0.169**
	[0.058]	[0.279]	[0.378]	[0.045]	[0.047]	[0.045]	[0.058]	[0.088]	[0.057]	[0.086]
unobs			-0.814							
			[0.536]							
unobs2			-0.265							
			[0.234]							
unobs3			1.393**							
			[0.647]							
Age	0.113	0.110	0.111	0.089	0.145**	0.092	0.097	0.101	0.074	0.105
	[0.089]	[0.094]	[0.092]	[0.057]	[0.067]	[0.057]	[0.062]	[0.071]	[0.063]	[0.066]
Male	-0.080	-0.080	-0.061	-0.035	-0.016	-0.030	-0.069	-0.048	-0.028	-0.006
	[0.058]	[0.058]	[0.057]	[0.038]	[0.045]	[0.038]	[0.042]	[0.046]	[0.042]	[0.045]
poorBHealth	-0.016	-0.020	-0.028	0.053	0.045	0.062	-0.016	-0.020	0.118	0.143*
	[0.102]	[0.104]	[0.106]	[0.067]	[0.070]	[0.068]	[0.074]	[0.075]	[0.075]	[0.081]
oldsibs	0.007	0.008	0.004	-0.008	-0.034	-0.009	0.027	0.035	-0.030	-0.071
	[0.061]	[0.061]	[0.061]	[0.040]	[0.046]	[0.040]	[0.045]	[0.049]	[0.043]	[0.045]
momMaxEdu_Uni_F	0.100	0.096	0.071	-0.043	-0.006	-0.047	0.023	0.013	0.007	0.032
	[0.074]	[0.080]	[0.080]	[0.047]	[0.055]	[0.047]	[0.053]	[0.059]	[0.053]	[0.059]
dadMaxEdu_Uni_F	-0.150*	-0.148*	-0.158*	-0.113**	-0.150**	-0.104**	-0.211***	-0.238***	-0.037	-0.035
	[0.080]	[0.081]	[0.082]	[0.050]	[0.059]	[0.050]	[0.055]	[0.061]	[0.057]	[0.062]
momMaxEdu_Uni_Miss	-0.052	-0.053	-0.038	-0.104	-0.145	-0.118	-0.028	-0.076	-0.149	-0.163
	[0.168]	[0.171]	[0.145]	[0.131]	[0.141]	[0.133]	[0.142]	[0.130]	[0.125]	[0.114]
dadMaxEdu_Uni_Miss	0.026	0.030	0.037	0.057	0.027	0.063	0.083	0.064	0.001	-0.086
	[0.087]	[0.091]	[0.087]	[0.062]	[0.077]	[0.062]	[0.065]	[0.074]	[0.068]	[0.062]
HighInc_F	-0.147**	-0.145*	-0.141*	-0.064	-0.046	-0.062	-0.068	-0.025	-0.113*	-0.088
	[0.071]	[0.074]	[0.074]	[0.051]	[0.058]	[0.051]	[0.053]	[0.057]	[0.057]	[0.062]
HighInc_Miss	-0.197***	-0.195**	-0.209***	0.016	-0.000	0.019	-0.011	0.039	-0.099*	-0.096*
	[0.074]	[0.077]	[0.076]	[0.047]	[0.053]	[0.047]	[0.054]	[0.061]	[0.051]	[0.050]
houseOwn_F	0.058	0.057	0.041	0.055	0.049	0.054	0.040	0.008	0.049	0.048
	[0.076]	[0.077]	[0.076]	[0.050]	[0.059]	[0.050]	[0.057]	[0.063]	[0.054]	[0.053]
distCenter	0.007	0.007	0.006	-0.014	-0.015	-0.017*	-0.014	-0.016	-0.000	-0.002
	[0.012]	[0.013]	[0.013]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.010]	[0.012]
cgRelig_F	-0.015	-0.025	-0.008	-0.028	0.022	-0.020	-0.010	0.028	0.016	0.102*
	[0.072]	[0.105]	[0.098]	[0.052]	[0.061]	[0.053]	[0.056]	[0.063]	[0.056]	[0.052]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.036	-0.032	-0.013	-0.045	-0.061	-0.052	-0.014	0.003	-0.082*	-0.107**
	[0.058]	[0.067]	[0.065]	[0.039]	[0.044]	[0.039]	[0.042]	[0.046]	[0.043]	[0.044]
cgRelig_Miss	0.105	0.113		-0.218**		-0.211**	-0.046		-0.138	
	[0.291]	[0.295]		[0.091]		[0.089]	[0.252]		[0.093]	
Parma							0.043			
							[0.054]			
Reggio								-0.088		-0.143**
								[0.063]		[0.058]
materna_Municipal								0.056		-0.109*
								[0.066]		[0.064]
Padova									0.089*	
									[0.053]	
Constant	-1.701	-1.607	-1.777	-1.163	-2.243*	-1.222	-1.364	-1.441	-0.989	-1.518
	[1.677]	[1.825]	[1.797]	[1.068]	[1.258]	[1.076]	[1.172]	[1.337]	[1.194]	[1.232]
										
Observations	291	291	288	670	634	670	536	532	554	519
R-squared	0.063	0.062	0.098	0.046	0.040	0.048	0.059	0.071	0.048	0.066
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.36	.36	.36	.36	.36	.36	.36	.36	.36	.36
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
