	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.039	-0.797	-0.030	0.163***	0.026	0.120**	0.117	0.120	0.186**	0.500
	[0.153]	[1.112]	[0.282]	[0.054]	[0.071]	[0.057]	[0.080]	[0.243]	[0.081]	[0.306]
asilo_Municipal								-0.064		-0.377*
								[0.169]		[0.227]
nido	0.026	0.746	0.012	-0.104**	0.034	-0.049	-0.062	0.109	-0.130**	0.222
	[0.154]	[1.032]	[0.166]	[0.046]	[0.070]	[0.050]	[0.059]	[0.173]	[0.062]	[0.214]
unobsA			0.054							
			[0.381]							
unobsA2			0.316*							
			[0.169]							
unobsA3			-0.038							
			[0.513]							
Age	0.023	-0.029	0.021	0.092	0.100	0.060	0.085	0.104	0.073	0.073
	[0.091]	[0.112]	[0.091]	[0.057]	[0.086]	[0.063]	[0.066]	[0.081]	[0.061]	[0.080]
Male	-0.192***	-0.197***	-0.192***	-0.135***	-0.083	-0.110***	-0.117***	-0.141**	-0.156***	-0.060
	[0.060]	[0.065]	[0.062]	[0.039]	[0.057]	[0.042]	[0.044]	[0.060]	[0.042]	[0.057]
poorBHealth	0.079	0.124	0.152	0.091	0.137	0.044	0.053	0.098	0.123*	0.157*
	[0.101]	[0.104]	[0.105]	[0.066]	[0.087]	[0.078]	[0.072]	[0.085]	[0.071]	[0.089]
oldsibs	-0.066	-0.081	-0.052	-0.022	-0.005	-0.016	-0.022	0.009	-0.031	-0.063
	[0.063]	[0.072]	[0.064]	[0.041]	[0.063]	[0.044]	[0.046]	[0.064]	[0.044]	[0.056]
momMaxEdu_Uni_F	0.082	0.051	0.074	0.064	0.095	0.045	0.022	0.051	0.086	0.108*
	[0.074]	[0.094]	[0.076]	[0.047]	[0.064]	[0.051]	[0.053]	[0.068]	[0.052]	[0.064]
dadMaxEdu_Uni_F	-0.058	-0.077	-0.062	-0.073	-0.085	-0.065	-0.039	-0.056	-0.066	-0.034
	[0.089]	[0.103]	[0.093]	[0.052]	[0.071]	[0.057]	[0.061]	[0.076]	[0.059]	[0.073]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.066	-0.009	-0.054	-0.122**	0.085	-0.099	-0.082	0.072	-0.120*	-0.084
	[0.091]	[0.125]	[0.098]	[0.060]	[0.089]	[0.065]	[0.065]	[0.078]	[0.066]	[0.081]
HighInc_F	-0.039	0.006	-0.031	-0.059	-0.092	-0.050	-0.048	-0.118	-0.041	-0.096
	[0.075]	[0.113]	[0.082]	[0.053]	[0.073]	[0.058]	[0.055]	[0.073]	[0.060]	[0.072]
HighInc_Miss	0.026	0.025	0.038	-0.076	-0.069	-0.080	-0.114**	-0.132	0.004	-0.002
	[0.075]	[0.084]	[0.081]	[0.047]	[0.078]	[0.050]	[0.055]	[0.085]	[0.050]	[0.066]
houseOwn_F	0.111	0.109	0.125	0.058	0.113	0.061	0.100*	0.179**	0.094*	0.078
	[0.082]	[0.095]	[0.088]	[0.051]	[0.071]	[0.055]	[0.059]	[0.084]	[0.054]	[0.064]
distCenter	0.003	-0.005	-0.001	0.011	0.020	0.013	0.015	0.026*	0.000	0.000
	[0.014]	[0.015]	[0.015]	[0.011]	[0.016]	[0.012]	[0.010]	[0.014]	[0.011]	[0.013]
cgRelig_F	0.109	0.056	0.093	0.056	0.179**	0.032	0.067	0.132	0.105*	0.148**
	[0.071]	[0.098]	[0.077]	[0.054]	[0.074]	[0.061]	[0.058]	[0.082]	[0.055]	[0.065]
cgRelig_Miss	0.213	0.233	0.205	0.006	-0.178	0.019	0.367	0.650***	0.021	-0.169
	[0.307]	[0.288]	[0.278]	[0.100]	[0.137]	[0.108]	[0.251]	[0.182]	[0.100]	[0.106]
CAPI	0.007	0.006	0.008	-0.014	-0.053	-0.009	-0.024	-0.053	0.002	-0.016
	[0.060]	[0.066]	[0.062]	[0.039]	[0.056]	[0.042]	[0.044]	[0.055]	[0.042]	[0.053]
momMaxEdu_Uni_Miss	0.011			-0.162		-0.205*	-0.067		-0.150	
	[0.193]			[0.112]		[0.116]	[0.155]		[0.118]	
Parma							0.016			
							[0.058]			
Reggio								0.020		0.132*
								[0.080]		[0.075]
nidoXreggio								-0.164		-0.349
								[0.245]		[0.297]
Padova									-0.037	
									[0.055]	
Constant	0.002	1.087	0.018	-1.196	-1.561	-0.635	-1.132	-1.600	-0.895	-1.022
	[1.713]	[2.144]	[1.710]	[1.081]	[1.602]	[1.200]	[1.240]	[1.517]	[1.154]	[1.489]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.066	-0.015	0.082	0.059	0.191	0.039	0.051	0.135	0.074	0.169
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
