	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.018	-0.227	-0.397	0.070	0.071	0.068	0.018	-0.026	0.026	-0.010
	[0.062]	[0.297]	[0.399]	[0.046]	[0.048]	[0.046]	[0.061]	[0.091]	[0.061]	[0.095]
unobsM			0.574							
			[0.589]							
unobsM2			-0.098							
			[0.244]							
unobsM3			-0.489							
			[0.755]							
Age	-0.135	-0.154	-0.160*	-0.025	0.012	-0.020	-0.039	-0.006	-0.061	-0.000
	[0.092]	[0.097]	[0.097]	[0.055]	[0.059]	[0.054]	[0.064]	[0.069]	[0.061]	[0.067]
Male	-0.008	-0.013	-0.016	0.143***	0.197***	0.149***	0.065	0.120**	0.111***	0.146***
	[0.061]	[0.064]	[0.063]	[0.037]	[0.042]	[0.037]	[0.044]	[0.047]	[0.041]	[0.048]
poorBHealth	-0.195*	-0.221*	-0.227**	-0.031	-0.020	-0.032	-0.103	-0.083	-0.087	-0.096
	[0.100]	[0.114]	[0.105]	[0.064]	[0.068]	[0.064]	[0.070]	[0.074]	[0.073]	[0.080]
oldsibs	-0.012	-0.013	-0.013	-0.002	0.002	0.005	-0.048	-0.063	0.039	0.044
	[0.063]	[0.066]	[0.064]	[0.040]	[0.044]	[0.040]	[0.046]	[0.048]	[0.043]	[0.048]
momMaxEdu_Uni_F	0.085	0.060	0.054	0.125***	0.177***	0.126***	0.119**	0.145**	0.114**	0.154**
	[0.078]	[0.084]	[0.085]	[0.047]	[0.054]	[0.047]	[0.054]	[0.059]	[0.052]	[0.060]
dadMaxEdu_Uni_F	-0.051	-0.038	-0.036	0.039	0.010	0.040	-0.009	-0.033	-0.007	-0.031
	[0.088]	[0.095]	[0.090]	[0.051]	[0.060]	[0.051]	[0.059]	[0.064]	[0.058]	[0.066]
momMaxEdu_Uni_Miss	-0.289*	-0.295**	-0.294**	-0.217**	-0.047	-0.198*	-0.343***	-0.226	-0.132	0.012
	[0.152]	[0.126]	[0.149]	[0.108]	[0.176]	[0.111]	[0.112]	[0.171]	[0.123]	[0.162]
dadMaxEdu_Uni_Miss	-0.115	-0.089	-0.089	-0.088	-0.090	-0.081	-0.096	-0.081	-0.075	-0.081
	[0.089]	[0.094]	[0.094]	[0.056]	[0.065]	[0.056]	[0.063]	[0.071]	[0.064]	[0.076]
HighInc_F	-0.047	-0.030	-0.026	-0.007	0.009	-0.012	-0.045	-0.055	0.013	0.003
	[0.076]	[0.081]	[0.079]	[0.053]	[0.058]	[0.053]	[0.056]	[0.061]	[0.059]	[0.066]
HighInc_Miss	-0.073	-0.060	-0.051	-0.112**	-0.113**	-0.112**	-0.043	-0.019	-0.143***	-0.170***
	[0.080]	[0.083]	[0.082]	[0.044]	[0.047]	[0.044]	[0.054]	[0.059]	[0.051]	[0.054]
houseOwn_F	0.062	0.066	0.071	0.010	0.034	0.007	-0.027	0.050	0.051	0.080
	[0.081]	[0.083]	[0.082]	[0.047]	[0.050]	[0.047]	[0.058]	[0.061]	[0.050]	[0.057]
distCenter	-0.000	-0.001	-0.003	-0.001	0.002	-0.001	-0.003	-0.004	0.009	0.008
	[0.013]	[0.013]	[0.014]	[0.010]	[0.011]	[0.010]	[0.010]	[0.011]	[0.010]	[0.012]
cgRelig_F	0.035	-0.029	-0.030	0.000	0.037	0.001	0.001	0.021	0.032	0.026
	[0.072]	[0.106]	[0.103]	[0.050]	[0.053]	[0.050]	[0.056]	[0.062]	[0.056]	[0.059]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.014	0.040	0.038	-0.008	-0.034	-0.016	0.058	0.064	-0.053	-0.067
	[0.061]	[0.069]	[0.067]	[0.037]	[0.041]	[0.037]	[0.043]	[0.047]	[0.042]	[0.048]
cgRelig_Miss	-0.464***	-0.400***		-0.293***		-0.285***	-0.484***		-0.228***	
	[0.102]	[0.128]		[0.073]		[0.072]	[0.072]		[0.077]	
Parma							-0.068			
							[0.055]			
Reggio								0.098		0.034
								[0.066]		[0.066]
materna_Municipal								0.045		0.030
								[0.065]		[0.068]
Padova									-0.019	
									[0.055]	
Constant	2.953*	3.484*	3.702*	0.812	0.035	0.722	1.193	0.385	1.473	0.287
	[1.724]	[1.868]	[1.889]	[1.028]	[1.103]	[1.026]	[1.194]	[1.290]	[1.155]	[1.265]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.056	0.001	0.051	0.092	0.096	0.093	0.048	0.056	0.102	0.092
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.46	.46	.46	.46	.46	.46	.46	.46	.46	.46
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
