	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.022	-0.477	-0.017	0.010	0.014	0.006	0.025	-0.009	0.015	0.216**
	[0.024]	[0.525]	[0.057]	[0.019]	[0.023]	[0.021]	[0.026]	[0.023]	[0.030]	[0.102]
asilo_Municipal								-0.025		-0.206**
								[0.020]		[0.091]
nido	0.042	0.465	0.043	-0.007	-0.010	-0.003	-0.008	0.018	0.005	0.148**
	[0.031]	[0.495]	[0.032]	[0.017]	[0.021]	[0.020]	[0.019]	[0.014]	[0.022]	[0.060]
unobsA			-0.036							
			[0.128]							
unobsA2			0.061							
			[0.068]							
unobsA3			0.110							
			[0.228]							
Age	0.072*	0.050	0.075*	0.052**	0.031	0.042*	0.045*	0.009	0.061**	0.026
	[0.040]	[0.050]	[0.043]	[0.021]	[0.019]	[0.022]	[0.024]	[0.025]	[0.027]	[0.030]
Male	-0.020	-0.019	-0.017	-0.025*	-0.047**	-0.030*	-0.021	-0.019	-0.036**	-0.053**
	[0.025]	[0.029]	[0.027]	[0.014]	[0.021]	[0.017]	[0.017]	[0.014]	[0.018]	[0.023]
poorBHealth	0.061***	0.058**	0.066***	-0.024	-0.029	-0.055	-0.002	0.015	0.007	-0.035
	[0.021]	[0.029]	[0.023]	[0.031]	[0.032]	[0.043]	[0.029]	[0.025]	[0.030]	[0.053]
oldsibs	-0.004	-0.016	-0.002	-0.010	-0.001	-0.008	-0.018	-0.020	0.013	0.010
	[0.027]	[0.036]	[0.027]	[0.016]	[0.014]	[0.018]	[0.019]	[0.015]	[0.017]	[0.018]
momMaxEdu_Uni_F	0.059***	0.044	0.059***	0.026*	0.004	0.016	0.050***	0.029***	0.030*	0.027
	[0.020]	[0.028]	[0.021]	[0.014]	[0.016]	[0.017]	[0.014]	[0.010]	[0.017]	[0.025]
dadMaxEdu_Uni_F	-0.015	-0.023	-0.012	0.003	0.007	-0.001	-0.020	-0.007	-0.001	0.021
	[0.030]	[0.040]	[0.033]	[0.016]	[0.016]	[0.020]	[0.018]	[0.012]	[0.022]	[0.024]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.016	0.015	-0.009	-0.013	-0.014	-0.018	-0.026	-0.021	-0.027	-0.048
	[0.041]	[0.048]	[0.046]	[0.025]	[0.021]	[0.030]	[0.030]	[0.025]	[0.032]	[0.049]
HighInc_F	0.041	0.077	0.050*	-0.010	-0.019	-0.018	0.021	0.011	-0.001	-0.027
	[0.025]	[0.047]	[0.029]	[0.017]	[0.017]	[0.019]	[0.016]	[0.011]	[0.022]	[0.029]
HighInc_Miss	0.020	0.024	0.023	-0.018	-0.036	-0.016	-0.003	-0.002	-0.007	-0.034
	[0.030]	[0.037]	[0.031]	[0.018]	[0.029]	[0.018]	[0.023]	[0.020]	[0.020]	[0.036]
houseOwn_F	-0.044	-0.062**	-0.045	0.004	0.008	0.001	-0.030	-0.017	0.005	0.007
	[0.028]	[0.029]	[0.034]	[0.020]	[0.026]	[0.022]	[0.021]	[0.019]	[0.022]	[0.035]
distCenter	-0.000	-0.001	0.000	0.005	0.003	0.005	0.002	0.004	0.003	0.003
	[0.006]	[0.006]	[0.007]	[0.003]	[0.005]	[0.004]	[0.004]	[0.003]	[0.005]	[0.007]
cgRelig_F	0.026	0.004	0.026	0.027	0.062	0.034	0.008	0.006	0.051*	0.117**
	[0.034]	[0.044]	[0.036]	[0.024]	[0.042]	[0.028]	[0.023]	[0.018]	[0.029]	[0.056]
cgRelig_Miss	0.085*	0.102**	0.093**	0.043	0.077	0.027	0.066*	0.050	0.064	0.129*
	[0.046]	[0.051]	[0.045]	[0.038]	[0.053]	[0.048]	[0.034]	[0.034]	[0.043]	[0.074]
CAPI	-0.001	-0.006	0.001	-0.004	0.015	0.002	-0.010	-0.002	0.004	0.028
	[0.027]	[0.031]	[0.031]	[0.014]	[0.018]	[0.017]	[0.017]	[0.018]	[0.017]	[0.025]
momMaxEdu_Uni_Miss	0.066**			0.047***		0.041**	0.044**		0.066***	
	[0.030]			[0.015]		[0.017]	[0.019]		[0.019]	
Parma							0.021			
							[0.020]			
Reggio								-0.048*		-0.002
								[0.028]		[0.032]
nidoXreggio								0.048		-0.129*
								[0.031]		[0.077]
Padova									0.002	
									[0.022]	
Constant	-0.407	0.039	-0.488	-0.037	0.355	0.169	0.130	0.833*	-0.240	0.367
	[0.766]	[0.955]	[0.822]	[0.396]	[0.355]	[0.403]	[0.469]	[0.463]	[0.512]	[0.573]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.059	-0.113	0.063	0.029	0.053	0.032	0.033	0.032	0.040	0.096
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.96	.96	.96	.96	.96	.96	.96	.96	.96	.96
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
