	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.055	0.110	-0.219	0.022	0.030	0.013	0.004	-0.048	0.012	0.016
	[0.040]	[0.406]	[0.151]	[0.030]	[0.033]	[0.130]	[0.039]	[0.103]	[0.037]	[0.065]
asilo_Municipal								-0.016		-0.084
								[0.102]		[0.055]
nido	0.063	-0.073	0.067	-0.047*	-0.068**	0.220*	-0.007	-0.062	-0.014	-0.002
	[0.048]	[0.345]	[0.050]	[0.025]	[0.032]	[0.133]	[0.030]	[0.099]	[0.030]	[0.039]
unobs			0.296							
			[0.213]							
unobs2			0.008							
			[0.093]							
unobs3			-0.354							
			[0.247]							
Age	-0.012	-0.009	-0.017	0.030	0.083	-0.091	0.031	0.087	-0.010	0.041
	[0.044]	[0.044]	[0.044]	[0.033]	[0.051]	[0.161]	[0.035]	[0.057]	[0.033]	[0.042]
Male	-0.038	-0.039	-0.030	-0.035*	-0.007	0.141	-0.044*	-0.012	-0.028	-0.017
	[0.033]	[0.034]	[0.034]	[0.021]	[0.030]	[0.203]	[0.024]	[0.034]	[0.023]	[0.026]
poorBHealth	-0.130*	-0.136*	-0.113	-0.077*	-0.048	0.109	-0.121**	-0.064	-0.093*	-0.032
	[0.071]	[0.074]	[0.077]	[0.044]	[0.046]	[0.114]	[0.052]	[0.056]	[0.053]	[0.052]
oldsibs	-0.061	-0.025	-0.085	-0.006	-0.011	0.310**	-0.092	-0.203	0.025	0.073
	[0.111]	[0.154]	[0.119]	[0.061]	[0.106]	[0.151]	[0.090]	[0.138]	[0.055]	[0.049]
momMaxEdu_Uni_F	0.011	0.009	0.016	-0.003	-0.022	0.254	0.011	-0.023	-0.010	-0.023
	[0.038]	[0.041]	[0.043]	[0.025]	[0.037]	[0.161]	[0.028]	[0.042]	[0.027]	[0.031]
dadMaxEdu_Uni_F	0.075**	0.094	0.065	0.027	0.069**	0.011	0.046	0.098**	0.037	0.046
	[0.037]	[0.066]	[0.040]	[0.025]	[0.034]	[0.100]	[0.028]	[0.041]	[0.026]	[0.035]
momMaxEdu_Uni_Miss	-0.061	-0.063	-0.068	0.091***	0.083**	0.056	-0.028	0.001	-0.046	-0.005
	[0.163]	[0.166]	[0.167]	[0.023]	[0.034]	[0.223]	[0.124]	[0.107]	[0.135]	[0.099]
dadMaxEdu_Uni_Miss	0.037	0.025	0.045	0.010	0.089*	-0.198	0.030	0.049	0.004	0.088*
	[0.063]	[0.075]	[0.065]	[0.045]	[0.045]	[0.197]	[0.046]	[0.062]	[0.048]	[0.046]
HighInc_F	-0.021	-0.015	-0.027	0.002	0.033	-0.336***	-0.018	-0.003	0.018	0.034
	[0.042]	[0.044]	[0.042]	[0.028]	[0.041]	[0.077]	[0.030]	[0.046]	[0.028]	[0.031]
HighInc_Miss	-0.063	-0.054	-0.078	-0.018	-0.009	0.088	-0.060*	-0.071*	-0.028	-0.037
	[0.046]	[0.051]	[0.054]	[0.027]	[0.028]	[0.110]	[0.033]	[0.042]	[0.030]	[0.032]
houseOwn_F	-0.017	-0.009	-0.022	0.041*	0.042	-0.187	0.041	0.074*	-0.003	0.002
	[0.036]	[0.040]	[0.037]	[0.025]	[0.031]	[0.137]	[0.030]	[0.041]	[0.025]	[0.028]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.004	-0.004	-0.004	0.008	0.015**	0.097***	0.002	0.014*	-0.005	-0.004
	[0.008]	[0.008]	[0.008]	[0.005]	[0.008]	[0.028]	[0.006]	[0.008]	[0.006]	[0.006]
cgRelig_F	0.033	0.030	0.023	0.003	0.002	0.153	0.024	0.036	0.036	0.011
	[0.054]	[0.053]	[0.056]	[0.033]	[0.042]	[0.194]	[0.038]	[0.055]	[0.038]	[0.040]
cgRelig_Miss	0.094	0.122	0.107	0.039	0.071	-0.087	-0.008	0.120	0.123***	0.105**
	[0.070]	[0.113]	[0.075]	[0.065]	[0.051]	[0.215]	[0.128]	[0.094]	[0.043]	[0.045]
CAPI	0.009	0.007	0.012	0.001	0.001	0.417***	0.020	0.002	0.000	0.018
	[0.034]	[0.036]	[0.034]	[0.022]	[0.029]	[0.101]	[0.025]	[0.035]	[0.024]	[0.028]
houseOwn_Miss	0.154**	0.191		0.112***		0.100	0.187***		0.086*	
	[0.075]	[0.117]		[0.031]		[0.205]	[0.057]		[0.045]	
Parma							-0.029			
							[0.031]			
Reggio								-0.009		-0.069*
								[0.052]		[0.041]
nidoXreggio								0.135		0.083
								[0.104]		[0.051]
Padova									0.024	
									[0.027]	
Constant	0.996***	0.969***	1.118***	0.695***	0.287	0.649	0.680***	0.216	0.983***	0.675**
	[0.306]	[0.307]	[0.318]	[0.229]	[0.374]	[1.127]	[0.252]	[0.427]	[0.232]	[0.294]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.057	0.033	0.063	0.028	0.057	0.794	0.040	0.080	0.030	0.047
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.9	.9	.9	.9	.9	.9	.9	.9	.9	.9
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
