	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.011	0.289*	0.348**	-0.004	0.007	-0.036	-0.007	-0.372***	-0.006	-0.022
	[0.036]	[0.153]	[0.172]	[0.027]	[0.041]	[0.046]	[0.034]	[0.101]	[0.034]	[0.039]
unobs			-0.520**							
			[0.253]							
unobs2			0.207							
			[0.126]							
unobs3			0.482							
			[0.356]							
Age	-0.011	-0.017	-0.016	0.024	-0.150**	0.452***	0.031	-0.001	-0.012	-0.002
	[0.044]	[0.050]	[0.044]	[0.033]	[0.067]	[0.116]	[0.035]	[0.074]	[0.034]	[0.028]
Male	-0.036	-0.042	-0.037	-0.036*	0.109	-0.116	-0.044*	0.086	-0.029	-0.021
	[0.033]	[0.037]	[0.033]	[0.021]	[0.072]	[0.077]	[0.024]	[0.062]	[0.022]	[0.016]
poorBHealth	-0.127*	-0.145*	-0.136*	-0.085*	0.171	-0.278***	-0.121**	-0.102*	-0.094*	-0.039
	[0.071]	[0.075]	[0.071]	[0.046]	[0.148]	[0.104]	[0.052]	[0.062]	[0.052]	[0.033]
oldsibs	-0.050	0.018	-0.002	0.027	0.126	0.046	-0.094	0.019	0.022	0.019
	[0.109]	[0.111]	[0.117]	[0.053]	[0.081]	[0.099]	[0.089]	[0.101]	[0.053]	[0.051]
momMaxEdu_Uni_F	0.013	0.010	0.011	-0.012	0.060	-0.035	0.011	0.089*	-0.012	-0.008
	[0.037]	[0.045]	[0.039]	[0.026]	[0.069]	[0.103]	[0.028]	[0.052]	[0.026]	[0.019]
dadMaxEdu_Uni_F	0.082**	0.092**	0.092**	0.035	-0.121	-0.105	0.046	0.180***	0.036	0.013
	[0.036]	[0.045]	[0.038]	[0.025]	[0.083]	[0.108]	[0.028]	[0.046]	[0.026]	[0.025]
momMaxEdu_Uni_Miss	-0.067	-0.027	-0.066	0.081***	0.103	0.101	-0.028	0.057	-0.046	-0.035
	[0.166]	[0.166]	[0.183]	[0.023]	[0.133]	[0.185]	[0.124]	[0.140]	[0.135]	[0.133]
dadMaxEdu_Uni_Miss	0.034	-0.008	0.007	0.023	-0.399***	0.099	0.030	-0.257***	0.004	0.011
	[0.065]	[0.066]	[0.072]	[0.041]	[0.107]	[0.062]	[0.047]	[0.081]	[0.048]	[0.028]
HighInc_F	-0.018	-0.040	-0.032	0.005	-0.061	0.083	-0.018	-0.008	0.018	0.034
	[0.042]	[0.050]	[0.043]	[0.028]	[0.055]	[0.109]	[0.030]	[0.059]	[0.028]	[0.027]
HighInc_Miss	-0.064	-0.070	-0.072	-0.013	-0.060	-0.005	-0.060*	-0.215***	-0.026	-0.018
	[0.046]	[0.050]	[0.045]	[0.026]	[0.067]	[0.065]	[0.033]	[0.049]	[0.030]	[0.029]
houseOwn_F	-0.016	0.012	-0.002	0.032	-0.003	-0.035	0.041	-0.050	-0.003	0.008
	[0.036]	[0.042]	[0.041]	[0.025]	[0.062]	[0.120]	[0.030]	[0.057]	[0.025]	[0.017]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.004	-0.001	-0.000	0.010**	-0.011	-0.132***	0.002	0.010	-0.005	0.001
	[0.008]	[0.008]	[0.007]	[0.005]	[0.013]	[0.041]	[0.006]	[0.008]	[0.006]	[0.004]
cgRelig_F	0.028	0.080	0.055	0.003	0.058	0.023	0.024	0.062	0.037	-0.036
	[0.055]	[0.069]	[0.065]	[0.032]	[0.064]	[0.062]	[0.039]	[0.052]	[0.039]	[0.033]
cgRelig_Miss	0.112	0.103	0.129	0.049	-0.116	0.316***	-0.009	-0.016	0.125***	0.060*
	[0.069]	[0.115]	[0.115]	[0.065]	[0.073]	[0.118]	[0.126]	[0.112]	[0.045]	[0.036]
CAPI	0.010	-0.021	-0.004	0.013	0.410***	-0.216***	0.021	0.101***	0.002	-0.003
	[0.034]	[0.044]	[0.041]	[0.022]	[0.099]	[0.083]	[0.025]	[0.030]	[0.024]	[0.024]
houseOwn_Miss	0.156**	0.299**		0.116***		0.041	0.186***		0.082*	
	[0.077]	[0.120]		[0.028]		[0.189]	[0.057]		[0.048]	
Parma							-0.035			
							[0.029]			
Reggio								0.281***		-0.007
								[0.074]		[0.031]
materna_Municipal								0.350***		-0.001
								[0.092]		[0.024]
Padova									0.016	
									[0.028]	
Constant	1.007***	0.842**	0.773**	0.702***	1.671***	-1.511**	0.681***	0.520	0.998***	0.980***
	[0.304]	[0.362]	[0.318]	[0.228]	[0.484]	[0.656]	[0.250]	[0.596]	[0.231]	[0.183]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.054	-0.184	0.078	0.025	0.980	0.651	0.040	0.992	0.029	0.085
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.9	.9	.9	.9	.9	.9	.9	.9	.9	.9
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
