	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.002	0.149	0.029	-0.017	-0.025	-0.055	-0.002	0.196***	-0.001	0.143*
	[0.040]	[0.131]	[0.153]	[0.030]	[0.046]	[0.037]	[0.040]	[0.063]	[0.039]	[0.076]
unobs			0.081							
			[0.268]							
unobs2			-0.216							
			[0.162]							
unobs3			-0.428							
			[0.502]							
Age	0.123**	0.120**	0.119**	0.072*	-0.250***	0.135**	0.057	-0.205***	0.130***	0.234***
	[0.055]	[0.056]	[0.055]	[0.038]	[0.092]	[0.060]	[0.044]	[0.054]	[0.039]	[0.085]
Male	0.005	0.002	-0.001	-0.037	-0.168**	-0.067**	-0.023	-0.135***	-0.021	-0.009
	[0.039]	[0.040]	[0.041]	[0.024]	[0.072]	[0.034]	[0.028]	[0.032]	[0.027]	[0.039]
poorBHealth	0.027	0.018	0.013	-0.006	0.040	-0.002	0.007	-0.107	0.022	-0.088
	[0.061]	[0.067]	[0.062]	[0.043]	[0.074]	[0.029]	[0.046]	[0.105]	[0.045]	[0.093]
oldsibs	-0.159	-0.124	-0.134	-0.088	-0.073	-0.062	-0.156	-0.180	-0.074	-0.092
	[0.135]	[0.148]	[0.145]	[0.082]	[0.120]	[0.085]	[0.109]	[0.150]	[0.075]	[0.100]
momMaxEdu_Uni_F	0.091**	0.090**	0.089**	0.011	-0.258***	-0.120	0.046	-0.214***	0.025	0.040
	[0.037]	[0.038]	[0.038]	[0.029]	[0.060]	[0.078]	[0.031]	[0.041]	[0.031]	[0.067]
dadMaxEdu_Uni_F	0.106***	0.111***	0.109***	-0.017	-0.017	-0.153	0.025	0.181***	0.024	-0.177**
	[0.038]	[0.040]	[0.038]	[0.031]	[0.111]	[0.114]	[0.033]	[0.043]	[0.032]	[0.080]
momMaxEdu_Uni_Miss	-0.175	-0.155	-0.134	-0.198	-0.245	-0.245	-0.098	-0.105	-0.161	-0.272
	[0.177]	[0.201]	[0.172]	[0.189]	[0.183]	[0.226]	[0.150]	[0.171]	[0.164]	[0.227]
dadMaxEdu_Uni_Miss	-0.068	-0.089	-0.092	-0.018	0.025	-0.081**	-0.021	0.006	-0.022	0.059
	[0.077]	[0.083]	[0.082]	[0.045]	[0.096]	[0.037]	[0.057]	[0.072]	[0.050]	[0.089]
HighInc_F	0.020	0.009	0.005	0.051*	0.483**	0.034	0.028	-0.013	0.076**	0.220***
	[0.043]	[0.046]	[0.045]	[0.030]	[0.190]	[0.037]	[0.032]	[0.042]	[0.031]	[0.062]
HighInc_Miss	-0.044	-0.047	-0.044	0.013	-0.272***	-0.027	-0.008	-0.305***	0.018	0.138**
	[0.051]	[0.053]	[0.052]	[0.030]	[0.055]	[0.027]	[0.037]	[0.039]	[0.033]	[0.059]
houseOwn_F	-0.063	-0.049	-0.040	-0.008	0.050	0.112	-0.020	0.151***	-0.035	0.041
	[0.039]	[0.042]	[0.041]	[0.026]	[0.061]	[0.116]	[0.031]	[0.032]	[0.027]	[0.039]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.003	-0.002	-0.003	-0.003	-0.015	0.014	0.000	-0.008	-0.008	-0.023*
	[0.008]	[0.008]	[0.009]	[0.007]	[0.011]	[0.011]	[0.006]	[0.008]	[0.007]	[0.012]
cgRelig_F	-0.060	-0.033	-0.018	-0.019	0.114	-0.156***	-0.047	-0.003	-0.024	0.133*
	[0.049]	[0.054]	[0.052]	[0.033]	[0.081]	[0.047]	[0.037]	[0.056]	[0.037]	[0.077]
cgRelig_Miss	-0.198	-0.203	-0.272	0.125***	0.398***	0.099**	0.003	0.081	0.065	0.306***
	[0.204]	[0.175]	[0.225]	[0.039]	[0.130]	[0.050]	[0.131]	[0.081]	[0.069]	[0.099]
CAPI	-0.049	-0.065	-0.076*	-0.024	0.063	-0.108	-0.037	-0.100*	-0.025	-0.054
	[0.039]	[0.042]	[0.042]	[0.024]	[0.086]	[0.067]	[0.028]	[0.053]	[0.027]	[0.046]
houseOwn_Miss	0.258	0.330*		-0.208		-0.081	-0.112		0.096*	
	[0.166]	[0.175]		[0.303]		[0.394]	[0.237]		[0.050]	
Parma							-0.012			
							[0.036]			
Reggio								-0.093		-0.058
								[0.057]		[0.046]
materna_Municipal								-0.198***		-0.151**
								[0.036]		[0.061]
Padova									0.044	
									[0.035]	
Constant	0.123	0.039	0.153	0.451*	2.600***	0.207	0.550*	2.531***	0.046	-0.748
	[0.387]	[0.402]	[0.395]	[0.259]	[0.663]	[0.343]	[0.307]	[0.390]	[0.270]	[0.583]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.103	0.058	0.114	0.026	0.999	0.217	0.029	0.999	0.052	0.570
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.86	.86	.86	.86	.86	.86	.86	.86	.86	.86
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
