	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.055**	0.029	0.032	-0.000	0.000	0.000	0.051**	0.094**	0.048*	0.063*
	[0.027]	[0.142]	[0.166]	[0.015]	[0.017]	[0.015]	[0.026]	[0.041]	[0.026]	[0.034]
unobsM			-0.001							
			[0.241]							
unobsM2			-0.157							
			[0.104]							
unobsM3			0.040							
			[0.328]							
Age	0.043	0.041	0.035	-0.029*	-0.024	-0.030*	0.007	0.028	-0.010	-0.009
	[0.030]	[0.029]	[0.029]	[0.017]	[0.019]	[0.018]	[0.024]	[0.032]	[0.020]	[0.026]
Male	-0.098***	-0.098***	-0.096***	-0.025**	-0.018	-0.023*	-0.062***	-0.066***	-0.061***	-0.072***
	[0.026]	[0.026]	[0.026]	[0.013]	[0.015]	[0.013]	[0.018]	[0.022]	[0.016]	[0.018]
poorBHealth	0.040**	0.038*	0.031	0.028***	0.034**	0.029***	0.040***	0.053**	0.031***	0.032***
	[0.018]	[0.022]	[0.022]	[0.010]	[0.015]	[0.010]	[0.014]	[0.021]	[0.010]	[0.012]
oldsibs	-0.040	-0.040	-0.040	0.006	0.005	0.005	-0.026	-0.044*	-0.010	-0.029
	[0.025]	[0.025]	[0.025]	[0.011]	[0.014]	[0.011]	[0.019]	[0.026]	[0.014]	[0.020]
momMaxEdu_Uni_F	0.055***	0.052**	0.044*	0.009	0.010	0.010	0.027	0.033	0.029***	0.019**
	[0.020]	[0.025]	[0.024]	[0.013]	[0.013]	[0.013]	[0.018]	[0.020]	[0.010]	[0.009]
dadMaxEdu_Uni_F	0.000	0.002	0.005	0.015	0.017	0.015	0.024	0.021	-0.010	-0.005
	[0.021]	[0.024]	[0.025]	[0.010]	[0.011]	[0.010]	[0.015]	[0.018]	[0.010]	[0.010]
momMaxEdu_Uni_Miss	-0.143	-0.144	-0.140	-0.050	-0.018	-0.036	-0.092	-0.038	-0.048	-0.025
	[0.142]	[0.141]	[0.148]	[0.068]	[0.050]	[0.057]	[0.111]	[0.090]	[0.073]	[0.048]
dadMaxEdu_Uni_Miss	-0.083*	-0.080	-0.079	-0.048	-0.057	-0.045	-0.045	-0.043	-0.067*	-0.039
	[0.047]	[0.056]	[0.055]	[0.030]	[0.035]	[0.029]	[0.033]	[0.041]	[0.036]	[0.037]
HighInc_F	-0.010	-0.008	-0.008	-0.012	-0.013	-0.014	-0.022	-0.020	0.012	0.020
	[0.024]	[0.027]	[0.026]	[0.017]	[0.019]	[0.018]	[0.021]	[0.024]	[0.015]	[0.019]
HighInc_Miss	-0.058	-0.057	-0.058	0.005	0.013	0.008	-0.029	-0.019	-0.004	0.003
	[0.038]	[0.039]	[0.039]	[0.016]	[0.018]	[0.015]	[0.025]	[0.029]	[0.022]	[0.024]
houseOwn_F	0.042	0.043	0.038	0.007	0.024	0.008	0.031	0.076*	0.030	0.055
	[0.045]	[0.046]	[0.045]	[0.018]	[0.026]	[0.018]	[0.028]	[0.043]	[0.026]	[0.035]
distCenter	-0.015**	-0.015**	-0.016**	-0.006	-0.004	-0.005	-0.009**	-0.010**	-0.013**	-0.016**
	[0.006]	[0.006]	[0.007]	[0.004]	[0.004]	[0.004]	[0.005]	[0.005]	[0.005]	[0.006]
cgRelig_F	0.009	0.003	0.010	-0.023*	-0.015	-0.021	0.007	0.028	0.004	0.011
	[0.034]	[0.053]	[0.055]	[0.014]	[0.018]	[0.014]	[0.025]	[0.035]	[0.022]	[0.027]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.015	-0.013	-0.011	-0.014	0.005	-0.014	-0.015	0.009	-0.010	0.005
	[0.023]	[0.029]	[0.028]	[0.012]	[0.017]	[0.012]	[0.016]	[0.024]	[0.014]	[0.017]
cgRelig_Miss	0.075	0.081		-0.006		-0.006	0.041		0.024	
	[0.046]	[0.058]		[0.014]		[0.014]	[0.029]		[0.023]	
Parma							0.032			
							[0.023]			
Reggio								-0.056*		-0.081**
								[0.030]		[0.032]
materna_Municipal								-0.036		-0.005
								[0.028]		[0.016]
Padova									0.057**	
									[0.024]	
Constant	0.195	0.250	0.397	1.570***	1.422***	1.576***	0.843*	0.441	1.158***	1.198**
	[0.566]	[0.551]	[0.566]	[0.329]	[0.390]	[0.339]	[0.474]	[0.641]	[0.383]	[0.518]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.171	0.167	0.183	0.044	0.041	0.042	0.081	0.107	0.106	0.134
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.96	.96	.96	.96	.96	.96	.96	.96	.96	.96
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
