	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.106	-0.515	0.085	0.108**	0.140**	0.127**	-0.048	0.179	-0.108	-0.189
	[0.100]	[0.797]	[0.253]	[0.048]	[0.054]	[0.056]	[0.070]	[0.163]	[0.071]	[0.141]
asilo_Municipal								-0.151		0.193**
								[0.123]		[0.083]
nido	-0.204**	0.310	-0.230**	0.066	0.054	0.074	-0.038	0.177	0.045	0.005
	[0.103]	[0.665]	[0.103]	[0.042]	[0.053]	[0.052]	[0.050]	[0.127]	[0.056]	[0.076]
unobs			0.214							
			[0.381]							
unobs2			0.186							
			[0.162]							
unobs3			-0.506							
			[0.493]							
Age	-0.094	-0.107	-0.090	-0.105*	-0.065	-0.087	-0.068	-0.015	-0.089	-0.116*
	[0.079]	[0.086]	[0.080]	[0.055]	[0.072]	[0.078]	[0.058]	[0.076]	[0.061]	[0.070]
Male	0.043	0.048	0.036	-0.026	-0.034	-0.037	-0.011	-0.009	0.002	-0.042
	[0.058]	[0.063]	[0.061]	[0.035]	[0.044]	[0.046]	[0.039]	[0.046]	[0.041]	[0.046]
poorBHealth	0.078	0.099	0.073	0.103	0.100	0.105	0.159**	0.174**	0.042	-0.031
	[0.095]	[0.098]	[0.102]	[0.063]	[0.079]	[0.072]	[0.070]	[0.088]	[0.068]	[0.076]
oldsibs	0.156	0.086	0.132	-0.042	0.033	-0.093	0.100	0.140	0.046	0.099
	[0.116]	[0.142]	[0.123]	[0.075]	[0.096]	[0.069]	[0.095]	[0.098]	[0.073]	[0.077]
momMaxEdu_Uni_F	-0.016	-0.008	-0.018	-0.007	0.020	0.036	0.002	0.050	0.021	0.024
	[0.075]	[0.079]	[0.078]	[0.041]	[0.052]	[0.057]	[0.047]	[0.057]	[0.050]	[0.055]
dadMaxEdu_Uni_F	0.148*	0.075	0.139*	0.083*	0.110*	0.114*	0.145***	0.153**	0.056	0.085
	[0.081]	[0.126]	[0.083]	[0.045]	[0.060]	[0.066]	[0.051]	[0.068]	[0.053]	[0.060]
momMaxEdu_Uni_Miss	-0.308**	-0.300**	-0.296**	-0.194	-0.322**	-0.235	-0.214	-0.336**	-0.285**	-0.366***
	[0.140]	[0.152]	[0.150]	[0.193]	[0.161]	[0.188]	[0.157]	[0.132]	[0.128]	[0.113]
dadMaxEdu_Uni_Miss	-0.146	-0.105	-0.145	-0.062	-0.105	-0.062	-0.030	0.061	-0.141**	-0.171**
	[0.103]	[0.116]	[0.103]	[0.061]	[0.071]	[0.077]	[0.077]	[0.087]	[0.067]	[0.074]
HighInc_F	-0.051	-0.071	-0.057	0.047	-0.002	0.034	0.046	0.026	-0.040	-0.121*
	[0.081]	[0.089]	[0.081]	[0.050]	[0.069]	[0.059]	[0.054]	[0.074]	[0.061]	[0.064]
HighInc_Miss	0.161**	0.131	0.189**	0.098**	0.083	0.119**	0.143***	0.088	0.114**	0.097*
	[0.070]	[0.088]	[0.086]	[0.046]	[0.054]	[0.051]	[0.051]	[0.063]	[0.050]	[0.053]
houseOwn_F	-0.050	-0.078	-0.038	-0.031	0.039	-0.040	-0.077*	-0.027	-0.052	-0.005
	[0.058]	[0.072]	[0.060]	[0.038]	[0.047]	[0.053]	[0.043]	[0.053]	[0.042]	[0.048]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.024**	-0.024**	-0.023**	-0.005	0.003	0.001	-0.009	0.002	-0.013	-0.016
	[0.011]	[0.012]	[0.011]	[0.009]	[0.013]	[0.014]	[0.008]	[0.013]	[0.010]	[0.011]
cgRelig_F	0.161*	0.172*	0.160*	-0.004	-0.108	-0.054	0.030	-0.111	0.089	0.044
	[0.083]	[0.090]	[0.083]	[0.054]	[0.072]	[0.076]	[0.061]	[0.086]	[0.060]	[0.065]
cgRelig_Miss	0.389	0.284	0.253	-0.075	-0.242**	-0.173	-0.018	-0.384***	0.123	0.005
	[0.348]	[0.328]	[0.402]	[0.118]	[0.099]	[0.119]	[0.182]	[0.142]	[0.133]	[0.135]
CAPI	0.006	0.015	0.008	0.108***	0.119**	0.100**	0.038	0.071	0.046	0.027
	[0.058]	[0.063]	[0.058]	[0.036]	[0.047]	[0.049]	[0.040]	[0.053]	[0.041]	[0.046]
houseOwn_Miss	-0.266	-0.402		-0.364***		-0.390***	-0.246		-0.245	
	[0.313]	[0.293]		[0.064]		[0.067]	[0.173]		[0.227]	
Parma							-0.212***			
							[0.055]			
Reggio								0.289***		0.329***
								[0.077]		[0.071]
nidoXreggio								-0.309*		-0.097
								[0.169]		[0.141]
Padova									-0.239***	
									[0.054]	
Constant	1.075*	1.195**	1.033*	0.925**	0.695	0.817	0.938**	0.365	1.063**	1.050**
	[0.549]	[0.605]	[0.581]	[0.370]	[0.487]	[0.523]	[0.403]	[0.523]	[0.423]	[0.471]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.117	-0.009	0.122	0.059	0.090	0.069	0.102	0.135	0.074	0.114
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.49	.49	.49	.49	.49	.49	.49	.49	.49	.49
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
