	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.034	-0.040	0.062	0.042	0.028	0.145	-0.018	0.008	0.004	0.075
	[0.097]	[0.651]	[0.225]	[0.047]	[0.053]	[0.240]	[0.069]	[0.138]	[0.067]	[0.135]
asilo_Municipal								-0.016		-0.102
								[0.084]		[0.092]
nido	-0.042	0.020	-0.036	-0.031	-0.020	-0.535**	0.006	0.052	-0.017	0.019
	[0.101]	[0.543]	[0.105]	[0.044]	[0.058]	[0.238]	[0.054]	[0.105]	[0.052]	[0.081]
unobs			-0.093							
			[0.327]							
unobs2			-0.102							
			[0.162]							
unobs3			0.171							
			[0.468]							
Age	0.109	0.108	0.109	-0.033	-0.008	0.466*	0.009	-0.002	0.033	0.062
	[0.078]	[0.079]	[0.078]	[0.054]	[0.073]	[0.274]	[0.060]	[0.077]	[0.055]	[0.072]
Male	-0.038	-0.038	-0.037	-0.059	-0.059	-0.117	-0.039	-0.004	-0.061	-0.088**
	[0.055]	[0.055]	[0.057]	[0.036]	[0.042]	[0.356]	[0.040]	[0.049]	[0.039]	[0.043]
poorBHealth	-0.023	-0.020	-0.023	-0.003	0.022	-0.137	-0.020	0.007	-0.003	0.071
	[0.095]	[0.098]	[0.100]	[0.057]	[0.076]	[0.218]	[0.068]	[0.096]	[0.066]	[0.072]
oldsibs	-0.063	-0.079	-0.061	-0.036	-0.055	-0.106	0.004	0.093	-0.130	-0.129
	[0.164]	[0.221]	[0.174]	[0.101]	[0.134]	[0.428]	[0.119]	[0.116]	[0.102]	[0.122]
momMaxEdu_Uni_F	0.068	0.069	0.067	-0.033	-0.095*	-0.752***	0.049	-0.031	-0.023	-0.081
	[0.070]	[0.071]	[0.073]	[0.043]	[0.055]	[0.278]	[0.048]	[0.064]	[0.049]	[0.059]
dadMaxEdu_Uni_F	-0.018	-0.027	-0.014	-0.040	-0.000	0.694***	-0.058	0.020	-0.033	-0.008
	[0.073]	[0.107]	[0.075]	[0.046]	[0.063]	[0.192]	[0.051]	[0.074]	[0.051]	[0.063]
momMaxEdu_Uni_Miss	-0.138	-0.137	-0.130	-0.256	-0.480***	-0.508*	-0.105	-0.215	-0.119	-0.249
	[0.191]	[0.191]	[0.194]	[0.237]	[0.173]	[0.260]	[0.175]	[0.206]	[0.183]	[0.201]
dadMaxEdu_Uni_Miss	-0.194*	-0.189*	-0.194*	-0.051	-0.105	-0.455	-0.177**	-0.184**	-0.058	-0.011
	[0.104]	[0.112]	[0.104]	[0.064]	[0.076]	[0.312]	[0.078]	[0.089]	[0.067]	[0.082]
HighInc_F	-0.035	-0.038	-0.028	-0.032	-0.128	-0.593***	-0.042	-0.149*	-0.010	-0.072
	[0.076]	[0.080]	[0.077]	[0.052]	[0.080]	[0.154]	[0.055]	[0.083]	[0.059]	[0.071]
HighInc_Miss	0.092	0.088	0.089	0.030	0.027	-0.362**	0.041	-0.031	0.059	0.037
	[0.068]	[0.077]	[0.082]	[0.045]	[0.059]	[0.173]	[0.051]	[0.062]	[0.046]	[0.051]
houseOwn_F	0.005	0.002	0.006	-0.031	-0.040	1.028***	-0.025	0.002	-0.018	-0.011
	[0.057]	[0.064]	[0.058]	[0.039]	[0.051]	[0.237]	[0.043]	[0.056]	[0.040]	[0.050]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.000	0.000	-0.001	0.003	0.027**	-0.091*	0.003	0.022*	0.003	0.004
	[0.011]	[0.011]	[0.011]	[0.009]	[0.012]	[0.054]	[0.008]	[0.012]	[0.009]	[0.012]
cgRelig_F	-0.097	-0.095	-0.090	-0.107**	-0.213***	-1.509***	-0.080	-0.176**	-0.088	-0.146**
	[0.079]	[0.080]	[0.080]	[0.050]	[0.064]	[0.324]	[0.061]	[0.081]	[0.054]	[0.066]
cgRelig_Miss	-0.129	-0.142	-0.134	-0.346***	-0.528***	-1.386***	-0.350**	-0.626***	-0.244*	-0.288*
	[0.291]	[0.299]	[0.335]	[0.127]	[0.135]	[0.372]	[0.151]	[0.110]	[0.136]	[0.174]
CAPI	-0.036	-0.035	-0.037	0.015	-0.002	-0.094	-0.026	-0.039	-0.009	-0.051
	[0.057]	[0.059]	[0.058]	[0.036]	[0.050]	[0.215]	[0.041]	[0.054]	[0.039]	[0.051]
houseOwn_Miss	0.266	0.249		0.349***		0.590*	0.387***		0.353***	
	[0.176]	[0.223]		[0.061]		[0.350]	[0.080]		[0.105]	
Parma							-0.138**			
							[0.056]			
Reggio								0.103		-0.080
								[0.094]		[0.069]
nidoXreggio								-0.036		0.021
								[0.159]		[0.134]
Padova									0.042	
									[0.050]	
Constant	0.053	0.066	0.056	1.035***	0.949*	-0.648	0.746*	0.747	0.585	0.546
	[0.537]	[0.549]	[0.560]	[0.364]	[0.489]	[1.762]	[0.414]	[0.552]	[0.378]	[0.469]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.047	0.045	0.046	0.030	0.121	0.939	0.046	0.133	0.027	0.064
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.68	.68	.68	.68	.68	.68	.68	.68	.68	.68
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
