	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.130***	-0.432	-0.200	0.014	0.009	0.028	-0.061	-0.333**	-0.117**	-0.110
	[0.050]	[0.572]	[0.198]	[0.040]	[0.043]	[0.050]	[0.049]	[0.144]	[0.049]	[0.091]
asilo_Municipal								0.210		-0.028
								[0.129]		[0.079]
nido	0.082	0.332	0.082	-0.013	-0.020	0.012	-0.016	-0.202	0.055	0.045
	[0.050]	[0.475]	[0.053]	[0.037]	[0.045]	[0.060]	[0.038]	[0.128]	[0.041]	[0.067]
unobs			0.090							
			[0.283]							
unobs2			-0.043							
			[0.128]							
unobs3			-0.042							
			[0.363]							
Age	0.004	-0.003	-0.002	0.035	0.049	0.017	-0.035	-0.027	0.050	0.107*
	[0.064]	[0.070]	[0.065]	[0.046]	[0.054]	[0.063]	[0.049]	[0.054]	[0.045]	[0.057]
Male	0.025	0.027	0.030	0.041	0.031	0.026	0.025	0.008	0.033	0.039
	[0.044]	[0.045]	[0.046]	[0.031]	[0.037]	[0.044]	[0.033]	[0.039]	[0.032]	[0.035]
poorBHealth	-0.109	-0.099	-0.098	-0.004	0.072	0.072	0.009	0.088*	-0.069	-0.038
	[0.082]	[0.083]	[0.093]	[0.050]	[0.048]	[0.051]	[0.052]	[0.051]	[0.061]	[0.067]
oldsibs	0.105**	0.070	0.082	0.041	0.055	0.084	0.117***	0.114**	0.026	-0.015
	[0.045]	[0.084]	[0.051]	[0.064]	[0.065]	[0.063]	[0.040]	[0.054]	[0.058]	[0.070]
momMaxEdu_Uni_F	-0.081	-0.077	-0.075	-0.045	-0.039	-0.075	-0.066	-0.055	-0.055	-0.036
	[0.061]	[0.062]	[0.062]	[0.039]	[0.051]	[0.059]	[0.043]	[0.055]	[0.043]	[0.049]
dadMaxEdu_Uni_F	0.116**	0.080	0.111**	0.088**	0.144***	0.150***	0.098**	0.127**	0.102***	0.127***
	[0.054]	[0.089]	[0.055]	[0.038]	[0.046]	[0.055]	[0.040]	[0.050]	[0.040]	[0.046]
momMaxEdu_Uni_Miss	-0.350*	-0.346*	-0.357*	-0.204	-0.167	-0.169	-0.337**	-0.274	-0.311*	-0.303
	[0.201]	[0.207]	[0.203]	[0.205]	[0.230]	[0.207]	[0.171]	[0.178]	[0.187]	[0.226]
dadMaxEdu_Uni_Miss	-0.056	-0.036	-0.051	-0.034	-0.036	0.008	-0.058	-0.155	-0.028	0.004
	[0.091]	[0.100]	[0.092]	[0.059]	[0.073]	[0.075]	[0.069]	[0.096]	[0.060]	[0.071]
HighInc_F	-0.013	-0.023	-0.013	0.015	0.033	0.040	0.019	0.042	0.019	-0.008
	[0.056]	[0.058]	[0.057]	[0.043]	[0.046]	[0.053]	[0.043]	[0.045]	[0.044]	[0.049]
HighInc_Miss	0.023	0.008	0.010	0.037	0.066	0.069	0.041	0.102**	0.022	0.004
	[0.052]	[0.057]	[0.070]	[0.037]	[0.052]	[0.047]	[0.039]	[0.045]	[0.039]	[0.045]
houseOwn_F	0.025	0.012	0.022	-0.009	-0.050	-0.057	0.000	-0.039	0.013	0.001
	[0.044]	[0.052]	[0.047]	[0.034]	[0.044]	[0.046]	[0.035]	[0.049]	[0.034]	[0.040]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.009	0.009	0.009	0.005	0.008	0.006	0.006	0.007	0.011	0.011
	[0.008]	[0.009]	[0.009]	[0.008]	[0.011]	[0.012]	[0.007]	[0.008]	[0.008]	[0.010]
cgRelig_F	0.037	0.042	0.035	-0.007	-0.034	-0.020	0.025	0.001	0.005	-0.025
	[0.065]	[0.069]	[0.065]	[0.044]	[0.049]	[0.060]	[0.049]	[0.055]	[0.047]	[0.054]
cgRelig_Miss	0.266**	0.215	0.198	-0.231*	-0.430***	-0.264*	0.069	-0.295	-0.172	-0.314**
	[0.126]	[0.200]	[0.121]	[0.123]	[0.158]	[0.155]	[0.129]	[0.257]	[0.133]	[0.155]
CAPI	-0.025	-0.020	-0.024	-0.047	-0.005	-0.035	-0.028	0.004	-0.045	-0.046
	[0.043]	[0.045]	[0.044]	[0.031]	[0.040]	[0.048]	[0.032]	[0.040]	[0.032]	[0.039]
houseOwn_Miss	-0.692***	-0.758***		-0.193		-0.105	-0.195		-0.584**	
	[0.200]	[0.203]		[0.295]		[0.258]	[0.248]		[0.277]	
Parma							-0.077**			
							[0.037]			
Reggio								0.026		0.050
								[0.061]		[0.056]
nidoXreggio								0.284*		0.057
								[0.145]		[0.082]
Padova									-0.101***	
									[0.037]	
Constant	0.760*	0.818	0.844*	0.541*	0.452	0.642	1.057***	0.949**	0.477	0.054
	[0.441]	[0.497]	[0.477]	[0.317]	[0.388]	[0.437]	[0.338]	[0.386]	[0.313]	[0.382]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.098	0.045	0.087	0.027	0.114	0.045	0.048	0.157	0.063	0.086
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
