	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.045	0.583	-0.093	0.013	0.031	0.103	0.110	-0.264**	-0.001	-0.027
	[0.099]	[0.642]	[0.240]	[0.050]	[0.056]	[0.217]	[0.072]	[0.134]	[0.070]	[0.129]
asilo_Municipal								0.147		-0.070
								[0.095]		[0.090]
nido	0.103	-0.342	0.104	0.022	0.009	-0.257	0.002	-0.133	0.139**	0.170**
	[0.101]	[0.534]	[0.102]	[0.046]	[0.066]	[0.203]	[0.054]	[0.103]	[0.055]	[0.084]
unobs			0.355							
			[0.359]							
unobs2			-0.076							
			[0.166]							
unobs3			-0.617							
			[0.496]							
Age	-0.124	-0.115	-0.128	-0.071	-0.107	-0.088	-0.096	-0.195**	-0.084	-0.034
	[0.084]	[0.089]	[0.084]	[0.056]	[0.086]	[0.219]	[0.062]	[0.089]	[0.060]	[0.072]
Male	-0.077	-0.079	-0.077	-0.064*	-0.111**	-0.501***	-0.101**	-0.140***	-0.062	-0.029
	[0.058]	[0.062]	[0.060]	[0.038]	[0.047]	[0.155]	[0.041]	[0.048]	[0.042]	[0.047]
poorBHealth	0.002	-0.017	-0.002	-0.012	-0.039	0.223	0.001	-0.093	-0.029	0.084
	[0.097]	[0.097]	[0.101]	[0.060]	[0.082]	[0.170]	[0.067]	[0.083]	[0.072]	[0.078]
oldsibs	-0.175	-0.056	-0.199	0.050	-0.168	-0.770***	-0.078	-0.088	-0.099	-0.308**
	[0.138]	[0.186]	[0.151]	[0.101]	[0.152]	[0.242]	[0.112]	[0.119]	[0.101]	[0.127]
momMaxEdu_Uni_F	0.062	0.055	0.052	-0.014	0.078	-0.077	0.035	0.147**	0.012	-0.029
	[0.070]	[0.074]	[0.075]	[0.044]	[0.060]	[0.233]	[0.049]	[0.061]	[0.051]	[0.060]
dadMaxEdu_Uni_F	-0.046	0.018	-0.048	-0.034	-0.118	0.147	-0.033	-0.099	-0.013	0.032
	[0.077]	[0.115]	[0.080]	[0.047]	[0.074]	[0.154]	[0.053]	[0.068]	[0.054]	[0.062]
momMaxEdu_Uni_Miss	-0.100	-0.105	-0.078	-0.174	-0.357*	-0.168	-0.101	-0.220	-0.058	-0.300*
	[0.224]	[0.235]	[0.217]	[0.225]	[0.185]	[0.264]	[0.187]	[0.177]	[0.190]	[0.161]
dadMaxEdu_Uni_Miss	-0.042	-0.079	-0.037	-0.076	-0.062	-0.220	-0.121	-0.089	-0.037	0.051
	[0.107]	[0.114]	[0.107]	[0.068]	[0.096]	[0.134]	[0.077]	[0.086]	[0.073]	[0.087]
HighInc_F	0.061	0.080	0.058	0.041	0.006	-0.370***	0.017	-0.012	0.064	0.056
	[0.078]	[0.087]	[0.079]	[0.053]	[0.080]	[0.108]	[0.056]	[0.081]	[0.060]	[0.067]
HighInc_Miss	0.208***	0.235***	0.218***	0.043	0.102	0.121	0.114**	0.128**	0.096*	0.060
	[0.071]	[0.081]	[0.081]	[0.047]	[0.067]	[0.160]	[0.053]	[0.062]	[0.050]	[0.059]
houseOwn_F	0.034	0.059	0.039	-0.064	-0.091	0.712***	-0.057	-0.069	-0.009	-0.022
	[0.060]	[0.070]	[0.062]	[0.040]	[0.060]	[0.192]	[0.044]	[0.053]	[0.043]	[0.051]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.004	0.004	0.002	-0.008	0.000	-0.153***	-0.007	-0.002	0.009	0.013
	[0.012]	[0.012]	[0.012]	[0.010]	[0.016]	[0.044]	[0.009]	[0.014]	[0.010]	[0.012]
cgRelig_F	-0.047	-0.057	-0.050	-0.013	-0.194**	-1.507***	0.004	-0.143	-0.022	-0.078
	[0.078]	[0.085]	[0.080]	[0.055]	[0.084]	[0.166]	[0.061]	[0.105]	[0.059]	[0.069]
cgRelig_Miss	-0.129	-0.037	-0.176	-0.160	-0.405**	-1.307***	-0.265	-0.487***	-0.070	-0.095
	[0.296]	[0.401]	[0.348]	[0.128]	[0.161]	[0.232]	[0.170]	[0.115]	[0.136]	[0.182]
CAPI	-0.101*	-0.109*	-0.103*	0.017	0.045	-0.312**	-0.035	0.018	-0.053	-0.066
	[0.060]	[0.063]	[0.060]	[0.038]	[0.058]	[0.127]	[0.042]	[0.055]	[0.041]	[0.051]
houseOwn_Miss	-0.469***	-0.348		-0.256		0.039	-0.212		-0.527***	
	[0.180]	[0.293]		[0.298]		[0.459]	[0.248]		[0.075]	
Parma							0.002			
							[0.057]			
Reggio								-0.076		-0.138*
								[0.084]		[0.072]
nidoXreggio								0.416***		0.084
								[0.143]		[0.127]
Padova									0.092*	
									[0.053]	
Constant	1.329**	1.240*	1.453**	1.125***	1.535***	3.164**	1.233***	2.035***	1.046**	0.862*
	[0.582]	[0.630]	[0.612]	[0.381]	[0.562]	[1.442]	[0.432]	[0.595]	[0.415]	[0.481]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.083	-0.010	0.081	0.018	0.088	0.977	0.041	0.150	0.048	0.082
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.53	.53	.53	.53	.53	.53	.53	.53	.53	.53
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
