	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.051	0.085	0.003	-0.006	-0.027	-0.078	0.041	-0.010	0.008	0.012
	[0.075]	[0.664]	[0.168]	[0.035]	[0.037]	[0.259]	[0.052]	[0.101]	[0.054]	[0.112]
asilo_Municipal								0.042		0.076
								[0.067]		[0.082]
nido	-0.001	-0.029	-0.000	0.059*	0.107**	0.310	0.015	0.013	0.046	0.022
	[0.078]	[0.547]	[0.078]	[0.032]	[0.044]	[0.276]	[0.038]	[0.077]	[0.043]	[0.081]
unobs			-0.041							
			[0.263]							
unobs2			0.107							
			[0.114]							
unobs3			0.293							
			[0.366]							
Age	0.014	0.015	0.012	-0.009	0.024	0.194	-0.010	-0.035	0.030	0.104
	[0.065]	[0.068]	[0.066]	[0.040]	[0.074]	[0.290]	[0.044]	[0.082]	[0.047]	[0.064]
Male	-0.169***	-0.170***	-0.159***	-0.100***	-0.062*	-0.206	-0.136***	-0.114***	-0.141***	-0.097**
	[0.045]	[0.045]	[0.046]	[0.027]	[0.032]	[0.204]	[0.029]	[0.033]	[0.032]	[0.039]
poorBHealth	0.030	0.029	0.058	-0.016	-0.029	0.083	-0.042	-0.064	0.054	0.130**
	[0.069]	[0.072]	[0.074]	[0.046]	[0.061]	[0.144]	[0.051]	[0.070]	[0.048]	[0.055]
oldsibs	-0.175	-0.168	-0.191	0.038	-0.010	0.059	-0.169	-0.173	-0.023	0.058
	[0.145]	[0.184]	[0.143]	[0.062]	[0.100]	[0.418]	[0.105]	[0.133]	[0.078]	[0.050]
momMaxEdu_Uni_F	0.058	0.058	0.079	-0.014	-0.044	-0.711**	-0.011	-0.039	0.030	0.027
	[0.052]	[0.053]	[0.055]	[0.030]	[0.039]	[0.322]	[0.032]	[0.039]	[0.037]	[0.048]
dadMaxEdu_Uni_F	0.041	0.045	0.031	0.050	0.054	0.749***	0.036	0.044	0.048	0.070
	[0.054]	[0.084]	[0.054]	[0.032]	[0.044]	[0.211]	[0.034]	[0.046]	[0.038]	[0.043]
momMaxEdu_Uni_Miss	-0.091	-0.091	-0.128	0.140**	0.157***	0.208	-0.089	-0.120	-0.039	-0.020
	[0.206]	[0.206]	[0.197]	[0.056]	[0.058]	[0.417]	[0.146]	[0.176]	[0.163]	[0.188]
dadMaxEdu_Uni_Miss	-0.034	-0.036	-0.028	-0.057	-0.001	-0.431***	0.007	0.009	-0.097	-0.153*
	[0.082]	[0.093]	[0.082]	[0.057]	[0.083]	[0.165]	[0.056]	[0.070]	[0.063]	[0.085]
HighInc_F	-0.043	-0.042	-0.047	-0.002	-0.021	-0.471***	-0.018	-0.038	-0.015	0.010
	[0.061]	[0.067]	[0.061]	[0.038]	[0.060]	[0.128]	[0.042]	[0.067]	[0.044]	[0.048]
HighInc_Miss	0.028	0.030	-0.005	-0.051	-0.101**	-0.394**	0.020	0.008	-0.038	-0.021
	[0.050]	[0.065]	[0.063]	[0.035]	[0.045]	[0.162]	[0.035]	[0.043]	[0.039]	[0.041]
houseOwn_F	-0.003	-0.001	-0.016	-0.002	-0.024	0.894***	-0.001	-0.011	-0.014	-0.051
	[0.045]	[0.058]	[0.048]	[0.030]	[0.046]	[0.237]	[0.032]	[0.043]	[0.033]	[0.041]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.006	0.006	0.008	-0.004	0.010	-0.084	0.001	0.014*	0.000	0.007
	[0.009]	[0.009]	[0.009]	[0.007]	[0.008]	[0.059]	[0.006]	[0.008]	[0.008]	[0.010]
cgRelig_F	-0.048	-0.048	-0.058	0.015	0.072	-1.098***	-0.011	0.073	-0.010	-0.027
	[0.061]	[0.061]	[0.062]	[0.041]	[0.071]	[0.190]	[0.043]	[0.077]	[0.046]	[0.060]
cgRelig_Miss	0.051	0.055	0.078	-0.253**	-0.012	-0.451*	0.108**	0.203**	-0.295**	-0.234
	[0.101]	[0.123]	[0.111]	[0.121]	[0.128]	[0.238]	[0.054]	[0.082]	[0.124]	[0.170]
CAPI	-0.059	-0.060	-0.055	-0.024	-0.028	-0.470***	-0.017	-0.002	-0.059*	-0.072
	[0.046]	[0.046]	[0.046]	[0.027]	[0.042]	[0.158]	[0.029]	[0.038]	[0.032]	[0.044]
houseOwn_Miss	0.208***	0.209***		0.179***		0.595**	0.140**		0.282***	
	[0.077]	[0.079]		[0.046]		[0.301]	[0.060]		[0.053]	
Parma							0.064			
							[0.042]			
Reggio								-0.064		0.024
								[0.071]		[0.058]
nidoXreggio								0.028		-0.049
								[0.113]		[0.112]
Padova									-0.024	
									[0.043]	
Constant	0.836*	0.830*	0.859*	0.934***	0.627	0.618	0.958***	1.080**	0.714**	0.177
	[0.449]	[0.475]	[0.477]	[0.277]	[0.492]	[1.898]	[0.305]	[0.535]	[0.327]	[0.452]
										
Observations	307	307	306	723	720	723	593	590	584	582
R-squared	0.084	0.084	0.090	0.059	0.060	0.920	0.056	0.073	0.087	0.130
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
