	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.027	-0.005	0.013	0.025	-0.072	0.014	-0.017	-0.081	-0.018	-0.182
	[0.031]	[0.089]	[0.103]	[0.027]	[0.057]	[0.026]	[0.031]	[0.059]	[0.030]	[0.172]
unobs			-0.095							
			[0.170]							
unobs2			-0.044							
			[0.123]							
unobs3			0.169							
			[0.320]							
Age	0.073	0.072	0.073	0.065**	0.160	0.066	0.040	0.022	0.101***	0.025
	[0.045]	[0.045]	[0.045]	[0.033]	[0.142]	[0.041]	[0.036]	[0.037]	[0.033]	[0.140]
Male	-0.005	-0.005	-0.003	-0.017	-0.438***	-0.039	-0.007	-0.041	-0.023	-0.196*
	[0.031]	[0.031]	[0.031]	[0.024]	[0.100]	[0.028]	[0.025]	[0.033]	[0.025]	[0.115]
poorBHealth	0.008	0.007	0.008	0.042	-0.104	0.034	-0.005	0.017	0.046	0.050
	[0.052]	[0.054]	[0.055]	[0.036]	[0.107]	[0.027]	[0.042]	[0.046]	[0.037]	[0.114]
oldsibs	-0.104	-0.099	-0.109	0.018	-0.029	0.012	-0.018	-0.002	-0.076	-0.010
	[0.106]	[0.106]	[0.110]	[0.056]	[0.107]	[0.042]	[0.070]	[0.082]	[0.071]	[0.087]
momMaxEdu_Uni_F	-0.027	-0.027	-0.030	-0.008	-0.027	-0.043	-0.003	0.001	-0.031	0.185**
	[0.040]	[0.040]	[0.040]	[0.027]	[0.134]	[0.031]	[0.029]	[0.032]	[0.030]	[0.092]
dadMaxEdu_Uni_F	-0.015	-0.014	-0.014	-0.002	0.419***	0.002	-0.008	0.020	-0.013	0.127
	[0.039]	[0.039]	[0.039]	[0.029]	[0.098]	[0.019]	[0.030]	[0.029]	[0.031]	[0.116]
momMaxEdu_Uni_Miss	0.050	0.053	0.042	0.106***	0.273	0.116***	0.091***	0.089**	0.062**	0.301
	[0.043]	[0.043]	[0.050]	[0.029]	[0.282]	[0.027]	[0.030]	[0.035]	[0.030]	[0.184]
dadMaxEdu_Uni_Miss	-0.045	-0.049	-0.043	-0.031	0.024	-0.045**	-0.078	0.049	-0.028	-0.432***
	[0.065]	[0.065]	[0.067]	[0.046]	[0.130]	[0.022]	[0.056]	[0.072]	[0.046]	[0.158]
HighInc_F	0.014	0.012	0.014	0.025	0.222	-0.001	-0.004	0.071	0.043	-0.189**
	[0.042]	[0.042]	[0.042]	[0.032]	[0.162]	[0.020]	[0.034]	[0.043]	[0.033]	[0.076]
HighInc_Miss	0.037	0.036	0.037	0.017	0.028	-0.034	0.014	-0.029	0.040	0.051
	[0.032]	[0.032]	[0.032]	[0.028]	[0.107]	[0.032]	[0.030]	[0.039]	[0.026]	[0.065]
houseOwn_F	-0.022	-0.020	-0.023	-0.038	-0.405**	-0.008	-0.046*	-0.057*	-0.011	-0.412***
	[0.033]	[0.033]	[0.034]	[0.026]	[0.178]	[0.032]	[0.025]	[0.033]	[0.027]	[0.154]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.001	0.002	0.001	0.006	-0.057**	0.010*	0.001	0.014*	0.002	-0.133***
	[0.007]	[0.007]	[0.007]	[0.006]	[0.025]	[0.005]	[0.006]	[0.008]	[0.006]	[0.026]
cgRelig_F	-0.048	-0.045	-0.042	-0.006	-0.428***	-0.112***	-0.027	-0.052	-0.025	-0.178**
	[0.036]	[0.038]	[0.036]	[0.035]	[0.103]	[0.023]	[0.034]	[0.048]	[0.035]	[0.088]
cgRelig_Miss	0.057	0.056	0.047	-0.093	-0.510***	-0.935***	0.107**	0.122*	-0.157	-0.405***
	[0.054]	[0.053]	[0.059]	[0.104]	[0.109]	[0.039]	[0.044]	[0.067]	[0.115]	[0.130]
CAPI	-0.005	-0.007	-0.005	-0.012	-0.194	-0.033	-0.010	0.018	-0.019	0.077
	[0.033]	[0.034]	[0.035]	[0.025]	[0.124]	[0.024]	[0.025]	[0.033]	[0.026]	[0.073]
houseOwn_Miss	-1.021***	-1.011***		0.101***		0.123***	-0.279		-0.453	
	[0.042]	[0.055]		[0.033]		[0.034]	[0.298]		[0.408]	
Parma							-0.043			
							[0.030]			
Reggio								0.087*		0.053
								[0.047]		[0.084]
materna_Municipal								0.058		0.143
								[0.047]		[0.161]
Padova									-0.035	
									[0.028]	
Constant	0.503	0.492	0.487	0.460**	0.879	0.595**	0.722***	0.727**	0.280	1.571
	[0.314]	[0.320]	[0.316]	[0.227]	[1.134]	[0.243]	[0.247]	[0.297]	[0.236]	[0.972]
										
Observations	307	307	306	727	724	724	592	589	583	581
R-squared	0.073	0.072	0.038	0.021	0.997	0.979	0.025	0.138	0.049	0.840
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.92	.92	.92	.92	.92	.92	.92	.92	.92	.92
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
