	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.022	0.003	0.114	0.028	0.029	0.045	-0.014	-0.045	-0.011	-0.071
	[0.032]	[0.142]	[0.183]	[0.027]	[0.029]	[0.032]	[0.031]	[0.057]	[0.031]	[0.065]
unobs			-0.249							
			[0.269]							
unobs2			-0.066							
			[0.133]							
unobs3			0.345							
			[0.363]							
Age	0.062	0.062	0.063	0.072**	0.075*	0.076*	0.038	0.051	0.097***	0.080*
	[0.045]	[0.045]	[0.045]	[0.033]	[0.039]	[0.039]	[0.037]	[0.041]	[0.034]	[0.042]
Male	0.004	0.004	0.007	-0.012	-0.029	-0.013	0.005	-0.013	-0.022	-0.034
	[0.032]	[0.033]	[0.032]	[0.024]	[0.029]	[0.031]	[0.026]	[0.029]	[0.025]	[0.030]
poorBHealth	0.018	0.017	0.017	0.045	0.052	0.048	0.001	0.009	0.052	0.081**
	[0.052]	[0.055]	[0.055]	[0.036]	[0.039]	[0.042]	[0.041]	[0.047]	[0.036]	[0.032]
oldsibs	-0.119	-0.115	-0.120	0.024	0.030	0.020	-0.089	-0.034	-0.096	-0.059
	[0.087]	[0.089]	[0.095]	[0.045]	[0.041]	[0.053]	[0.072]	[0.064]	[0.064]	[0.058]
momMaxEdu_Uni_F	-0.029	-0.029	-0.030	-0.011	0.009	-0.007	-0.001	0.004	-0.037	-0.018
	[0.040]	[0.040]	[0.040]	[0.028]	[0.032]	[0.036]	[0.030]	[0.033]	[0.030]	[0.035]
dadMaxEdu_Uni_F	-0.008	-0.007	-0.006	0.003	0.001	0.013	-0.004	-0.025	-0.009	-0.004
	[0.039]	[0.040]	[0.040]	[0.029]	[0.035]	[0.035]	[0.031]	[0.035]	[0.031]	[0.039]
momMaxEdu_Uni_Miss	0.051	0.054	0.042	0.105***	0.128***	0.101**	0.086***	0.087**	0.067**	0.097***
	[0.043]	[0.046]	[0.049]	[0.030]	[0.030]	[0.041]	[0.031]	[0.034]	[0.030]	[0.036]
dadMaxEdu_Uni_Miss	-0.037	-0.041	-0.040	-0.039	-0.039	0.030	-0.061	-0.037	-0.038	-0.065
	[0.062]	[0.066]	[0.066]	[0.047]	[0.062]	[0.052]	[0.055]	[0.055]	[0.047]	[0.065]
HighInc_F	0.009	0.008	0.011	0.021	0.006	0.038	-0.010	-0.001	0.044	0.034
	[0.042]	[0.042]	[0.042]	[0.033]	[0.038]	[0.040]	[0.035]	[0.039]	[0.033]	[0.039]
HighInc_Miss	0.020	0.020	0.022	0.019	0.016	0.048	0.003	0.009	0.035	0.057**
	[0.035]	[0.035]	[0.036]	[0.028]	[0.032]	[0.034]	[0.031]	[0.034]	[0.027]	[0.029]
houseOwn_F	-0.030	-0.027	-0.027	-0.038	-0.044	-0.064**	-0.054**	-0.067**	-0.011	-0.013
	[0.033]	[0.035]	[0.034]	[0.026]	[0.035]	[0.033]	[0.026]	[0.028]	[0.027]	[0.038]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.003	0.003	0.003	0.006	0.002	0.006	0.002	0.003	0.003	0.000
	[0.007]	[0.007]	[0.007]	[0.006]	[0.008]	[0.007]	[0.006]	[0.006]	[0.006]	[0.008]
cgRelig_F	-0.046	-0.042	-0.032	-0.001	-0.039	0.018	-0.028	-0.063*	-0.016	-0.041
	[0.036]	[0.042]	[0.039]	[0.036]	[0.036]	[0.056]	[0.034]	[0.033]	[0.036]	[0.038]
cgRelig_Miss	0.087	0.086	0.063	-0.126	-0.213*	-0.086	-0.082	0.006	-0.156	-0.291**
	[0.059]	[0.058]	[0.057]	[0.107]	[0.129]	[0.116]	[0.133]	[0.114]	[0.112]	[0.147]
CAPI	-0.016	-0.019	-0.019	-0.003	-0.019	-0.051	-0.008	-0.011	-0.021	-0.038
	[0.034]	[0.034]	[0.034]	[0.025]	[0.029]	[0.033]	[0.026]	[0.028]	[0.026]	[0.029]
houseOwn_Miss	-0.972***	-0.961***		0.102***		0.084**	-0.399		-0.531*	
	[0.093]	[0.112]		[0.033]		[0.040]	[0.259]		[0.296]	
Parma							-0.047			
							[0.030]			
Reggio								0.069*		0.054
								[0.041]		[0.037]
materna_Municipal								0.028		0.055
								[0.045]		[0.056]
Padova									-0.030	
									[0.029]	
Constant	0.571*	0.556*	0.496	0.402*	0.437	0.362	0.731***	0.616**	0.293	0.389
	[0.312]	[0.335]	[0.346]	[0.231]	[0.268]	[0.256]	[0.253]	[0.277]	[0.238]	[0.291]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.109	0.107	0.046	0.025	0.051	0.035	0.036	0.034	0.063	0.099
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.92	.92	.92	.92	.92	.92	.92	.92	.92	.92
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
