	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.029	0.020	-0.068	-0.014	-0.016	-0.010	-0.007	0.041	-0.021	0.038
	[0.060]	[0.286]	[0.407]	[0.044]	[0.045]	[0.044]	[0.058]	[0.087]	[0.058]	[0.088]
unobsM			0.172							
			[0.598]							
unobsM2			-0.012							
			[0.255]							
unobsM3			-0.438							
			[0.796]							
Age	0.058	0.062	0.062	-0.043	-0.071	-0.039	0.023	-0.002	-0.006	-0.056
	[0.088]	[0.090]	[0.091]	[0.053]	[0.056]	[0.053]	[0.061]	[0.066]	[0.059]	[0.065]
Male	-0.121**	-0.122**	-0.124**	-0.139***	-0.139***	-0.141***	-0.144***	-0.160***	-0.161***	-0.164***
	[0.058]	[0.058]	[0.060]	[0.036]	[0.039]	[0.036]	[0.042]	[0.044]	[0.040]	[0.045]
poorBHealth	0.009	0.015	0.017	0.014	0.021	0.018	0.003	0.018	0.011	0.026
	[0.099]	[0.105]	[0.105]	[0.063]	[0.074]	[0.063]	[0.072]	[0.079]	[0.068]	[0.074]
oldsibs	0.001	0.000	0.002	-0.038	-0.048	-0.042	-0.025	-0.040	-0.020	-0.022
	[0.063]	[0.063]	[0.064]	[0.039]	[0.041]	[0.039]	[0.045]	[0.049]	[0.042]	[0.046]
momMaxEdu_Uni_F	0.094	0.100	0.106	0.095**	0.102*	0.094*	0.128**	0.106*	0.036	0.040
	[0.076]	[0.084]	[0.084]	[0.048]	[0.055]	[0.049]	[0.054]	[0.059]	[0.051]	[0.059]
dadMaxEdu_Uni_F	0.044	0.041	0.042	0.066	0.086	0.067	0.061	0.052	0.085	0.117*
	[0.081]	[0.083]	[0.084]	[0.053]	[0.061]	[0.053]	[0.059]	[0.064]	[0.056]	[0.066]
momMaxEdu_Uni_Miss	0.202	0.208	0.205	0.011	0.072	0.010	0.236	0.350**	0.042	0.167
	[0.219]	[0.223]	[0.218]	[0.125]	[0.140]	[0.125]	[0.172]	[0.137]	[0.130]	[0.146]
dadMaxEdu_Uni_Miss	-0.053	-0.059	-0.067	-0.077	-0.102*	-0.081	-0.071	-0.100	-0.081	-0.066
	[0.089]	[0.093]	[0.095]	[0.055]	[0.056]	[0.055]	[0.062]	[0.070]	[0.065]	[0.074]
HighInc_F	0.108	0.105	0.101	0.030	0.074	0.025	0.022	0.047	0.098*	0.159***
	[0.074]	[0.077]	[0.078]	[0.051]	[0.056]	[0.051]	[0.055]	[0.058]	[0.056]	[0.061]
HighInc_Miss	-0.036	-0.038	-0.037	-0.028	-0.041	-0.033	-0.085	-0.091*	0.023	0.013
	[0.079]	[0.081]	[0.083]	[0.044]	[0.045]	[0.044]	[0.053]	[0.054]	[0.050]	[0.052]
houseOwn_F	-0.042	-0.042	-0.043	0.055	0.067	0.054	0.012	0.032	0.016	0.015
	[0.082]	[0.083]	[0.082]	[0.045]	[0.048]	[0.046]	[0.056]	[0.060]	[0.052]	[0.057]
distCenter	0.007	0.007	0.006	-0.002	-0.015	-0.004	0.000	-0.009	0.003	-0.005
	[0.013]	[0.013]	[0.014]	[0.010]	[0.010]	[0.010]	[0.010]	[0.011]	[0.011]	[0.012]
cgRelig_F	-0.192**	-0.177	-0.168	-0.093*	-0.076	-0.087*	-0.108*	-0.096	-0.141**	-0.094*
	[0.075]	[0.113]	[0.111]	[0.050]	[0.051]	[0.050]	[0.058]	[0.063]	[0.055]	[0.056]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.021	0.017	0.007	-0.058	-0.082**	-0.058	-0.015	-0.018	-0.022	-0.064
	[0.058]	[0.063]	[0.065]	[0.036]	[0.040]	[0.037]	[0.043]	[0.046]	[0.040]	[0.044]
cgRelig_Miss	-0.374***	-0.384***		-0.145		-0.128	-0.128		-0.206**	
	[0.125]	[0.137]		[0.089]		[0.090]	[0.202]		[0.093]	
Parma							0.033			
							[0.054]			
Reggio								-0.033		0.031
								[0.065]		[0.060]
materna_Municipal								-0.074		-0.076
								[0.064]		[0.064]
Padova									-0.028	
									[0.052]	
Constant	-0.567	-0.683	-0.634	1.260	1.793*	1.185	0.027	0.562	0.595	1.495
	[1.649]	[1.766]	[1.783]	[0.998]	[1.063]	[1.008]	[1.158]	[1.244]	[1.117]	[1.228]
										
Observations	280	280	277	670	631	670	520	516	552	514
R-squared	0.087	0.084	0.084	0.067	0.106	0.067	0.070	0.088	0.073	0.113
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.34	.34	.34	.34	.34	.34	.34	.34	.34	.34
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
