	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.119	0.284	0.277	-0.081	-0.203***	-0.080	-0.045	-0.097	0.035	0.007
	[0.152]	[1.036]	[0.298]	[0.056]	[0.067]	[0.058]	[0.082]	[0.235]	[0.085]	[0.294]
asilo_Municipal								0.142		0.068
								[0.132]		[0.233]
nido	-0.126	-0.280	-0.091	0.040	0.260***	0.019	0.055	0.254*	-0.049	-0.065
	[0.155]	[0.960]	[0.176]	[0.047]	[0.060]	[0.050]	[0.060]	[0.139]	[0.065]	[0.220]
unobsA			-0.416							
			[0.395]							
unobsA2			0.484***							
			[0.171]							
unobsA3			0.689							
			[0.504]							
Age	0.214**	0.223**	0.225**	0.029	-0.098	0.023	0.078	-0.014	0.134**	0.005
	[0.092]	[0.112]	[0.091]	[0.058]	[0.078]	[0.063]	[0.067]	[0.074]	[0.063]	[0.080]
Male	0.049	0.078	0.075	0.052	0.012	0.048	0.035	0.080	0.073*	0.018
	[0.063]	[0.065]	[0.064]	[0.039]	[0.057]	[0.042]	[0.045]	[0.058]	[0.044]	[0.058]
poorBHealth	0.034	0.090	0.109	0.005	-0.193**	-0.064	-0.040	-0.241***	0.008	-0.020
	[0.109]	[0.117]	[0.119]	[0.066]	[0.081]	[0.073]	[0.074]	[0.076]	[0.075]	[0.096]
oldsibs	0.030	0.035	0.039	0.010	0.088	-0.006	0.037	0.069	0.024	0.028
	[0.066]	[0.071]	[0.066]	[0.041]	[0.057]	[0.044]	[0.047]	[0.061]	[0.045]	[0.056]
momMaxEdu_Uni_F	0.131*	0.105	0.097	0.029	-0.058	0.009	0.090	-0.037	0.022	-0.038
	[0.078]	[0.088]	[0.082]	[0.049]	[0.068]	[0.052]	[0.056]	[0.074]	[0.055]	[0.065]
dadMaxEdu_Uni_F	-0.002	0.031	0.029	0.108**	0.145**	0.108*	0.026	0.108	0.096	0.147**
	[0.092]	[0.098]	[0.096]	[0.052]	[0.070]	[0.056]	[0.062]	[0.074]	[0.060]	[0.075]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.182*	-0.149	-0.117	-0.093	-0.023	-0.114*	-0.132*	-0.060	-0.121*	-0.091
	[0.095]	[0.127]	[0.109]	[0.063]	[0.082]	[0.068]	[0.069]	[0.072]	[0.072]	[0.090]
HighInc_F	-0.063	-0.061	-0.020	-0.092*	0.019	-0.109*	-0.082	-0.064	-0.099*	-0.051
	[0.077]	[0.111]	[0.086]	[0.054]	[0.073]	[0.057]	[0.057]	[0.072]	[0.060]	[0.071]
HighInc_Miss	0.111	0.120	0.149*	-0.008	0.064	0.012	0.034	0.064	0.011	0.077
	[0.082]	[0.086]	[0.085]	[0.048]	[0.069]	[0.050]	[0.057]	[0.070]	[0.053]	[0.067]
houseOwn_F	-0.013	0.040	0.017	-0.020	0.009	-0.009	-0.040	0.038	0.037	0.096
	[0.087]	[0.098]	[0.095]	[0.054]	[0.067]	[0.057]	[0.062]	[0.079]	[0.058]	[0.069]
distCenter	-0.004	0.001	0.005	0.015	0.033**	0.004	0.008	0.025**	0.005	0.018
	[0.014]	[0.015]	[0.015]	[0.011]	[0.014]	[0.012]	[0.011]	[0.012]	[0.011]	[0.015]
cgRelig_F	0.034	0.062	0.039	0.052	0.126*	0.053	0.050	0.108	0.025	0.039
	[0.074]	[0.099]	[0.079]	[0.055]	[0.074]	[0.060]	[0.059]	[0.073]	[0.057]	[0.076]
cgRelig_Miss	0.059	0.078	0.075	-0.044	0.240**	-0.059	0.193	0.383*	-0.060	0.174
	[0.303]	[0.306]	[0.287]	[0.104]	[0.115]	[0.110]	[0.251]	[0.205]	[0.109]	[0.123]
CAPI	-0.005	0.014	0.003	-0.016	-0.015	-0.032	-0.044	-0.063	0.040	0.120**
	[0.062]	[0.065]	[0.065]	[0.040]	[0.054]	[0.042]	[0.045]	[0.055]	[0.044]	[0.055]
momMaxEdu_Uni_Miss	-0.140			-0.125		-0.072	-0.130		-0.072	
	[0.218]			[0.133]		[0.145]	[0.172]		[0.139]	
Parma							0.070			
							[0.060]			
Reggio								0.087		0.043
								[0.086]		[0.073]
nidoXreggio								-0.300		-0.009
								[0.239]		[0.284]
Padova									0.025	
									[0.056]	
Constant	-3.528**	-3.827*	-4.037**	-0.071	2.069	0.106	-0.981	0.504	-2.087*	0.157
	[1.730]	[2.150]	[1.722]	[1.106]	[1.474]	[1.188]	[1.268]	[1.395]	[1.186]	[1.481]
										
Observations	280	262	262	662	626	662	520	489	552	520
R-squared	0.067	0.056	0.092	0.032	0.191	0.032	0.045	0.240	0.038	0.118
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.51	.51	.51	.51	.51	.51	.51	.51	.51	.51
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
