	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.197**	-0.149	-0.146	-0.071	-0.086	-0.074	-0.159**	-0.153	-0.113*	-0.260*
	[0.079]	[0.694]	[0.255]	[0.048]	[0.054]	[0.057]	[0.066]	[0.136]	[0.065]	[0.135]
asilo_Municipal								-0.075		0.088
								[0.092]		[0.100]
nido	0.188**	0.148	0.201**	0.084*	0.119**	0.125**	0.145***	0.224**	0.077	-0.061
	[0.081]	[0.577]	[0.081]	[0.044]	[0.054]	[0.063]	[0.049]	[0.100]	[0.051]	[0.085]
unobs			0.019							
			[0.391]							
unobs2			-0.310*							
			[0.172]							
unobs3			-0.282							
			[0.539]							
Age	-0.028	-0.027	-0.024	0.016	0.072	-0.032	-0.021	0.002	0.028	0.078
	[0.080]	[0.079]	[0.080]	[0.054]	[0.066]	[0.075]	[0.060]	[0.072]	[0.058]	[0.069]
Male	0.094*	0.093*	0.080	0.009	0.037	-0.016	0.011	0.005	0.083**	0.140***
	[0.056]	[0.055]	[0.060]	[0.037]	[0.045]	[0.047]	[0.040]	[0.047]	[0.041]	[0.047]
poorBHealth	0.005	0.004	-0.035	0.041	0.092	0.104	0.029	0.064	0.047	0.108
	[0.101]	[0.090]	[0.108]	[0.058]	[0.066]	[0.070]	[0.066]	[0.079]	[0.068]	[0.082]
oldsibs	-0.079	-0.075	-0.043	-0.021	0.001	0.014	-0.086	-0.027	-0.037	0.054
	[0.127]	[0.117]	[0.140]	[0.089]	[0.103]	[0.098]	[0.103]	[0.126]	[0.085]	[0.084]
momMaxEdu_Uni_F	0.068	0.068	0.037	-0.001	0.016	-0.001	0.030	0.038	0.029	0.035
	[0.069]	[0.067]	[0.072]	[0.042]	[0.050]	[0.061]	[0.046]	[0.054]	[0.049]	[0.060]
dadMaxEdu_Uni_F	0.068	0.073	0.087	-0.004	-0.018	-0.042	-0.021	-0.084	0.066	0.078
	[0.072]	[0.107]	[0.072]	[0.044]	[0.057]	[0.066]	[0.049]	[0.062]	[0.051]	[0.062]
momMaxEdu_Uni_Miss	0.094	0.093	0.147	-0.019	-0.262	-0.090	0.160	-0.022	0.091	-0.084
	[0.205]	[0.197]	[0.183]	[0.211]	[0.210]	[0.236]	[0.156]	[0.215]	[0.170]	[0.213]
dadMaxEdu_Uni_Miss	-0.151	-0.154	-0.161	-0.068	0.019	-0.010	-0.060	-0.001	-0.147**	-0.064
	[0.105]	[0.107]	[0.105]	[0.068]	[0.074]	[0.083]	[0.077]	[0.081]	[0.074]	[0.085]
HighInc_F	-0.122	-0.120	-0.110	0.052	0.012	0.136**	0.028	0.012	-0.018	0.053
	[0.076]	[0.077]	[0.077]	[0.050]	[0.071]	[0.058]	[0.053]	[0.071]	[0.058]	[0.062]
HighInc_Miss	0.009	0.012	0.042	0.036	0.023	0.081	0.062	0.065	0.049	0.053
	[0.074]	[0.077]	[0.088]	[0.045]	[0.050]	[0.052]	[0.051]	[0.058]	[0.049]	[0.055]
houseOwn_F	-0.024	-0.022	-0.008	-0.010	0.038	-0.002	0.028	0.036	-0.051	-0.021
	[0.058]	[0.064]	[0.060]	[0.039]	[0.048]	[0.053]	[0.043]	[0.051]	[0.041]	[0.050]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.001	-0.001	-0.005	-0.002	-0.005	0.008	-0.001	-0.005	0.001	-0.004
	[0.011]	[0.011]	[0.011]	[0.009]	[0.014]	[0.013]	[0.008]	[0.013]	[0.010]	[0.011]
cgRelig_F	-0.036	-0.037	-0.017	-0.008	0.057	-0.028	-0.000	0.051	-0.048	-0.001
	[0.078]	[0.079]	[0.077]	[0.052]	[0.075]	[0.073]	[0.060]	[0.091]	[0.056]	[0.067]
cgRelig_Miss	0.241	0.246	0.227	0.109	0.216*	0.197*	0.311***	0.321***	0.037	-0.061
	[0.158]	[0.289]	[0.148]	[0.118]	[0.113]	[0.115]	[0.077]	[0.105]	[0.128]	[0.160]
CAPI	-0.146**	-0.147***	-0.152***	-0.017	-0.072	-0.040	-0.097**	-0.126**	-0.059	-0.059
	[0.058]	[0.057]	[0.057]	[0.036]	[0.046]	[0.052]	[0.040]	[0.052]	[0.040]	[0.047]
houseOwn_Miss	0.245***	0.246		-0.642***		-0.574***	-0.345		-0.248	
	[0.084]	[0.467]		[0.046]		[0.061]	[0.273]		[0.337]	
Parma							-0.088*			
							[0.052]			
Reggio								0.080		-0.010
								[0.079]		[0.070]
nidoXreggio								-0.012		0.198
								[0.142]		[0.131]
Padova									-0.061	
									[0.050]	
Constant	0.895	0.886	0.891	0.499	0.016	0.749	0.787*	0.513	0.492	0.023
	[0.543]	[0.554]	[0.567]	[0.370]	[0.451]	[0.512]	[0.409]	[0.489]	[0.398]	[0.469]
										
Observations	306	306	305	719	716	719	591	588	580	578
R-squared	0.087	0.087	0.101	0.019	0.046	0.034	0.043	0.083	0.040	0.058
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.64	.64	.64	.64	.64	.64	.64	.64	.64	.64
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
