	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.202**	0.227	-0.220	-0.072	-0.086	-0.291	-0.160**	-0.196	-0.111*	-0.287*
	[0.079]	[0.746]	[0.226]	[0.048]	[0.056]	[0.218]	[0.066]	[0.163]	[0.065]	[0.150]
asilo_Municipal								-0.013		0.132
								[0.100]		[0.100]
nido	0.193**	-0.163	0.211**	0.084*	0.082	0.229	0.146***	0.103	0.076	-0.072
	[0.081]	[0.625]	[0.082]	[0.044]	[0.060]	[0.216]	[0.050]	[0.113]	[0.051]	[0.088]
unobs			0.156							
			[0.355]							
unobs2			-0.386**							
			[0.169]							
unobs3			-0.475							
			[0.529]							
Age	-0.026	-0.019	-0.025	0.016	0.088	0.640**	-0.020	0.039	0.028	0.089
	[0.080]	[0.085]	[0.080]	[0.054]	[0.074]	[0.252]	[0.060]	[0.083]	[0.058]	[0.073]
Male	0.093*	0.090	0.084	0.009	0.069	0.651***	0.010	0.035	0.084**	0.153***
	[0.056]	[0.058]	[0.058]	[0.037]	[0.048]	[0.154]	[0.040]	[0.053]	[0.041]	[0.048]
poorBHealth	0.006	-0.009	-0.027	0.041	0.142**	-0.077	0.030	0.103	0.046	0.147*
	[0.102]	[0.105]	[0.104]	[0.058]	[0.067]	[0.155]	[0.066]	[0.079]	[0.068]	[0.084]
oldsibs	-0.131	-0.044	-0.114	-0.034	-0.085	0.532	-0.117	-0.170	-0.020	0.027
	[0.164]	[0.236]	[0.171]	[0.100]	[0.146]	[0.554]	[0.125]	[0.179]	[0.100]	[0.109]
momMaxEdu_Uni_F	0.069	0.064	0.034	-0.001	0.000	-0.638**	0.030	-0.006	0.030	0.030
	[0.069]	[0.073]	[0.072]	[0.042]	[0.053]	[0.256]	[0.046]	[0.062]	[0.049]	[0.059]
dadMaxEdu_Uni_F	0.066	0.117	0.086	-0.004	-0.005	0.780***	-0.021	-0.033	0.066	0.076
	[0.072]	[0.114]	[0.072]	[0.044]	[0.063]	[0.160]	[0.049]	[0.071]	[0.051]	[0.059]
momMaxEdu_Uni_Miss	0.092	0.088	0.165	-0.019	-0.315	-0.468	0.160	-0.047	0.092	-0.098
	[0.205]	[0.222]	[0.172]	[0.211]	[0.200]	[0.294]	[0.156]	[0.217]	[0.170]	[0.212]
dadMaxEdu_Uni_Miss	-0.150	-0.179	-0.153	-0.069	0.055	0.076	-0.060	0.001	-0.148**	-0.049
	[0.104]	[0.118]	[0.106]	[0.068]	[0.077]	[0.127]	[0.077]	[0.084]	[0.074]	[0.084]
HighInc_F	-0.123	-0.107	-0.107	0.052	0.008	-0.359***	0.028	-0.006	-0.018	0.093
	[0.076]	[0.085]	[0.079]	[0.050]	[0.074]	[0.097]	[0.053]	[0.075]	[0.058]	[0.063]
HighInc_Miss	0.009	0.031	0.045	0.036	-0.004	-0.310**	0.061	0.032	0.049	0.069
	[0.074]	[0.086]	[0.085]	[0.045]	[0.052]	[0.152]	[0.051]	[0.059]	[0.049]	[0.055]
houseOwn_F	-0.025	-0.005	-0.008	-0.010	0.013	0.921***	0.027	0.039	-0.051	-0.029
	[0.058]	[0.069]	[0.060]	[0.039]	[0.050]	[0.198]	[0.043]	[0.056]	[0.042]	[0.051]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.001	-0.001	-0.007	-0.002	-0.002	-0.138***	-0.001	0.000	0.001	-0.002
	[0.011]	[0.012]	[0.012]	[0.009]	[0.015]	[0.045]	[0.008]	[0.014]	[0.010]	[0.012]
cgRelig_F	-0.036	-0.043	-0.014	-0.008	0.086	-0.266*	-0.000	0.138	-0.049	-0.035
	[0.078]	[0.085]	[0.077]	[0.052]	[0.085]	[0.148]	[0.060]	[0.106]	[0.056]	[0.066]
cgRelig_Miss	0.240	0.282*	0.233	0.109	0.223*	0.043	0.311***	0.414***	0.037	-0.067
	[0.158]	[0.162]	[0.145]	[0.118]	[0.121]	[0.224]	[0.077]	[0.125]	[0.128]	[0.170]
CAPI	-0.146**	-0.152**	-0.152***	-0.017	-0.073	-0.197*	-0.097**	-0.136**	-0.059	-0.048
	[0.058]	[0.062]	[0.058]	[0.036]	[0.051]	[0.106]	[0.040]	[0.056]	[0.040]	[0.051]
houseOwn_Miss	0.244***	0.251***		-0.642***		-0.463	-0.346		-0.247	
	[0.084]	[0.089]		[0.046]		[0.357]	[0.273]		[0.338]	
Parma							-0.088*			
							[0.052]			
Reggio								0.020		-0.022
								[0.086]		[0.071]
nidoXreggio								0.087		0.188
								[0.167]		[0.152]
Padova									-0.060	
									[0.050]	
Constant	0.879	0.812	0.941*	0.498	-0.096	-3.742**	0.778*	0.227	0.491	-0.053
	[0.544]	[0.583]	[0.563]	[0.370]	[0.499]	[1.671]	[0.409]	[0.566]	[0.398]	[0.493]
										
Observations	306	306	305	719	716	719	591	588	580	578
R-squared	0.088	0.024	0.108	0.019	0.062	0.923	0.044	0.089	0.040	0.075
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.64	.64	.64	.64	.64	.64	.64	.64	.64	.64
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
