	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.033	-0.040	-0.121	0.011	-0.005	-0.019	0.041	0.016	0.048	-0.011
	[0.059]	[0.254]	[0.356]	[0.046]	[0.048]	[0.047]	[0.058]	[0.085]	[0.057]	[0.090]
unobs			0.230							
			[0.532]							
unobs2			0.037							
			[0.218]							
unobs3			-0.219							
			[0.691]							
Age	0.002	0.003	0.002	0.107**	0.149**	0.157***	0.073	0.087	0.047	0.021
	[0.083]	[0.083]	[0.084]	[0.054]	[0.068]	[0.059]	[0.061]	[0.066]	[0.059]	[0.065]
Male	0.004	0.006	0.004	-0.099***	-0.112***	-0.109***	-0.048	-0.068	-0.056	-0.072
	[0.059]	[0.060]	[0.060]	[0.036]	[0.040]	[0.038]	[0.040]	[0.042]	[0.042]	[0.044]
poorBHealth	-0.177*	-0.173*	-0.172*	-0.057	-0.104*	-0.076	-0.109*	-0.153**	-0.159**	-0.174***
	[0.091]	[0.094]	[0.093]	[0.060]	[0.060]	[0.061]	[0.064]	[0.068]	[0.069]	[0.066]
oldsibs	-0.014	-0.025	-0.023	-0.007	0.019	0.006	0.007	0.022	-0.005	0.037
	[0.103]	[0.108]	[0.118]	[0.091]	[0.098]	[0.096]	[0.086]	[0.106]	[0.078]	[0.094]
momMaxEdu_Uni_F	0.034	0.034	0.034	0.066	0.070	0.051	0.036	0.050	0.069	0.067
	[0.074]	[0.074]	[0.074]	[0.041]	[0.051]	[0.044]	[0.047]	[0.050]	[0.051]	[0.054]
dadMaxEdu_Uni_F	0.037	0.035	0.034	0.028	0.055	0.031	0.030	0.026	0.052	0.087
	[0.078]	[0.078]	[0.079]	[0.044]	[0.049]	[0.046]	[0.050]	[0.053]	[0.054]	[0.057]
momMaxEdu_Uni_Miss	-0.028	-0.037	-0.031	-0.183	-0.213	-0.208	0.072	0.006	-0.064	-0.036
	[0.200]	[0.190]	[0.207]	[0.203]	[0.170]	[0.238]	[0.166]	[0.181]	[0.190]	[0.192]
dadMaxEdu_Uni_Miss	-0.108	-0.098	-0.097	-0.105	-0.106	-0.018	-0.014	0.030	-0.163**	-0.186***
	[0.105]	[0.111]	[0.113]	[0.065]	[0.070]	[0.072]	[0.074]	[0.076]	[0.071]	[0.070]
HighInc_F	-0.034	-0.028	-0.030	-0.052	-0.072	-0.096*	-0.030	-0.028	-0.067	-0.072
	[0.080]	[0.083]	[0.083]	[0.050]	[0.053]	[0.052]	[0.054]	[0.057]	[0.061]	[0.064]
HighInc_Miss	-0.106	-0.105	-0.106	-0.198***	-0.220***	-0.215***	-0.143***	-0.136**	-0.168***	-0.189***
	[0.075]	[0.075]	[0.075]	[0.044]	[0.051]	[0.050]	[0.052]	[0.056]	[0.048]	[0.049]
houseOwn_F	-0.058	-0.065	-0.066	0.047	0.081*	0.103**	0.006	0.037	0.011	0.042
	[0.060]	[0.064]	[0.064]	[0.040]	[0.044]	[0.042]	[0.044]	[0.047]	[0.043]	[0.046]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.014	0.013	0.013	0.018**	0.017	0.014	0.020**	0.023**	0.015	0.012
	[0.011]	[0.011]	[0.012]	[0.009]	[0.012]	[0.010]	[0.008]	[0.009]	[0.010]	[0.011]
cgRelig_F	-0.073	-0.085	-0.093	0.044	0.073	0.012	0.002	-0.002	-0.008	0.042
	[0.085]	[0.095]	[0.098]	[0.053]	[0.058]	[0.062]	[0.061]	[0.065]	[0.059]	[0.059]
cgRelig_Miss	0.054	0.058	0.075	0.032	0.055	0.040	0.137	0.210	-0.019	-0.019
	[0.270]	[0.261]	[0.312]	[0.119]	[0.117]	[0.131]	[0.168]	[0.133]	[0.128]	[0.115]
CAPI	-0.066	-0.058	-0.057	-0.061*	-0.110***	-0.082**	-0.072*	-0.060	-0.062	-0.116**
	[0.060]	[0.066]	[0.067]	[0.036]	[0.041]	[0.039]	[0.040]	[0.043]	[0.042]	[0.046]
houseOwn_Miss	-0.649***	-0.680***		-0.500***		-0.491***	-0.649***		-0.457***	
	[0.172]	[0.199]		[0.082]		[0.088]	[0.078]		[0.089]	
Parma							0.109**			
							[0.051]			
Reggio								-0.114*		0.071
								[0.062]		[0.058]
materna_Municipal								0.015		0.043
								[0.059]		[0.066]
Padova									-0.035	
									[0.052]	
Constant	0.667	0.709	0.755	-0.132	-0.407	-0.403	0.078	0.076	0.297	0.397
	[0.579]	[0.593]	[0.630]	[0.368]	[0.459]	[0.391]	[0.425]	[0.460]	[0.412]	[0.444]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.052	0.047	0.045	0.077	0.122	0.087	0.059	0.069	0.070	0.135
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
