	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.147	0.047	0.198	0.064	0.000	0.077	0.061	-0.100	0.053	0.085
	[0.130]	[0.856]	[0.256]	[0.051]	[0.058]	[0.054]	[0.074]	[0.197]	[0.077]	[0.276]
asilo_Municipal								0.333***		0.193
								[0.117]		[0.223]
nido	-0.161	-0.094	-0.203	-0.043	-0.032	-0.047	-0.049	-0.265**	-0.042	-0.253
	[0.132]	[0.794]	[0.145]	[0.044]	[0.056]	[0.048]	[0.057]	[0.127]	[0.061]	[0.215]
unobsA			0.003							
			[0.380]							
unobsA2			-0.076							
			[0.172]							
unobsA3			-0.142							
			[0.530]							
Age	-0.072	-0.055	-0.050	-0.025	-0.002	-0.039	-0.071	0.004	-0.028	-0.058
	[0.081]	[0.093]	[0.082]	[0.054]	[0.062]	[0.060]	[0.062]	[0.074]	[0.056]	[0.061]
Male	-0.047	-0.042	-0.043	-0.149***	-0.171***	-0.134***	-0.116***	-0.144**	-0.111***	-0.133***
	[0.058]	[0.059]	[0.060]	[0.036]	[0.048]	[0.040]	[0.042]	[0.056]	[0.039]	[0.047]
poorBHealth	-0.072	-0.037	-0.041	0.019	0.022	-0.062	-0.077	-0.056	-0.063	-0.025
	[0.097]	[0.099]	[0.099]	[0.059]	[0.066]	[0.075]	[0.070]	[0.085]	[0.070]	[0.064]
oldsibs	-0.024	-0.016	-0.014	-0.063	-0.068	-0.044	-0.042	-0.050	-0.046	-0.017
	[0.058]	[0.063]	[0.059]	[0.038]	[0.050]	[0.040]	[0.044]	[0.061]	[0.041]	[0.044]
momMaxEdu_Uni_F	-0.031	-0.047	-0.042	0.109**	0.061	0.127**	0.030	0.024	0.069	0.092
	[0.066]	[0.076]	[0.069]	[0.046]	[0.084]	[0.050]	[0.052]	[0.086]	[0.050]	[0.057]
dadMaxEdu_Uni_F	0.253***	0.257***	0.257***	0.041	-0.002	0.020	0.142**	0.101	0.100*	0.024
	[0.071]	[0.073]	[0.071]	[0.049]	[0.071]	[0.054]	[0.056]	[0.083]	[0.055]	[0.065]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	0.064	0.107	0.081	-0.039	0.066	-0.027	0.067	0.165**	-0.053	-0.072
	[0.088]	[0.114]	[0.097]	[0.061]	[0.061]	[0.067]	[0.063]	[0.066]	[0.069]	[0.077]
HighInc_F	0.060	0.073	0.050	-0.025	-0.012	-0.026	0.027	0.010	0.000	-0.023
	[0.068]	[0.099]	[0.073]	[0.048]	[0.077]	[0.053]	[0.051]	[0.079]	[0.053]	[0.061]
HighInc_Miss	-0.012	0.009	0.010	-0.042	-0.068	-0.025	-0.026	-0.059	-0.048	-0.073
	[0.076]	[0.077]	[0.080]	[0.045]	[0.062]	[0.047]	[0.054]	[0.070]	[0.049]	[0.057]
houseOwn_F	-0.088	-0.115	-0.118	0.033	0.160***	0.037	-0.053	0.026	0.011	0.141**
	[0.079]	[0.088]	[0.084]	[0.050]	[0.062]	[0.053]	[0.056]	[0.062]	[0.053]	[0.064]
distCenter	-0.012	-0.015	-0.013	-0.002	0.006	0.003	-0.005	-0.010	-0.013	-0.003
	[0.012]	[0.013]	[0.013]	[0.010]	[0.012]	[0.011]	[0.010]	[0.011]	[0.010]	[0.013]
cgRelig_F	-0.056	-0.050	-0.033	0.016	0.116*	0.026	-0.009	0.049	-0.017	0.058
	[0.064]	[0.089]	[0.070]	[0.051]	[0.068]	[0.057]	[0.053]	[0.065]	[0.051]	[0.070]
cgRelig_Miss	-0.420	-0.413	-0.426	-0.042	0.288***	0.007	-0.228	0.135	-0.102	0.171
	[0.323]	[0.311]	[0.323]	[0.095]	[0.099]	[0.096]	[0.281]	[0.201]	[0.096]	[0.106]
CAPI	0.048	0.049	0.049	-0.036	-0.043	-0.032	-0.029	-0.010	0.016	0.006
	[0.054]	[0.058]	[0.058]	[0.036]	[0.050]	[0.040]	[0.040]	[0.055]	[0.040]	[0.048]
momMaxEdu_Uni_Miss	-0.215			0.011		-0.017	-0.150		-0.105	
	[0.186]			[0.133]		[0.157]	[0.165]		[0.140]	
Parma							-0.022			
							[0.054]			
Reggio								0.042		-0.003
								[0.086]		[0.060]
nidoXreggio								-0.014		-0.077
								[0.200]		[0.269]
Padova									0.008	
									[0.051]	
Constant	2.204	1.899	1.791	1.232	0.620	1.427	2.149*	0.662	1.325	1.755
	[1.511]	[1.794]	[1.553]	[1.020]	[1.177]	[1.123]	[1.157]	[1.393]	[1.061]	[1.152]
										
Observations	280	262	262	662	626	662	520	489	552	520
R-squared	0.079	0.080	0.084	0.055	0.118	0.050	0.051	0.134	0.048	0.108
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.72	.72	.72	.72	.72	.72	.72	.72	.72	.72
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
