	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.023	1.198	0.339	-0.018	-0.024	0.008	0.110	-0.158	0.024	-0.285
	[0.141]	[1.083]	[0.265]	[0.053]	[0.066]	[0.055]	[0.080]	[0.194]	[0.078]	[0.297]
asilo_Municipal								0.064		0.158
								[0.149]		[0.270]
nido	0.075	-1.040	0.090	0.010	-0.037	-0.010	-0.004	-0.003	0.067	-0.257
	[0.144]	[1.006]	[0.145]	[0.045]	[0.073]	[0.048]	[0.059]	[0.152]	[0.059]	[0.257]
unobsA			-0.514							
			[0.375]							
unobsA2			0.370**							
			[0.167]							
unobsA3			0.377							
			[0.493]							
Age	0.006	0.082	0.027	0.001	-0.098	0.014	-0.005	-0.011	0.015	-0.168**
	[0.091]	[0.114]	[0.092]	[0.054]	[0.090]	[0.059]	[0.064]	[0.089]	[0.060]	[0.082]
Male	0.022	0.017	0.007	0.082**	0.068	0.103***	0.069	0.057	0.042	0.074
	[0.061]	[0.072]	[0.062]	[0.036]	[0.055]	[0.038]	[0.043]	[0.062]	[0.041]	[0.057]
poorBHealth	-0.070	-0.022	-0.025	-0.046	0.077	-0.091	-0.030	0.108	-0.081	-0.070
	[0.102]	[0.107]	[0.106]	[0.062]	[0.089]	[0.071]	[0.071]	[0.098]	[0.071]	[0.094]
oldsibs	-0.078	-0.042	-0.064	-0.071*	0.058	-0.051	-0.035	-0.031	-0.052	0.087
	[0.064]	[0.079]	[0.065]	[0.040]	[0.072]	[0.042]	[0.046]	[0.070]	[0.044]	[0.062]
momMaxEdu_Uni_F	0.135*	0.146	0.101	-0.031	-0.062	-0.052	0.032	0.040	0.032	-0.058
	[0.073]	[0.093]	[0.075]	[0.046]	[0.069]	[0.050]	[0.054]	[0.076]	[0.051]	[0.064]
dadMaxEdu_Uni_F	-0.018	0.015	-0.018	0.080	-0.010	0.076	0.009	0.035	0.037	-0.054
	[0.084]	[0.103]	[0.087]	[0.049]	[0.079]	[0.054]	[0.059]	[0.079]	[0.054]	[0.078]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.148	-0.227*	-0.171	-0.107*	0.131*	-0.078	-0.110	0.113	-0.116*	0.011
	[0.097]	[0.133]	[0.109]	[0.061]	[0.071]	[0.064]	[0.070]	[0.085]	[0.070]	[0.089]
HighInc_F	-0.004	-0.094	-0.016	-0.008	0.055	-0.011	-0.000	-0.038	0.003	0.059
	[0.074]	[0.113]	[0.079]	[0.049]	[0.078]	[0.054]	[0.055]	[0.077]	[0.056]	[0.070]
HighInc_Miss	0.008	-0.012	0.039	0.035	0.098	0.042	0.039	0.048	-0.001	0.046
	[0.079]	[0.098]	[0.084]	[0.045]	[0.071]	[0.047]	[0.055]	[0.081]	[0.049]	[0.066]
houseOwn_F	-0.067	-0.033	-0.122	-0.016	0.164**	-0.016	-0.047	0.131	0.008	0.108
	[0.092]	[0.100]	[0.095]	[0.049]	[0.071]	[0.052]	[0.060]	[0.083]	[0.056]	[0.069]
distCenter	-0.023*	-0.025*	-0.019	-0.003	0.048***	-0.002	-0.010	0.015	-0.024**	0.019
	[0.013]	[0.015]	[0.014]	[0.010]	[0.016]	[0.011]	[0.010]	[0.014]	[0.011]	[0.015]
cgRelig_F	-0.036	0.032	-0.023	0.077	0.125*	0.115**	0.048	0.116	0.025	0.008
	[0.073]	[0.101]	[0.079]	[0.053]	[0.074]	[0.057]	[0.059]	[0.085]	[0.055]	[0.071]
cgRelig_Miss	0.015	-0.009	-0.028	-0.178*	-0.151	-0.168	-0.170	-0.279	-0.227**	-0.238*
	[0.310]	[0.336]	[0.285]	[0.102]	[0.159]	[0.106]	[0.265]	[0.256]	[0.103]	[0.139]
CAPI	0.082	0.100	0.066	-0.023	0.006	-0.004	-0.016	-0.035	0.059	0.074
	[0.059]	[0.070]	[0.063]	[0.037]	[0.056]	[0.039]	[0.044]	[0.060]	[0.041]	[0.053]
momMaxEdu_Uni_Miss	-0.501***			-0.200		-0.232	-0.389**		-0.258*	
	[0.160]			[0.139]		[0.143]	[0.153]		[0.135]	
Parma							0.085			
							[0.059]			
Reggio								-0.041		-0.128
								[0.088]		[0.084]
nidoXreggio								0.145		0.427
								[0.198]		[0.291]
Padova									0.141**	
									[0.055]	
Constant	0.588	-0.879	-0.011	0.633	2.083	0.330	0.692	0.580	0.319	3.653**
	[1.699]	[2.176]	[1.727]	[1.031]	[1.686]	[1.120]	[1.213]	[1.685]	[1.130]	[1.508]
										
Observations	280	262	262	662	626	662	520	489	552	520
R-squared	0.077	-0.188	0.080	0.046	0.122	0.051	0.039	0.067	0.069	0.112
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.61	.61	.61	.61	.61	.61	.61	.61	.61	.61
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
