	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.017	0.250	0.088	0.045*	0.059*	0.067	0.003	0.027	0.025	0.167*
	[0.049]	[0.377]	[0.097]	[0.025]	[0.034]	[0.133]	[0.036]	[0.053]	[0.037]	[0.094]
asilo_Municipal								-0.016		-0.163**
								[0.029]		[0.077]
nido	0.024	-0.169	0.018	0.039	0.030	-0.361***	0.036	0.053	0.026	0.046
	[0.054]	[0.312]	[0.054]	[0.028]	[0.035]	[0.114]	[0.033]	[0.036]	[0.033]	[0.057]
unobs			-0.046							
			[0.141]							
unobs2			0.017							
			[0.079]							
unobs3			-0.085							
			[0.206]							
Age	0.110**	0.113**	0.112**	0.066**	0.045	0.444***	0.047	0.030	0.112***	0.119**
	[0.043]	[0.046]	[0.044]	[0.033]	[0.048]	[0.169]	[0.032]	[0.030]	[0.036]	[0.060]
Male	0.009	0.008	0.001	0.013	-0.024	-0.197	0.009	0.006	0.015	-0.048
	[0.027]	[0.029]	[0.032]	[0.023]	[0.029]	[0.164]	[0.023]	[0.023]	[0.024]	[0.037]
poorBHealth	-0.047	-0.055	-0.065	0.015	-0.052	-0.461***	0.027	0.073***	-0.016	-0.138
	[0.054]	[0.060]	[0.065]	[0.033]	[0.067]	[0.129]	[0.031]	[0.025]	[0.043]	[0.088]
oldsibs	-0.117	-0.069	-0.104	0.015	0.080*	0.951**	-0.091	-0.035	-0.027	0.099
	[0.102]	[0.116]	[0.102]	[0.057]	[0.042]	[0.438]	[0.083]	[0.057]	[0.066]	[0.064]
momMaxEdu_Uni_F	-0.023	-0.026	-0.032	-0.028	0.020	-0.395***	-0.019	0.018	-0.036	0.036
	[0.028]	[0.032]	[0.031]	[0.026]	[0.035]	[0.145]	[0.026]	[0.027]	[0.027]	[0.051]
dadMaxEdu_Uni_F	0.028	0.055	0.033	0.039	0.058*	0.640***	0.044*	0.016	0.031	-0.001
	[0.028]	[0.053]	[0.027]	[0.026]	[0.033]	[0.089]	[0.025]	[0.022]	[0.027]	[0.045]
momMaxEdu_Uni_Miss	-0.189	-0.191	-0.175	0.061**	0.103**	-0.116	-0.095	-0.043	-0.124	0.020
	[0.155]	[0.153]	[0.154]	[0.030]	[0.050]	[0.214]	[0.116]	[0.087]	[0.140]	[0.114]
dadMaxEdu_Uni_Miss	0.051	0.035	0.046	0.025	-0.105	0.142	0.037	0.002	0.001	-0.152*
	[0.052]	[0.052]	[0.051]	[0.036]	[0.108]	[0.176]	[0.038]	[0.050]	[0.042]	[0.091]
HighInc_F	-0.009	-0.001	-0.009	-0.023	-0.020	0.007	-0.030	-0.016	-0.010	-0.023
	[0.038]	[0.041]	[0.038]	[0.031]	[0.033]	[0.100]	[0.032]	[0.026]	[0.033]	[0.044]
HighInc_Miss	0.079***	0.091**	0.100***	0.043*	-0.004	-0.563*	0.054**	0.055***	0.063**	0.059*
	[0.026]	[0.036]	[0.037]	[0.024]	[0.036]	[0.338]	[0.023]	[0.019]	[0.025]	[0.030]
houseOwn_F	0.024	0.036	0.032	-0.002	0.049	0.851***	-0.013	-0.015	0.024	0.060
	[0.029]	[0.040]	[0.031]	[0.023]	[0.043]	[0.154]	[0.023]	[0.023]	[0.025]	[0.039]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.001	-0.001	-0.002	0.003	0.007	-0.001	0.000	0.004	0.000	0.005
	[0.007]	[0.007]	[0.007]	[0.006]	[0.006]	[0.028]	[0.005]	[0.005]	[0.006]	[0.009]
cgRelig_F	-0.052*	-0.055*	-0.047	-0.009	0.072	0.339**	-0.001	-0.021	-0.051*	0.016
	[0.028]	[0.031]	[0.029]	[0.031]	[0.065]	[0.172]	[0.034]	[0.029]	[0.028]	[0.062]
cgRelig_Miss	-0.001	0.022	-0.024	-0.187*	0.030	0.175	0.058	0.066	-0.264**	-0.215
	[0.036]	[0.092]	[0.041]	[0.109]	[0.133]	[0.345]	[0.036]	[0.044]	[0.118]	[0.149]
CAPI	0.033	0.029	0.031	-0.015	-0.084*	0.182*	0.022	0.012	-0.014	-0.080*
	[0.030]	[0.031]	[0.029]	[0.022]	[0.045]	[0.107]	[0.022]	[0.021]	[0.024]	[0.042]
houseOwn_Miss	-0.987***	-0.984***		0.083***		0.379	-0.272		-0.466	
	[0.041]	[0.044]		[0.026]		[0.284]	[0.290]		[0.391]	
Parma							-0.024			
							[0.033]			
Reggio								0.029		0.032
								[0.042]		[0.047]
nidoXreggio								-0.040		-0.011
								[0.059]		[0.079]
Padova									-0.039	
									[0.031]	
Constant	0.172	0.137	0.113	0.414*	0.503	-2.418**	0.573***	0.672***	0.172	0.094
	[0.295]	[0.319]	[0.311]	[0.220]	[0.318]	[1.156]	[0.220]	[0.203]	[0.252]	[0.403]
										
Observations	305	305	304	722	719	722	591	588	582	580
R-squared	0.133	0.058	0.092	0.036	0.095	0.985	0.042	0.040	0.073	0.221
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.9400000000000001	.9400000000000001	.9400000000000001	.9400000000000001	.9400000000000001	.9400000000000001	.9400000000000001	.9400000000000001	.9400000000000001	.9400000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
