	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.050	0.092	0.204	0.064***	0.066***	0.059**	0.055*	0.050	0.063**	0.068
	[0.030]	[0.140]	[0.198]	[0.022]	[0.025]	[0.024]	[0.030]	[0.050]	[0.030]	[0.071]
unobs			-0.264							
			[0.279]							
unobs2			0.015							
			[0.118]							
unobs3			0.348							
			[0.333]							
Age	0.085*	0.085*	0.086**	0.042	0.048	0.047	0.030	0.047	0.098***	0.100**
	[0.044]	[0.043]	[0.044]	[0.032]	[0.039]	[0.030]	[0.033]	[0.035]	[0.037]	[0.045]
Male	0.025	0.024	0.026	0.011	-0.021	-0.000	0.015	0.014	0.022	-0.009
	[0.030]	[0.030]	[0.030]	[0.022]	[0.029]	[0.024]	[0.024]	[0.025]	[0.024]	[0.032]
poorBHealth	-0.018	-0.021	-0.020	0.048	0.014	0.022	0.036	0.052*	-0.000	-0.032
	[0.056]	[0.060]	[0.060]	[0.030]	[0.061]	[0.037]	[0.031]	[0.028]	[0.043]	[0.075]
oldsibs	-0.068	-0.062	-0.064	0.019	0.022	0.033	-0.088	-0.055	-0.031	-0.018
	[0.073]	[0.081]	[0.085]	[0.048]	[0.042]	[0.045]	[0.065]	[0.057]	[0.053]	[0.051]
momMaxEdu_Uni_F	-0.013	-0.013	-0.012	-0.015	0.019	0.003	-0.002	0.010	-0.027	0.011
	[0.028]	[0.029]	[0.029]	[0.026]	[0.029]	[0.028]	[0.027]	[0.028]	[0.027]	[0.036]
dadMaxEdu_Uni_F	0.045	0.046	0.047	0.041	0.046	0.039	0.047*	0.028	0.035	0.035
	[0.028]	[0.030]	[0.029]	[0.026]	[0.032]	[0.027]	[0.027]	[0.029]	[0.027]	[0.036]
momMaxEdu_Uni_Miss	-0.153	-0.148	-0.162	0.059*	0.077***	0.059*	-0.081	-0.077	-0.109	-0.074
	[0.165]	[0.160]	[0.163]	[0.033]	[0.027]	[0.033]	[0.118]	[0.117]	[0.142]	[0.145]
dadMaxEdu_Uni_Miss	0.013	0.007	0.009	0.017	-0.019	0.054	0.030	0.037	-0.012	-0.083
	[0.062]	[0.063]	[0.063]	[0.039]	[0.067]	[0.037]	[0.043]	[0.047]	[0.045]	[0.069]
HighInc_F	-0.021	-0.024	-0.021	-0.013	-0.031	-0.012	-0.029	-0.024	-0.011	-0.027
	[0.039]	[0.039]	[0.039]	[0.031]	[0.034]	[0.032]	[0.032]	[0.034]	[0.033]	[0.038]
HighInc_Miss	0.027	0.026	0.026	0.023	0.019	0.034	0.028	0.029	0.036	0.055*
	[0.033]	[0.033]	[0.033]	[0.024]	[0.030]	[0.025]	[0.025]	[0.027]	[0.026]	[0.028]
houseOwn_F	0.014	0.018	0.017	-0.013	0.022	-0.006	-0.022	-0.025	0.021	0.067*
	[0.032]	[0.035]	[0.035]	[0.023]	[0.035]	[0.026]	[0.024]	[0.025]	[0.026]	[0.036]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.003	0.003	0.003	0.008*	0.009	0.005	0.002	0.005	0.003	0.009
	[0.007]	[0.007]	[0.007]	[0.005]	[0.006]	[0.005]	[0.005]	[0.004]	[0.006]	[0.007]
cgRelig_F	-0.053*	-0.046	-0.042	-0.012	-0.029	-0.020	-0.005	-0.018	-0.051*	-0.083**
	[0.028]	[0.037]	[0.037]	[0.031]	[0.035]	[0.028]	[0.034]	[0.032]	[0.029]	[0.036]
cgRelig_Miss	0.040	0.038	0.028	-0.230**	-0.296**	-0.245**	-0.110	-0.029	-0.266**	-0.408***
	[0.041]	[0.046]	[0.036]	[0.111]	[0.129]	[0.120]	[0.132]	[0.109]	[0.114]	[0.138]
CAPI	0.014	0.010	0.014	-0.002	-0.029	-0.019	0.021	0.023	-0.020	-0.047
	[0.034]	[0.036]	[0.035]	[0.023]	[0.029]	[0.025]	[0.024]	[0.025]	[0.025]	[0.030]
houseOwn_Miss	-0.941***	-0.923***		0.085***		0.081***	-0.363		-0.539*	
	[0.072]	[0.088]		[0.027]		[0.025]	[0.241]		[0.282]	
Parma							0.004			
							[0.032]			
Reggio								0.001		0.020
								[0.037]		[0.037]
materna_Municipal								0.003		-0.016
								[0.038]		[0.063]
Padova									-0.011	
									[0.032]	
Constant	0.330	0.306	0.229	0.584***	0.561**	0.566***	0.673***	0.561**	0.247	0.235
	[0.302]	[0.320]	[0.335]	[0.217]	[0.267]	[0.208]	[0.232]	[0.233]	[0.255]	[0.308]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.132	0.126	0.059	0.037	0.086	0.038	0.047	0.031	0.074	0.152
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
