	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.031	0.095	0.294	0.038	0.074	0.047	-0.022	-0.004	-0.145*	0.309
	[0.143]	[1.006]	[0.263]	[0.056]	[0.078]	[0.058]	[0.079]	[0.228]	[0.080]	[0.229]
asilo_Municipal								-0.127		-0.383***
								[0.154]		[0.121]
nido	-0.052	-0.196	-0.136	-0.037	-0.108	-0.033	-0.079	-0.040	0.068	0.379***
	[0.144]	[0.928]	[0.151]	[0.047]	[0.067]	[0.049]	[0.060]	[0.158]	[0.061]	[0.107]
unobsA			-0.359							
			[0.367]							
unobsA2			0.170							
			[0.176]							
unobsA3			0.201							
			[0.513]							
Age	-0.039	0.004	0.008	0.082	0.044	0.071	-0.000	-0.028	0.074	0.087
	[0.089]	[0.106]	[0.092]	[0.058]	[0.088]	[0.060]	[0.066]	[0.093]	[0.061]	[0.068]
Male	-0.107*	-0.128**	-0.130**	-0.034	0.013	-0.020	-0.090**	-0.066	-0.040	-0.037
	[0.061]	[0.062]	[0.062]	[0.039]	[0.055]	[0.041]	[0.044]	[0.061]	[0.042]	[0.050]
poorBHealth	0.000	-0.018	-0.017	0.059	0.101	0.094	0.050	0.098	0.090	0.107
	[0.099]	[0.106]	[0.105]	[0.066]	[0.070]	[0.068]	[0.070]	[0.077]	[0.072]	[0.092]
oldsibs	0.016	0.051	0.059	0.025	-0.046	0.025	0.002	-0.015	0.028	0.019
	[0.062]	[0.068]	[0.063]	[0.042]	[0.061]	[0.043]	[0.046]	[0.069]	[0.044]	[0.045]
momMaxEdu_Uni_F	0.002	0.013	0.007	-0.014	-0.094	-0.054	-0.048	-0.147*	0.007	0.031
	[0.075]	[0.085]	[0.078]	[0.048]	[0.071]	[0.051]	[0.055]	[0.082]	[0.053]	[0.058]
dadMaxEdu_Uni_F	0.018	0.005	-0.002	-0.092*	0.058	-0.063	0.009	0.127	-0.110*	-0.098
	[0.084]	[0.093]	[0.088]	[0.053]	[0.078]	[0.055]	[0.061]	[0.087]	[0.057]	[0.063]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.128	-0.170	-0.189*	-0.038	0.234**	-0.034	-0.017	0.278***	-0.108	-0.099
	[0.094]	[0.120]	[0.104]	[0.062]	[0.093]	[0.065]	[0.068]	[0.106]	[0.069]	[0.080]
HighInc_F	-0.050	-0.070	-0.084	-0.005	-0.062	0.018	0.003	-0.021	-0.014	-0.063
	[0.073]	[0.108]	[0.080]	[0.053]	[0.081]	[0.054]	[0.055]	[0.082]	[0.058]	[0.064]
HighInc_Miss	-0.015	-0.016	0.017	-0.104**	-0.148*	-0.127**	-0.010	0.007	-0.133***	-0.201***
	[0.076]	[0.078]	[0.081]	[0.049]	[0.078]	[0.051]	[0.056]	[0.087]	[0.051]	[0.060]
houseOwn_F	0.004	-0.031	-0.063	-0.045	0.005	-0.044	-0.041	0.019	0.003	-0.036
	[0.084]	[0.092]	[0.089]	[0.051]	[0.066]	[0.053]	[0.059]	[0.080]	[0.055]	[0.064]
distCenter	-0.012	-0.017	-0.010	-0.020*	-0.007	-0.018	-0.026**	-0.002	-0.011	-0.018
	[0.013]	[0.014]	[0.014]	[0.011]	[0.015]	[0.011]	[0.010]	[0.015]	[0.011]	[0.011]
cgRelig_F	0.051	0.043	0.060	0.031	-0.010	0.050	0.035	-0.026	0.032	0.044
	[0.072]	[0.096]	[0.080]	[0.056]	[0.076]	[0.060]	[0.058]	[0.074]	[0.055]	[0.065]
cgRelig_Miss	0.472***	0.474***	0.444***	-0.146	-0.334***	-0.158	0.461***	0.434***	-0.183*	-0.356***
	[0.109]	[0.117]	[0.116]	[0.100]	[0.113]	[0.101]	[0.070]	[0.122]	[0.102]	[0.097]
CAPI	-0.020	-0.014	-0.027	-0.069*	-0.052	-0.065	0.000	0.004	-0.059	-0.026
	[0.059]	[0.062]	[0.062]	[0.039]	[0.056]	[0.041]	[0.044]	[0.061]	[0.042]	[0.047]
momMaxEdu_Uni_Miss	0.075			0.070		0.063	0.021		0.057	
	[0.180]			[0.125]		[0.133]	[0.170]		[0.123]	
Parma							-0.121**			
							[0.057]			
Reggio								0.086		0.076
								[0.088]		[0.061]
nidoXreggio								0.050		-0.435**
								[0.228]		[0.221]
Padova									-0.063	
									[0.053]	
Constant	1.492	0.752	0.517	-0.775	-0.109	-0.602	0.838	1.182	-0.610	-0.821
	[1.680]	[2.037]	[1.735]	[1.104]	[1.675]	[1.130]	[1.234]	[1.748]	[1.142]	[1.292]
										
Observations	288	269	269	651	615	651	523	492	554	521
R-squared	0.036	0.052	0.064	0.049	0.247	0.061	0.044	0.142	0.072	0.304
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.65	.65	.65	.65	.65	.65	.65	.65	.65	.65
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
