	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.012	-0.324	0.077	0.054	0.063	0.049	-0.023	0.066	0.002	-0.064
	[0.060]	[0.306]	[0.413]	[0.046]	[0.047]	[0.046]	[0.059]	[0.095]	[0.059]	[0.098]
unobsM			-0.423							
			[0.603]							
unobsM2			0.394*							
			[0.212]							
unobsM3			1.188							
			[0.723]							
Age	-0.041	-0.069	-0.053	0.064	0.103	0.066	-0.014	-0.034	0.076	0.081
	[0.090]	[0.096]	[0.093]	[0.057]	[0.066]	[0.057]	[0.065]	[0.074]	[0.061]	[0.067]
Male	-0.111*	-0.116*	-0.115*	-0.052	-0.070	-0.048	-0.094**	-0.048	-0.040	-0.035
	[0.060]	[0.063]	[0.060]	[0.039]	[0.045]	[0.039]	[0.044]	[0.048]	[0.042]	[0.048]
poorBHealth	-0.001	-0.034	-0.016	0.076	0.069	0.080	0.048	0.057	0.090	0.078
	[0.102]	[0.109]	[0.104]	[0.066]	[0.070]	[0.065]	[0.072]	[0.075]	[0.073]	[0.076]
oldsibs	0.017	0.011	0.020	-0.000	0.005	0.007	0.003	-0.008	0.028	0.065
	[0.062]	[0.064]	[0.062]	[0.041]	[0.047]	[0.041]	[0.046]	[0.053]	[0.044]	[0.049]
momMaxEdu_Uni_F	-0.001	-0.033	-0.014	-0.018	-0.097*	-0.021	-0.054	-0.105*	0.015	0.005
	[0.076]	[0.084]	[0.082]	[0.049]	[0.058]	[0.049]	[0.055]	[0.060]	[0.053]	[0.062]
dadMaxEdu_Uni_F	0.013	0.030	0.026	-0.094*	-0.061	-0.097*	0.006	0.052	-0.112*	-0.126*
	[0.084]	[0.088]	[0.085]	[0.053]	[0.063]	[0.054]	[0.061]	[0.066]	[0.058]	[0.068]
momMaxEdu_Uni_Miss	0.063	0.055	0.048	0.053	0.078	0.038	-0.001	-0.042	0.057	0.073
	[0.176]	[0.209]	[0.179]	[0.122]	[0.122]	[0.124]	[0.166]	[0.188]	[0.121]	[0.126]
dadMaxEdu_Uni_Miss	-0.137	-0.102	-0.103	-0.019	0.001	-0.006	-0.019	0.050	-0.117*	-0.170**
	[0.094]	[0.103]	[0.100]	[0.061]	[0.075]	[0.060]	[0.067]	[0.078]	[0.069]	[0.077]
HighInc_F	-0.059	-0.033	-0.046	-0.006	0.003	-0.002	0.001	0.025	-0.023	-0.039
	[0.073]	[0.080]	[0.075]	[0.053]	[0.059]	[0.054]	[0.055]	[0.060]	[0.058]	[0.064]
HighInc_Miss	-0.006	0.015	-0.003	-0.106**	-0.134**	-0.110**	0.003	0.007	-0.133***	-0.192***
	[0.075]	[0.083]	[0.078]	[0.047]	[0.053]	[0.047]	[0.055]	[0.061]	[0.051]	[0.054]
houseOwn_F	-0.008	-0.007	-0.008	-0.026	0.020	-0.026	-0.048	-0.039	0.001	0.043
	[0.084]	[0.088]	[0.083]	[0.049]	[0.059]	[0.050]	[0.058]	[0.066]	[0.055]	[0.063]
distCenter	-0.010	-0.011	-0.006	-0.020*	-0.022*	-0.021**	-0.025**	-0.020*	-0.010	-0.011
	[0.013]	[0.014]	[0.013]	[0.011]	[0.012]	[0.011]	[0.010]	[0.011]	[0.011]	[0.012]
cgRelig_F	0.052	-0.030	-0.042	0.041	0.069	0.033	0.036	0.027	0.034	0.060
	[0.074]	[0.108]	[0.105]	[0.053]	[0.061]	[0.053]	[0.059]	[0.067]	[0.056]	[0.065]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.023	0.013	0.016	-0.074*	-0.073*	-0.072*	-0.001	0.017	-0.062	-0.053
	[0.059]	[0.071]	[0.066]	[0.039]	[0.044]	[0.039]	[0.044]	[0.049]	[0.042]	[0.049]
cgRelig_Miss	0.434***	0.519***		-0.125		-0.134	0.466***		-0.189*	
	[0.106]	[0.134]		[0.099]		[0.098]	[0.077]		[0.102]	
Parma							-0.115**			
							[0.054]			
Reggio								0.075		0.043
								[0.068]		[0.066]
materna_Municipal								-0.061		0.073
								[0.072]		[0.075]
Padova									-0.009	
									[0.054]	
Constant	1.504	2.229	1.653	-0.465	-1.216	-0.488	1.063	1.307	-0.691	-0.863
	[1.684]	[1.872]	[1.842]	[1.073]	[1.252]	[1.081]	[1.218]	[1.401]	[1.147]	[1.267]
										
Observations	288	288	287	660	623	660	523	521	554	518
R-squared	0.029	-0.067	0.046	0.055	0.060	0.057	0.036	0.032	0.067	0.081
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.65	.65	.65	.65	.65	.65	.65	.65	.65	.65
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
