	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.236	0.840	0.326*	-0.015	-0.020	-0.017	0.042	0.231	0.037	0.257*
	[0.145]	[0.580]	[0.174]	[0.034]	[0.042]	[0.035]	[0.054]	[0.163]	[0.059]	[0.151]
asilo_Municipal								-0.068		-0.088*
								[0.060]		[0.050]
nido	-0.248*	-0.801	-0.183	0.018	0.009	0.022	-0.043	0.016	-0.024	0.147***
	[0.145]	[0.532]	[0.149]	[0.027]	[0.035]	[0.030]	[0.038]	[0.041]	[0.046]	[0.051]
unobsA			-0.278							
			[0.209]							
unobsA2			0.155							
			[0.096]							
unobsA3			0.343							
			[0.289]							
Age	0.009	0.047	0.016	0.065*	0.071**	0.062	0.009	0.026	0.044	0.075
	[0.061]	[0.071]	[0.062]	[0.038]	[0.035]	[0.039]	[0.039]	[0.036]	[0.044]	[0.046]
Male	0.011	0.027	0.025	-0.047*	-0.046	-0.053**	-0.023	-0.009	-0.027	-0.048
	[0.037]	[0.042]	[0.039]	[0.025]	[0.033]	[0.026]	[0.027]	[0.031]	[0.028]	[0.034]
poorBHealth	0.002	0.014	0.011	0.009	-0.013	-0.025	-0.025	-0.023	-0.011	-0.071
	[0.072]	[0.085]	[0.079]	[0.039]	[0.044]	[0.049]	[0.045]	[0.037]	[0.051]	[0.074]
oldsibs	0.013	0.030	0.016	0.022	0.035	0.024	0.002	0.035	0.019	0.021
	[0.040]	[0.049]	[0.041]	[0.024]	[0.024]	[0.025]	[0.028]	[0.033]	[0.029]	[0.028]
momMaxEdu_Uni_F	-0.058	-0.056	-0.081	-0.011	-0.004	-0.021	-0.032	-0.004	-0.032	-0.052
	[0.055]	[0.068]	[0.057]	[0.033]	[0.039]	[0.036]	[0.037]	[0.037]	[0.040]	[0.043]
dadMaxEdu_Uni_F	0.095*	0.131**	0.117**	-0.035	-0.038	-0.029	0.036	0.022	-0.004	-0.035
	[0.055]	[0.066]	[0.059]	[0.035]	[0.038]	[0.038]	[0.038]	[0.041]	[0.043]	[0.048]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	0.035	-0.004	0.045	-0.009	0.027	-0.001	0.037	0.069	-0.011	-0.035
	[0.050]	[0.073]	[0.056]	[0.038]	[0.045]	[0.039]	[0.033]	[0.053]	[0.044]	[0.050]
HighInc_F	-0.076	-0.113	-0.063	-0.003	-0.007	-0.004	-0.055	-0.031	-0.050	-0.062
	[0.053]	[0.077]	[0.056]	[0.033]	[0.036]	[0.034]	[0.036]	[0.042]	[0.042]	[0.044]
HighInc_Miss	-0.010	-0.017	0.005	0.005	0.014	0.009	-0.037	0.013	-0.000	-0.007
	[0.045]	[0.054]	[0.049]	[0.028]	[0.039]	[0.029]	[0.034]	[0.046]	[0.033]	[0.035]
houseOwn_F	-0.092***	-0.080*	-0.117***	-0.018	0.001	-0.021	-0.033	-0.025	-0.061**	-0.024
	[0.033]	[0.044]	[0.039]	[0.030]	[0.029]	[0.029]	[0.030]	[0.027]	[0.030]	[0.033]
distCenter	-0.006	-0.005	-0.003	-0.003	0.007	-0.000	-0.003	0.006	-0.006	-0.003
	[0.008]	[0.009]	[0.009]	[0.006]	[0.009]	[0.006]	[0.006]	[0.009]	[0.007]	[0.007]
cgRelig_F	0.033	0.079	0.045	0.067*	0.065	0.073	0.036	0.041	0.030	0.072
	[0.051]	[0.067]	[0.059]	[0.040]	[0.045]	[0.044]	[0.040]	[0.041]	[0.041]	[0.049]
cgRelig_Miss	0.136*	0.112	0.138*	0.111**	0.093	0.114**	0.153***	0.110	0.087	0.145**
	[0.070]	[0.083]	[0.072]	[0.055]	[0.058]	[0.055]	[0.049]	[0.071]	[0.059]	[0.062]
CAPI	-0.004	-0.003	-0.015	0.004	0.019	0.010	0.019	0.019	-0.005	0.002
	[0.037]	[0.044]	[0.040]	[0.024]	[0.029]	[0.026]	[0.027]	[0.032]	[0.028]	[0.029]
momMaxEdu_Uni_Miss	0.082			-0.026		-0.012	0.091***		-0.036	
	[0.059]			[0.088]		[0.082]	[0.034]		[0.089]	
Parma							0.051			
							[0.038]			
Reggio								-0.042		0.049
								[0.033]		[0.040]
nidoXreggio								-0.196		-0.334**
								[0.158]		[0.152]
Padova									-0.007	
									[0.037]	
Constant	0.808	0.034	0.563	-0.336	-0.484	-0.292	0.757	0.413	0.128	-0.504
	[1.137]	[1.364]	[1.162]	[0.708]	[0.683]	[0.716]	[0.731]	[0.678]	[0.827]	[0.879]
										
Observations	289	270	270	651	615	651	524	493	555	522
R-squared	0.063	-0.098	0.065	0.025	0.046	0.032	0.030	0.049	0.025	0.073
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.89	.89	.89	.89	.89	.89	.89	.89	.89	.89
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
