	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.044	-0.092	-0.310	-0.017	-0.008	-0.015	-0.036	0.026	-0.032	-0.068
	[0.059]	[0.299]	[0.406]	[0.045]	[0.047]	[0.045]	[0.059]	[0.089]	[0.058]	[0.094]
unobsM			0.468							
			[0.583]							
unobsM2			-0.275							
			[0.240]							
unobsM3			-0.697							
			[0.717]							
Age	-0.054	-0.058	-0.068	-0.001	-0.006	0.004	-0.007	-0.021	-0.029	-0.037
	[0.089]	[0.092]	[0.094]	[0.054]	[0.063]	[0.055]	[0.062]	[0.069]	[0.061]	[0.070]
Male	-0.081	-0.082	-0.083	-0.089**	-0.070	-0.086**	-0.063	-0.079*	-0.121***	-0.149***
	[0.058]	[0.058]	[0.059]	[0.037]	[0.043]	[0.037]	[0.042]	[0.046]	[0.042]	[0.047]
poorBHealth	0.009	0.004	-0.006	0.120*	0.112	0.125*	0.158**	0.145*	0.009	-0.013
	[0.109]	[0.112]	[0.112]	[0.067]	[0.073]	[0.067]	[0.076]	[0.083]	[0.075]	[0.081]
oldsibs	0.088	0.088	0.087	0.015	-0.008	0.014	0.075	0.053	0.000	-0.010
	[0.060]	[0.060]	[0.060]	[0.039]	[0.043]	[0.039]	[0.045]	[0.049]	[0.043]	[0.047]
momMaxEdu_Uni_F	-0.134*	-0.139*	-0.151*	0.129***	0.152***	0.138***	0.013	0.041	0.029	0.030
	[0.072]	[0.078]	[0.080]	[0.047]	[0.054]	[0.047]	[0.054]	[0.058]	[0.053]	[0.062]
dadMaxEdu_Uni_F	0.009	0.012	0.014	0.002	-0.004	0.004	0.021	0.016	0.015	-0.003
	[0.084]	[0.085]	[0.086]	[0.051]	[0.060]	[0.051]	[0.060]	[0.065]	[0.058]	[0.068]
momMaxEdu_Uni_Miss	0.060	0.059	0.066	0.109	0.187	0.114	-0.022	-0.011	0.143	0.173
	[0.190]	[0.190]	[0.187]	[0.138]	[0.153]	[0.141]	[0.152]	[0.185]	[0.140]	[0.149]
dadMaxEdu_Uni_Miss	-0.092	-0.087	-0.089	-0.063	-0.053	-0.062	-0.073	-0.042	-0.045	-0.036
	[0.078]	[0.081]	[0.080]	[0.059]	[0.072]	[0.060]	[0.060]	[0.075]	[0.065]	[0.071]
HighInc_F	0.138*	0.142*	0.147*	-0.075	-0.135**	-0.089*	0.033	-0.005	0.034	-0.039
	[0.074]	[0.076]	[0.077]	[0.053]	[0.057]	[0.053]	[0.055]	[0.059]	[0.060]	[0.065]
HighInc_Miss	-0.129*	-0.126*	-0.118	-0.102**	-0.101**	-0.110**	-0.087*	-0.037	-0.128***	-0.151***
	[0.069]	[0.072]	[0.073]	[0.044]	[0.050]	[0.045]	[0.051]	[0.060]	[0.049]	[0.054]
houseOwn_F	0.084	0.085	0.087	-0.048	-0.008	-0.053	0.004	0.065	-0.008	0.011
	[0.079]	[0.079]	[0.079]	[0.050]	[0.061]	[0.050]	[0.057]	[0.060]	[0.054]	[0.062]
distCenter	0.009	0.009	0.005	-0.002	-0.002	-0.003	0.003	0.000	0.003	-0.003
	[0.013]	[0.013]	[0.013]	[0.010]	[0.011]	[0.010]	[0.010]	[0.011]	[0.011]	[0.012]
cgRelig_F	0.026	0.014	0.028	0.005	0.042	0.007	-0.010	0.012	0.048	0.091
	[0.070]	[0.107]	[0.108]	[0.052]	[0.057]	[0.053]	[0.057]	[0.065]	[0.057]	[0.059]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.102*	0.107*	0.102	0.112***	0.058	0.107***	0.147***	0.099**	0.077*	0.004
	[0.058]	[0.064]	[0.064]	[0.038]	[0.042]	[0.038]	[0.042]	[0.047]	[0.042]	[0.046]
cgRelig_Miss	-0.192**	-0.180		-0.037		-0.029	-0.319***		0.028	
	[0.094]	[0.119]		[0.094]		[0.094]	[0.098]		[0.099]	
Parma							-0.046			
							[0.053]			
Reggio								0.032		-0.017
								[0.067]		[0.063]
materna_Municipal								-0.069		0.027
								[0.065]		[0.072]
Padova									0.048	
									[0.054]	
Constant	1.302	1.405	1.758	0.435	0.481	0.356	0.464	0.657	0.929	1.138
	[1.683]	[1.800]	[1.858]	[1.025]	[1.198]	[1.033]	[1.164]	[1.299]	[1.161]	[1.323]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.098	0.096	0.097	0.051	0.046	0.054	0.060	0.037	0.046	0.058
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.39	.39	.39	.39	.39	.39	.39	.39	.39	.39
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
