	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.197	-2.385	0.186	0.037	0.112	0.021	0.108	0.492**	0.019	0.164
	[0.148]	[1.518]	[0.262]	[0.054]	[0.078]	[0.056]	[0.077]	[0.207]	[0.082]	[0.328]
asilo_Municipal								-0.063		0.155
								[0.153]		[0.287]
nido	-0.242	2.171	-0.179	-0.065	-0.124	-0.037	-0.140**	-0.106	-0.025	-0.194
	[0.150]	[1.430]	[0.155]	[0.046]	[0.075]	[0.049]	[0.058]	[0.152]	[0.064]	[0.274]
unobsA			-0.259							
			[0.349]							
unobsA2			0.023							
			[0.167]							
unobsA3			0.714							
			[0.459]							
Age	0.073	-0.072	0.059	0.094*	0.171*	0.059	0.074	0.140	0.094	0.140*
	[0.089]	[0.133]	[0.092]	[0.056]	[0.092]	[0.059]	[0.062]	[0.091]	[0.061]	[0.084]
Male	-0.205***	-0.216**	-0.203***	-0.075**	0.042	-0.045	-0.146***	-0.099*	-0.133***	-0.010
	[0.059]	[0.090]	[0.061]	[0.038]	[0.055]	[0.040]	[0.042]	[0.054]	[0.042]	[0.059]
poorBHealth	-0.063	-0.101	-0.077	0.025	0.190**	-0.031	-0.021	0.176*	0.044	0.166*
	[0.107]	[0.156]	[0.117]	[0.063]	[0.091]	[0.070]	[0.072]	[0.098]	[0.074]	[0.086]
oldsibs	0.069	-0.018	0.052	0.038	0.083	0.055	0.059	0.122**	0.022	0.021
	[0.060]	[0.103]	[0.062]	[0.040]	[0.066]	[0.042]	[0.044]	[0.057]	[0.043]	[0.061]
momMaxEdu_Uni_F	-0.029	-0.116	-0.028	0.088*	0.161**	0.085*	0.056	0.153**	0.024	-0.010
	[0.074]	[0.133]	[0.078]	[0.047]	[0.067]	[0.050]	[0.054]	[0.071]	[0.053]	[0.067]
dadMaxEdu_Uni_F	-0.022	-0.079	-0.015	-0.008	-0.046	0.008	0.013	-0.040	-0.028	0.052
	[0.082]	[0.141]	[0.090]	[0.051]	[0.081]	[0.055]	[0.058]	[0.079]	[0.057]	[0.080]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.252***	-0.050	-0.191**	-0.128**	-0.150	-0.125*	-0.206***	-0.256***	-0.101	0.035
	[0.078]	[0.142]	[0.087]	[0.060]	[0.094]	[0.065]	[0.063]	[0.090]	[0.067]	[0.086]
HighInc_F	-0.013	0.189	0.022	-0.081	-0.152**	-0.156***	-0.101*	-0.194***	-0.034	-0.085
	[0.071]	[0.137]	[0.077]	[0.052]	[0.076]	[0.056]	[0.053]	[0.071]	[0.058]	[0.072]
HighInc_Miss	-0.031	-0.015	-0.038	0.051	-0.042	0.052	-0.057	-0.136*	0.049	0.039
	[0.074]	[0.124]	[0.081]	[0.046]	[0.074]	[0.048]	[0.053]	[0.082]	[0.050]	[0.070]
houseOwn_F	0.225***	0.154	0.266***	0.048	0.023	0.051	0.167***	0.246***	0.041	-0.037
	[0.078]	[0.105]	[0.087]	[0.050]	[0.076]	[0.053]	[0.058]	[0.080]	[0.053]	[0.072]
distCenter	-0.008	-0.013	-0.008	0.001	-0.019	0.005	-0.006	-0.014	-0.007	-0.005
	[0.013]	[0.016]	[0.015]	[0.010]	[0.015]	[0.012]	[0.010]	[0.013]	[0.011]	[0.015]
cgRelig_F	-0.053	-0.206*	-0.072	0.019	0.128*	0.041	-0.029	0.061	-0.029	0.024
	[0.066]	[0.111]	[0.074]	[0.055]	[0.078]	[0.059]	[0.055]	[0.084]	[0.056]	[0.074]
cgRelig_Miss	-0.248	-0.178	-0.221	0.125	-0.216	0.140	-0.088	0.088	0.072	-0.301**
	[0.330]	[0.351]	[0.331]	[0.092]	[0.150]	[0.095]	[0.272]	[0.232]	[0.097]	[0.138]
CAPI	0.085	0.044	0.091	0.089**	0.067	0.078*	0.116***	0.130**	0.082*	0.004
	[0.057]	[0.087]	[0.061]	[0.038]	[0.057]	[0.041]	[0.042]	[0.055]	[0.042]	[0.056]
momMaxEdu_Uni_Miss	0.342***			0.264**		0.231*	0.329***		0.255**	
	[0.083]			[0.110]		[0.126]	[0.105]		[0.099]	
Parma							0.044			
							[0.056]			
Reggio								-0.039		0.028
								[0.076]		[0.079]
nidoXreggio								-0.332		-0.112
								[0.210]		[0.318]
Padova									0.044	
									[0.054]	
Constant	-0.812	2.099	-0.606	-1.244	-2.722	-0.625	-0.853	-2.198	-1.158	-2.062
	[1.673]	[2.571]	[1.732]	[1.053]	[1.734]	[1.110]	[1.165]	[1.710]	[1.151]	[1.556]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.150	-0.796	0.133	0.056	0.175	0.062	0.102	0.214	0.061	0.114
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
