	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.129	-0.238	-0.296	0.084*	0.119**	0.191	-0.001	-0.086	-0.048	0.024
	[0.100]	[0.646]	[0.227]	[0.049]	[0.057]	[0.149]	[0.072]	[0.145]	[0.070]	[0.140]
asilo_Municipal								-0.135		-0.215**
								[0.104]		[0.095]
nido	0.138	0.229	0.142	-0.060	-0.138**	-0.263**	-0.025	-0.005	0.036	0.053
	[0.104]	[0.538]	[0.106]	[0.045]	[0.068]	[0.128]	[0.054]	[0.115]	[0.054]	[0.088]
unobs			0.304							
			[0.336]							
unobs2			0.043							
			[0.166]							
unobs3			-0.368							
			[0.472]							
Age	-0.182**	-0.184**	-0.186**	-0.070	0.039	0.218	-0.085	0.041	-0.111*	-0.095
	[0.082]	[0.083]	[0.083]	[0.054]	[0.076]	[0.238]	[0.061]	[0.090]	[0.058]	[0.078]
Male	-0.142**	-0.142**	-0.134**	-0.140***	-0.094**	0.354***	-0.142***	-0.079	-0.151***	-0.154***
	[0.058]	[0.058]	[0.060]	[0.037]	[0.048]	[0.102]	[0.041]	[0.051]	[0.041]	[0.047]
poorBHealth	0.019	0.023	0.036	-0.020	-0.066	-0.418***	0.037	0.032	-0.036	-0.122*
	[0.095]	[0.099]	[0.102]	[0.061]	[0.079]	[0.107]	[0.069]	[0.094]	[0.071]	[0.073]
oldsibs	0.059	0.035	0.043	0.050	0.149	1.113**	-0.074	-0.030	0.136	0.240**
	[0.119]	[0.183]	[0.126]	[0.103]	[0.130]	[0.529]	[0.103]	[0.144]	[0.087]	[0.101]
momMaxEdu_Uni_F	0.057	0.059	0.062	0.107**	0.099	-0.485***	0.085*	0.061	0.061	0.075
	[0.072]	[0.073]	[0.075]	[0.043]	[0.061]	[0.140]	[0.049]	[0.069]	[0.051]	[0.057]
dadMaxEdu_Uni_F	0.076	0.063	0.065	0.002	-0.021	0.725***	0.014	0.020	0.086	0.036
	[0.079]	[0.110]	[0.081]	[0.046]	[0.073]	[0.089]	[0.052]	[0.073]	[0.054]	[0.063]
momMaxEdu_Uni_Miss	0.006	0.007	-0.003	-0.016	-0.175	-0.476**	-0.021	-0.166	0.047	-0.063
	[0.188]	[0.185]	[0.189]	[0.181]	[0.137]	[0.198]	[0.153]	[0.140]	[0.149]	[0.126]
dadMaxEdu_Uni_Miss	-0.031	-0.024	-0.023	-0.036	-0.171**	-0.454***	-0.068	-0.175*	-0.008	-0.026
	[0.101]	[0.111]	[0.102]	[0.063]	[0.085]	[0.119]	[0.074]	[0.090]	[0.068]	[0.073]
HighInc_F	-0.127	-0.131	-0.134	-0.049	-0.186**	-0.920***	-0.053	-0.207**	-0.067	-0.082
	[0.081]	[0.084]	[0.082]	[0.053]	[0.078]	[0.095]	[0.056]	[0.081]	[0.061]	[0.068]
HighInc_Miss	-0.164**	-0.170**	-0.180**	-0.165***	-0.162**	-0.702**	-0.132**	-0.185***	-0.214***	-0.200***
	[0.074]	[0.079]	[0.082]	[0.046]	[0.069]	[0.289]	[0.052]	[0.065]	[0.049]	[0.055]
houseOwn_F	-0.042	-0.047	-0.049	-0.008	-0.052	0.735***	-0.064	-0.061	0.023	0.027
	[0.060]	[0.065]	[0.061]	[0.040]	[0.060]	[0.161]	[0.044]	[0.058]	[0.043]	[0.051]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.005	-0.004	-0.004	0.002	0.032**	0.007	0.007	0.029**	-0.003	-0.000
	[0.011]	[0.011]	[0.011]	[0.009]	[0.014]	[0.030]	[0.008]	[0.012]	[0.010]	[0.013]
cgRelig_F	0.151*	0.153*	0.138	0.034	0.041	-0.240**	0.111*	0.154*	0.075	-0.026
	[0.084]	[0.085]	[0.086]	[0.052]	[0.076]	[0.111]	[0.060]	[0.087]	[0.057]	[0.064]
cgRelig_Miss	0.220	0.201	0.262	0.203	0.138	-0.277	0.260	0.182	0.293**	0.277
	[0.288]	[0.299]	[0.337]	[0.125]	[0.168]	[0.275]	[0.185]	[0.199]	[0.133]	[0.188]
CAPI	-0.001	0.001	0.002	-0.064*	-0.140***	0.219**	-0.034	-0.080	-0.036	-0.087
	[0.059]	[0.060]	[0.059]	[0.037]	[0.054]	[0.106]	[0.041]	[0.054]	[0.041]	[0.054]
houseOwn_Miss	-0.353*	-0.377		-0.397***		-0.324	-0.448***		-0.346***	
	[0.188]	[0.237]		[0.082]		[0.394]	[0.072]		[0.119]	
Parma							-0.094			
							[0.057]			
Reggio								-0.024		-0.013
								[0.090]		[0.071]
nidoXreggio								0.263*		0.166
								[0.158]		[0.137]
Padova									-0.057	
									[0.053]	
Constant	1.726***	1.745***	1.836***	1.035***	0.357	-0.987	1.118***	0.193	1.304***	1.305**
	[0.576]	[0.590]	[0.600]	[0.368]	[0.515]	[1.482]	[0.427]	[0.614]	[0.407]	[0.521]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.104	0.100	0.102	0.063	0.119	0.974	0.066	0.138	0.098	0.145
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.48	.48	.48	.48	.48	.48	.48	.48	.48	.48
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
