	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.046	-0.848	-0.082	0.064	0.266***	0.068	0.035	0.196	0.081	0.794***
	[0.161]	[1.172]	[0.324]	[0.058]	[0.070]	[0.060]	[0.081]	[0.211]	[0.093]	[0.268]
asilo_Municipal								-0.067		-0.694***
								[0.131]		[0.199]
nido	0.131	0.890	0.075	-0.017	-0.230***	-0.003	0.028	-0.169	-0.011	0.442**
	[0.162]	[1.093]	[0.172]	[0.051]	[0.063]	[0.054]	[0.060]	[0.136]	[0.076]	[0.191]
unobsA			0.261							
			[0.448]							
unobsA2			0.004							
			[0.192]							
unobsA3			-0.414							
			[0.607]							
Age	0.001	-0.041	0.009	0.049	0.183**	0.027	0.073	0.172**	-0.010	0.036
	[0.090]	[0.112]	[0.090]	[0.060]	[0.082]	[0.064]	[0.063]	[0.086]	[0.067]	[0.075]
Male	-0.135**	-0.124*	-0.120*	-0.097**	-0.123**	-0.083*	-0.165***	-0.171***	-0.047	-0.115**
	[0.063]	[0.070]	[0.064]	[0.042]	[0.053]	[0.045]	[0.044]	[0.060]	[0.047]	[0.055]
poorBHealth	-0.079	-0.129	-0.116	-0.016	0.142	0.024	0.019	0.173*	-0.046	-0.112
	[0.106]	[0.109]	[0.111]	[0.069]	[0.089]	[0.082]	[0.071]	[0.091]	[0.082]	[0.080]
oldsibs	-0.120*	-0.137*	-0.113*	-0.104**	-0.132**	-0.111**	-0.087*	-0.101	-0.111**	-0.127**
	[0.065]	[0.077]	[0.067]	[0.044]	[0.062]	[0.047]	[0.047]	[0.065]	[0.049]	[0.057]
momMaxEdu_Uni_F	0.068	0.054	0.083	0.036	-0.001	0.041	0.085	0.027	0.030	0.060
	[0.077]	[0.091]	[0.079]	[0.051]	[0.067]	[0.055]	[0.055]	[0.075]	[0.059]	[0.067]
dadMaxEdu_Uni_F	-0.135	-0.207*	-0.185**	-0.054	-0.044	-0.051	-0.106*	-0.088	-0.093	-0.136*
	[0.089]	[0.109]	[0.093]	[0.056]	[0.071]	[0.060]	[0.060]	[0.078]	[0.066]	[0.077]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.101	-0.052	-0.122	0.038	0.004	0.059	0.005	0.029	-0.071	-0.033
	[0.094]	[0.124]	[0.101]	[0.067]	[0.086]	[0.073]	[0.068]	[0.082]	[0.075]	[0.084]
HighInc_F	-0.053	0.012	-0.053	-0.017	0.019	-0.006	-0.036	0.025	-0.034	0.011
	[0.076]	[0.113]	[0.083]	[0.053]	[0.071]	[0.057]	[0.056]	[0.075]	[0.060]	[0.068]
HighInc_Miss	0.013	0.066	0.065	0.002	-0.000	0.019	-0.002	0.010	0.018	-0.021
	[0.087]	[0.097]	[0.095]	[0.054]	[0.071]	[0.057]	[0.060]	[0.078]	[0.058]	[0.067]
houseOwn_F	-0.170**	-0.205**	-0.176*	-0.109*	-0.145**	-0.101	-0.142**	-0.171**	-0.121*	-0.140**
	[0.085]	[0.098]	[0.092]	[0.059]	[0.069]	[0.061]	[0.060]	[0.073]	[0.064]	[0.069]
distCenter	0.000	-0.003	-0.001	0.018	-0.013	0.020*	0.006	-0.016	0.004	0.001
	[0.014]	[0.015]	[0.015]	[0.011]	[0.015]	[0.012]	[0.011]	[0.014]	[0.012]	[0.013]
cgRelig_F	0.056	0.046	0.094	0.038	-0.023	0.042	0.055	0.035	0.047	0.084
	[0.075]	[0.101]	[0.081]	[0.057]	[0.072]	[0.063]	[0.057]	[0.077]	[0.061]	[0.073]
cgRelig_Miss	0.550***	0.549***	0.510***	0.185	-0.018	0.122	0.266	-0.072	0.241	0.271
	[0.117]	[0.137]	[0.134]	[0.177]	[0.185]	[0.181]	[0.274]	[0.186]	[0.185]	[0.190]
CAPI	-0.012	-0.042	-0.035	0.048	0.113**	0.050	0.017	0.114*	0.029	0.003
	[0.061]	[0.068]	[0.063]	[0.042]	[0.055]	[0.045]	[0.044]	[0.059]	[0.047]	[0.055]
momMaxEdu_Uni_Miss	0.165			-0.041		0.017	0.251		-0.079	
	[0.221]			[0.139]		[0.145]	[0.157]		[0.151]	
Parma							-0.018			
							[0.059]			
Reggio								-0.013		-0.106
								[0.086]		[0.075]
nidoXreggio								0.132		-0.447*
								[0.210]		[0.263]
Padova									0.023	
									[0.059]	
Constant	0.629	1.443	0.507	-0.407	-2.726*	-0.033	-0.776	-2.578	0.750	0.012
	[1.682]	[2.168]	[1.702]	[1.137]	[1.532]	[1.200]	[1.190]	[1.605]	[1.260]	[1.403]
										
Observations	278	260	260	578	545	578	516	486	472	443
R-squared	0.070	-0.029	0.086	0.046	0.177	0.047	0.066	0.201	0.042	0.095
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.47	.47	.47	.47	.47	.47	.47	.47	.47	.47
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
