	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.137*	-0.461	-0.138	-0.043	-0.066	0.252*	-0.032	-0.189*	-0.053	-0.162
	[0.082]	[0.719]	[0.238]	[0.047]	[0.049]	[0.134]	[0.064]	[0.113]	[0.064]	[0.111]
asilo_Municipal								0.031		-0.020
								[0.089]		[0.079]
nido	0.166*	0.434	0.141	-0.052	0.020	-0.372***	0.011	-0.013	0.030	-0.014
	[0.087]	[0.601]	[0.088]	[0.041]	[0.046]	[0.124]	[0.047]	[0.098]	[0.049]	[0.076]
unobs			0.128							
			[0.351]							
unobs2			0.179							
			[0.156]							
unobs3			-0.312							
			[0.453]							
Age	-0.106	-0.112	-0.109	0.011	0.087	0.386**	-0.046	0.039	-0.030	0.075
	[0.078]	[0.081]	[0.079]	[0.053]	[0.058]	[0.172]	[0.056]	[0.061]	[0.058]	[0.072]
Male	-0.051	-0.049	-0.058	0.006	0.039	-0.123	-0.017	0.030	-0.028	-0.000
	[0.055]	[0.056]	[0.058]	[0.035]	[0.039]	[0.116]	[0.039]	[0.044]	[0.039]	[0.041]
poorBHealth	-0.004	0.007	-0.011	0.060	0.100**	0.207***	0.043	0.083	0.043	0.189***
	[0.087]	[0.091]	[0.092]	[0.055]	[0.050]	[0.077]	[0.062]	[0.057]	[0.065]	[0.065]
oldsibs	-0.025	-0.097	-0.071	-0.011	-0.002	0.414	-0.054	-0.181	0.003	0.077
	[0.151]	[0.205]	[0.152]	[0.093]	[0.125]	[0.280]	[0.118]	[0.157]	[0.095]	[0.070]
momMaxEdu_Uni_F	-0.076	-0.072	-0.073	-0.031	-0.027	0.072	-0.046	-0.047	-0.033	-0.019
	[0.069]	[0.072]	[0.073]	[0.041]	[0.047]	[0.109]	[0.045]	[0.051]	[0.048]	[0.050]
dadMaxEdu_Uni_F	0.002	-0.037	-0.007	0.062	0.078	0.253**	0.069	0.111**	0.008	-0.003
	[0.074]	[0.112]	[0.076]	[0.043]	[0.048]	[0.109]	[0.048]	[0.052]	[0.050]	[0.056]
momMaxEdu_Uni_Miss	-0.387***	-0.384**	-0.396***	0.119	0.066	0.399	-0.252	-0.250	-0.338**	-0.280
	[0.147]	[0.155]	[0.145]	[0.159]	[0.273]	[0.347]	[0.159]	[0.209]	[0.164]	[0.246]
dadMaxEdu_Uni_Miss	-0.090	-0.068	-0.090	-0.015	0.093	0.099	-0.088	-0.016	-0.090	0.010
	[0.104]	[0.117]	[0.105]	[0.065]	[0.069]	[0.088]	[0.078]	[0.079]	[0.069]	[0.076]
HighInc_F	0.113	0.102	0.102	0.028	-0.017	-0.348***	0.040	-0.007	0.062	0.046
	[0.074]	[0.080]	[0.074]	[0.049]	[0.055]	[0.056]	[0.052]	[0.055]	[0.055]	[0.060]
HighInc_Miss	0.119*	0.103	0.138*	0.005	-0.073	-0.734***	0.031	-0.047	0.027	-0.004
	[0.068]	[0.078]	[0.077]	[0.044]	[0.055]	[0.130]	[0.049]	[0.058]	[0.047]	[0.050]
houseOwn_F	0.088	0.073	0.094	0.014	0.046	0.727***	0.064	0.100**	0.025	0.011
	[0.057]	[0.067]	[0.060]	[0.038]	[0.045]	[0.115]	[0.042]	[0.046]	[0.040]	[0.046]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.002	0.002	0.004	0.009	0.019**	-0.020	0.003	0.018**	0.005	0.011
	[0.012]	[0.012]	[0.012]	[0.009]	[0.009]	[0.027]	[0.008]	[0.009]	[0.010]	[0.012]
cgRelig_F	0.103	0.109	0.097	0.088*	0.019	-0.728***	0.135**	0.074	0.058	0.018
	[0.080]	[0.084]	[0.081]	[0.052]	[0.057]	[0.129]	[0.060]	[0.067]	[0.056]	[0.062]
cgRelig_Miss	0.073	0.018	-0.119	-0.202	-0.019	-0.065	0.186	0.273**	-0.235*	-0.239
	[0.281]	[0.285]	[0.307]	[0.132]	[0.126]	[0.141]	[0.185]	[0.111]	[0.137]	[0.170]
CAPI	-0.053	-0.048	-0.054	-0.108***	-0.139***	-0.271***	-0.095**	-0.085*	-0.100**	-0.166***
	[0.056]	[0.058]	[0.056]	[0.035]	[0.041]	[0.100]	[0.039]	[0.043]	[0.039]	[0.048]
houseOwn_Miss	-0.208	-0.281		-0.090		0.640*	-0.218		0.043	
	[0.368]	[0.367]		[0.289]		[0.342]	[0.263]		[0.335]	
Parma							0.007			
							[0.051]			
Reggio								-0.038		-0.116*
								[0.074]		[0.066]
nidoXreggio								0.176		0.212*
								[0.126]		[0.112]
Padova									0.029	
									[0.048]	
Constant	1.236**	1.290**	1.239**	0.587	0.056	-1.181	0.867**	0.284	0.858**	0.270
	[0.544]	[0.570]	[0.563]	[0.360]	[0.394]	[1.071]	[0.385]	[0.413]	[0.401]	[0.476]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.092	0.055	0.099	0.042	0.086	0.964	0.051	0.104	0.050	0.104
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.65	.65	.65	.65	.65	.65	.65	.65	.65	.65
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
